Data reference syntax to experiment level,Sub-experiment ID,Ensemble member,Table ID,Variable name,Grid label,Version number on ESGF,Subpanel
CMIP6.CMIP.CCCma.CanESM5.historical,none,r14i1p1f1,Amon,tas,gn,v20190429,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r8i1p1f1,SImon,siareas,gn,v20180803,
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp126,none,r4i1p1f2,Amon,tas,gr,v20190410,
CMIP6.CMIP.INM.INM-CM5-0.historical,none,r6i1p1f1,SImon,siareas,gr1,v20190709,
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126,none,r2i1p1f1,Amon,tas,gn,v20191129,
CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical,none,r5i1p1f2,SImon,siareas,gn,v20190125,
CMIP6.CMIP.??.UKESM1-0-LL.historical,none,r7i1p1f3,SImon,??,??,??,
CMIP6.CMIP.MIROC.MIROC6.historical,none,r3i1p1f1,SImon,siconc,gn,v20181212,
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp126,none,r9i1p1f1,SImon,siareas,gn,v20190710,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r10i1p1f1,SImon,siarean,gn,v20180803,
CMIP6.CMIP.??.MRI-ESM2-0.historical,none,r3i1p1f1,SImon,??,??,??,
CMIP6.ScenarioMIP.MIROC.MIROC6.ssp126,none,r2i1p1f1,Amon,tas,gn,v20190627,
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp126,none,r9i1p1f1,SImon,siconc,gn,v20190710,
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp245,none,r3i1p1f1,SImon,siarean,gn,v20191121,
CMIP6.CMIP.MIROC.MIROC6.historical,none,r22i1p1f1,Amon,tas,gn,v20200519,
CMIP6.CMIP.NCC.NorCPM1.historical,none,r7i1p1f1,Amon,tas,gn,v20190914,
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp126,none,r10i1p1f1,SImon,siconc,gn,v20190710,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp245,none,r12i1p1f1,SImon,siconc,gn,v20190312,
CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp585,none,r1i1p1f1,SImon,siareas,gn,v20190815,
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp126,none,r2i1p1f1,SImon,siareas,gn,v20200303,
CMIP6.CMIP.NASA-GISS.GISS-E2-1-G.historical,none,r8i1p1f1,SImon,siconca,gn,v20180830,
CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.historical,none,r8i1p1f1,SImon,siareas,gn,v20190710,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp245,none,r18i1p1f1,Amon,tas,gn,v20190429,
CMIP6.CMIP.MIROC.MIROC6.historical,none,r38i1p1f1,SImon,siconc,gn,v20200519,
CMIP6.ScenarioMIP.??.CESM2.ssp126,none,r2i1p1f1,Amon,tas,??,??,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp126,none,r9i1p1f1,Amon,tas,gr,v20190710,
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp245,none,r3i1p1f1,SImon,siareas,gn,v20200428,
CMIP6.CMIP.CCCma.CanESM5.historical,none,r16i1p1f1,SImon,siconc,gn,v20190429,
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical,none,r4i1p1f1,SImon,siareas,gn,v20181218,
CMIP6.ScenarioMIP.NCAR.CESM2.ssp245,none,r10i1p1f1,SImon,siconca,gn,v20200528,
CMIP6.CMIP.INM.INM-CM5-0.historical,none,r4i1p1f1,Amon,tas,gr1,v20190704,
CMIP6.ScenarioMIP.??.EC-Earth3-Veg.ssp585,none,r7i1p1f1,Amon,tas,??,??,
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp245,none,r14i1p1f1,SImon,siconc,gn,v20191121,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp585,none,r4i1p1f1,SImon,siconc,gn,v20190702,
CMIP6.CMIP.MOHC.HadGEM3-GC31-LL.historical,none,r3i1p1f3,SImon,siconc,gn,v20190626,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r25i1p1f1,SImon,siconc,gn,v20180803,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r19i1p1f1,SImon,siconc,gn,v20180803,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp585,none,r4i1p1f1,SImon,siconc,gn,v20190712,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp245,none,r5i1p1f1,SImon,siconc,gn,v20190429,
CMIP6.CMIP.MIROC.MIROC-ES2L.historical,none,r2i1p1f2,Amon,tas,gn,v20190823,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r26i1p1f1,SImon,siarean,gn,v20180803,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp585,none,r13i1p1f1,Amon,tas,gn,v20190429,
CMIP6.ScenarioMIP.MIROC.MIROC6.ssp245,none,r1i1p1f1,SImon,siconc,gn,v20190627,
CMIP6.CMIP.MIROC.MIROC6.historical,none,r20i1p1f1,Amon,tas,gn,v20200519,
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp585,none,r7i1p1f1,SImon,siconc,gn,v20190710,
CMIP6.CMIP.NCC.NorCPM1.historical,none,r13i1p1f1,SImon,siconc,gn,v20190914,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r27i1p1f1,SImon,siconc,gn,v20180803,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp126,none,r4i1p1f1,SImon,siconc,gn,??,
CMIP6.CMIP.MIROC.MIROC6.historical,none,r42i1p1f1,SImon,siconc,gn,v20200519,
CMIP6.ScenarioMIP.NCAR.CESM2.ssp245,none,r2i1p1f1,SImon,siareas,gn,v20191106,
CMIP6.CMIP.NASA-GISS.GISS-E2-1-H.historical,none,r9i1p1f1,SImon,siconc,gr,v20190403,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r30i1p1f1,SImon,siarean,gn,v20180803,
CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.historical,none,r2i1p1f1,SImon,siareas,gn,v20190710,
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp245,none,r2i1p1f2,SImon,siconc,gn,v20190410,
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp245,none,r1i1p1f2,Amon,tas,gr,v20190219,
CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp245,none,r2i1p1f1,Amon,tas,gn,v20190308,
CMIP6.CMIP.MOHC.UKESM1-0-LL.historical,none,r2i1p1f2,SImon,siconc,gn,v20190502,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r18i1p1f1,SImon,siconc,gn,v20180803,
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical,none,r4i1p1f1,SImon,siarean,gn,v20181218,
CMIP6.CMIP.MIROC.MIROC6.historical,none,r34i1p1f1,Amon,tas,gn,v20200519,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp245,none,r25i1p1f1,Amon,tas,gn,v20190429,
CMIP6.CMIP.??.UKESM1-0-LL.historical,none,r1i1p1f2,SImon,??,??,??,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp585,none,r14i1p1f1,SImon,siconc,gn,v20190429,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp245,none,r10i1p1f1,SImon,siconc,gn,v20190429,
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp245,none,r1i1p1f1,SIday,siconc,gn,v20190318,
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical,none,r7i1p1f1,SImon,siconc,gn,v20190302,
CMIP6.CMIP.CCCma.CanESM5.historical,none,r3i1p1f1,SImon,siconc,gn,v20190429,
CMIP6.ScenarioMIP.NCC.NorESM2-LM.ssp245,none,r3i1p1f1,Amon,tas,gn,v20191108,
CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp245,none,r2i1p1f3,Amon,tas,gn,v20190906,
CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp245,none,r1i1p1f1,SImon,siconc,gr1,v20190619,
CMIP6.CMIP.NASA-GISS.GISS-E2-1-G.historical,none,r10i1p1f2,SImon,siconca,gn,v20190903,
CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-ESM4.ssp585,none,r1i1p1f1,Amon,tas,gr1,v20180701,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r27i1p1f1,Amon,tas,gr,v20180803,
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp126,none,r1i1p1f1,SImon,siconc,gn,v20190121,
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245,none,r1i1p1f1,Amon,tas,gn,??,
CMIP6.CMIP.MIROC.MIROC6.historical,none,r22i1p1f1,SImon,siconc,gn,v20200519,
CMIP6.ScenarioMIP.??.HadGEM3-GC31-MM.ssp585,none,r2i1p1f3,SImon,??,??,??,
CMIP6.ScenarioMIP.AWI.AWI-CM-1-1-MR.ssp126,none,r1i1p1f1,SImon,siareas,gn,v20181218,
CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp245,none,r3i1p1f1,SImon,siareas,gm,v20200120,
CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp245,none,r2i1p1f1,SImon,siconc,gn,v20200224,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r8i1p1f1,SImon,siconc,gn,v20180803,
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1-HR.ssp245,none,r1i1p1f2,Amon,tas,gr,??,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r10i1p1f1,SImon,siareas,gn,v20180803,
CMIP6.CMIP.NASA-GISS.GISS-E2-1-H.historical,none,r4i1p1f2,SImon,siconc,gr,v20191003,
CMIP6.CMIP.MIROC.MIROC6.historical,none,r26i1p1f1,Amon,tas,gn,v20200519,
CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp245,none,r1i1p1f1,Amon,tas,gn,v20190818,
CMIP6.CMIP.MIROC.MIROC-ES2L.historical,none,r6i1p1f2,Amon,tas,gn,v20200318,
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp585,none,r6i1p1f1,Amon,tas,gr,v20191121,
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp245,none,r8i1p1f1,SImon,siarean,gn,v20190710,
CMIP6.CMIP.CAS.FGOALS-g3.historical,none,r5i1p1f1,Amon,tas,gn,v20200411,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r23i1p1f1,SImon,siarean,gn,v20180803,
CMIP6.CMIP.MPI-M.MPI-ESM1-2-HR.historical,none,r5i1p1f1,Amon,tas,gn,v20190710,
CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp245,none,r1i1p1f1,SImon,siarean,gr1,v20190603,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r2i1p1f1,SImon,siconc,gn,v20180803,
CMIP6.CMIP.NCC.NorCPM1.historical,none,r18i1p1f1,SImon,siconc,gn,??,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r15i1p1f1,SImon,siconc,gn,v20180803,
CMIP6.CMIP.??.EC-Earth3-Veg.historical,none,r2i1p1f1,SImon,??,??,??,
CMIP6.CMIP.MIROC.MIROC6.historical,none,r1i1p1f1,SImon,siconc,gn,v20181212,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r21i1p1f1,Amon,tas,gr,v20180803,
CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp126,none,r1i1p1f1,SImon,siconc,gn,v20190815,
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp585,none,r4i1p1f1,SImon,siarean,gn,v20191122,
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical,none,r3i1p1f2,Amon,tas,gr,v20190125,
CMIP6.ScenarioMIP.??.EC-Earth3-Veg.ssp245,none,r2i1p1f1,Amon,tas,??,??,
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245,none,r2i1p1f1,Amon,tas,gn,v20191129,
CMIP6.CMIP.NCC.NorCPM1.historical,none,r6i1p1f1,Amon,tas,gn,v20190914,
CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp585,none,r2i1p1f1,Amon,tas,gn,v20191216,
CMIP6.CMIP.NCC.NorCPM1.historical,none,r2i1p1f1,SImon,siconc,gn,??,
CMIP6.CMIP.MPI-M.MPI-ESM1-2-HR.historical,none,r3i1p1f1,SImon,siarean,gn,v20190710,
CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.historical,none,r4i1p1f1,SImon,siareas,gn,v20190710,
CMIP6.CMIP.INM.INM-CM5-0.historical,none,r8i1p1f1,SImon,siarean,gr1,v20190709,
CMIP6.ScenarioMIP.??.AWI-CM-1-1-MR.ssp245,none,r1i1p1f1,Amon,tas,??,??,
CMIP6.ScenarioMIP.MIROC.MIROC6.ssp245,none,r3i1p1f1,SImon,siconc,gn,v20190627,
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp126,none,r1i1p1f1,Amon,tas,gr,v20190903,
CMIP6.CMIP.NCAR.CESM2.historical,none,r11i1p1f1,Amon,tas,gn,v20190514,
CMIP6.CMIP.CAS.CAS-ESM2-0.historical,none,r3i1p1f1,Amon,tas,gn,v20200303,
CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-MM.ssp585,none,r3i1p1f3,Amon,tas,gn,v20200507,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r25i1p1f1,SImon,siareas,gn,v20180803,
CMIP6.ScenarioMIP.NCC.NorESM2-LM.ssp126,none,r1i1p1f1,SImon,siconc,gn,v20191108,
CMIP6.CMIP.NASA-GISS.GISS-E2-1-G.historical,none,r3i1p1f3,Amon,tas,gn,v20190903,
CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical,none,r2i1p1f2,SImon,siconc,gn,v20190125,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp585,none,r13i1p1f1,SImon,siconc,gn,v20190712,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r20i1p1f1,SImon,siarean,gn,v20180803,
CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical,none,r8i1p1f1,SImon,siareas,gn,v20200529,
CMIP6.CMIP.NCC.NorESM2-LM.historical,none,r1i1p1f1,Amon,tas,gn,v20190815,
CMIP6.ScenarioMIP.??.HadGEM3-GC31-MM.ssp585,none,r4i1p1f3,SImon,??,??,??,
CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.historical,none,r10i1p1f1,SImon,siconc,gn,v20190710,
CMIP6.CMIP.??.HadGEM3-GC31-LL.historical,none,r4i1p1f3,Amon,tas,??,??,
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical,none,r26i1p1f2,Amon,tas,gr,v20191004,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126,none,r3i1p1f1,Amon,tas,gn,v20190429,
CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp126,none,r3i1p1f1,SImon,siconc,gn,v20191029,
CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical,none,r1i1p1f2,Amon,tas,gn,v20191106,
CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical,none,r3i1p1f1,SImon,siconc,gn,v20191203,
CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical,none,r8i1p1f2,Amon,tas,gr,v20200117,
CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp126,none,r16i1p1f2,Amon,tas,gn,v20200710,
CMIP6.CMIP.INM.INM-CM5-0.historical,none,r4i1p1f1,SImon,siareas,gr1,v20190704,
CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp245,none,r5i1p1f1,Amon,tas,gn,v20190308,
CMIP6.ScenarioMIP.NCC.NorESM2-LM.ssp585,none,r1i1p1f1,SImon,siconc,gn,v20191108,
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp585,none,r3i1p1f1,Amon,tas,gr,v20191121,
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126,none,r2i1p1f1,SImon,siareas,gn,v20191129,
CMIP6.CMIP.MPI-M.MPI-ESM1-2-HR.historical,none,r9i1p1f1,SImon,siarean,gn,v20190710,
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp245,none,r22i1p1f1,SImon,siconc,gn,v20200218,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp245,none,r1i1p1f1,Amon,tas,gr,v20190927,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126,none,r2i1p1f1,SImon,siconc,gn,v20190429,
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126,none,r3i1p1f1,SImon,siareas,gn,v20191201,
CMIP6.CMIP.E3SM-Project.E3SM-1-0.historical,none,r3i1p1f1,SImon,siconc,gr,v20190917,
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical,none,r118i1p1f1,SImon,siconc,gn,v20200919,
CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp126,none,r1i1p1f1,Amon,tas,gr1,v20190619,
CMIP6.CMIP.NCAR.CESM2-FV2.historical,none,r3i1p1f1,SImon,siarean,gn,v20200226,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp126,none,r13i1p1f1,Amon,tas,gr,v20190710,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r20i1p1f1,SImon,siconc,gn,v20180803,
CMIP6.CMIP.NASA-GISS.GISS-E2-1-G.historical,none,r1i1p1f2,SImon,siconca,gn,v20190903,
CMIP6.ScenarioMIP.??.HadGEM3-GC31-MM.ssp585,none,r1i1p1f3,SImon,??,??,??,
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp245,none,r2i1p1f1,SImon,siarean,gn,v20190710,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r15i1p1f1,SImon,siareas,gn,v20180803,
CMIP6.CMIP.MPI-M.MPI-ESM1-2-HR.historical,none,r3i1p1f1,SImon,siconc,gn,v20190710,
CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp126,none,r9i1p1f2,SImon,siconc,gn,v20200708,
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical,none,r5i1p1f1,SImon,siareas,gn,v20181218,
CMIP6.CMIP.NCC.NorCPM1.historical,none,r19i1p1f1,Amon,tas,gn,v20190914,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r26i1p1f1,Amon,tas,gr,v20180803,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp126,none,r4i1p1f1,Amon,tas,gr,v20190809,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp245,none,r1i1p1f1,SImon,siconc,gn,v20190701,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r16i1p1f1,Amon,tas,gr,v20180803,
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical,none,r119i1p1f1,SImon,siconc,gn,v20200919,
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical,none,r14i1p1f1,SImon,siconc,gn,v20190712,
CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp126,none,r19i1p1f2,Amon,tas,gn,v20200716,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp585,none,r7i1p1f1,SImon,siconc,gn,v20190429,
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585,none,r1i1p1f1,SImon,siarean,gn,??,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp585,none,r20i1p1f1,SImon,siconc,gn,v20190429,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp585,none,r1i1p1f1,SImon,siconc,gn,v20190629,
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp126,none,r6i1p1f1,SImon,siareas,gn,v20191121,
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245,none,r1i1p1f1,SImon,siareas,gn,v20191115,
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical,none,r117i1p1f1,SImon,siconc,gn,v20200919,
CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp245,none,r3i1p1f2,Amon,tas,gn,v20190507,
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp126,none,r8i1p1f1,SImon,siconc,gn,v20190710,
CMIP6.CMIP.NCC.NorCPM1.historical,none,r8i1p1f1,Amon,tas,gn,v20190914,
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp245,none,r10i1p1f1,SImon,siconc,gn,v20191003,
CMIP6.ScenarioMIP.NCC.NorESM2-MM.ssp585,none,r1i1p1f1,SImon,siconc,gn,v20191108,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp126,none,r13i1p1f1,SImon,siconc,gn,v20190712,
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical,none,r148i1p1f1,SImon,siconc,gn,v20200919,
CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.historical,none,r4i1p1f1,SImon,siarean,gn,v20190710,
CMIP6.CMIP.NASA-GISS.GISS-E2-1-G.historical,none,r4i1p1f2,Amon,tas,gn,v20190903,
CMIP6.CMIP.NCAR.CESM2.historical,none,r4i1p1f1,Amon,tas,gn,v20190308,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp585,none,r24i1p1f1,Amon,tas,gn,v20190429,
CMIP6.CMIP.AWI.AWI-ESM-1-1-LR.historical,none,r1i1p1f1,Amon,tas,gn,v20200212,
CMIP6.CMIP.BCC.BCC-CSM2-MR.historical,none,r2i1p1f1,Amon,tas,gn,v20181115,
CMIP6.ScenarioMIP.NCAR.CESM2.ssp126,none,r2i1p1f1,SImon,siconc,gn,v20191106,
CMIP6.ScenarioMIP.CMCC.CMCC-CM2-SR5.ssp126,none,r1i1p1f1,Amon,tas,gn,v20200717,
CMIP6.CMIP.NCC.NorCPM1.historical,none,r30i1p1f1,SImon,siconc,gn,??,
CMIP6.CMIP.INM.INM-CM5-0.historical,none,r10i1p1f1,SImon,siarean,gr1,v20190712,
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp126,none,r3i1p1f1,SImon,siareas,gn,v20200428,
CMIP6.CMIP.NCC.NorCPM1.historical,none,r14i1p1f1,SImon,siconc,gn,v20190914,
CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical,none,r2i1p1f1,SImon,siconc,gn,v20190829,
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical,none,r7i1p1f2,SImon,siconc,gn,v20190125,
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical,none,r10i1p1f2,SImon,siconc,gn,v20190125,
CMIP6.CMIP.NASA-GISS.GISS-E2-1-G.historical,none,r10i1p1f2,Amon,tas,gn,v20190903,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp245,none,r12i1p1f1,Amon,tas,gn,v20190429,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r30i1p1f1,SImon,siconc,gn,v20180803,
CMIP6.CMIP.MPI-M.MPI-ESM1-2-HR.historical,none,r6i1p1f1,SImon,siconc,gn,v20190710,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp245,none,r4i1p1f1,SImon,siconc,gn,v20190429,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp585,none,r4i1p1f1,SImon,siconc,gn,??,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp585,none,r2i1p1f1,SImon,siconc,gn,v20190326,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126,none,r12i1p1f1,Amon,tas,gn,v20190429,
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical,none,r20i1p1f1,SImon,siconc,gn,v20191017,
CMIP6.CMIP.NCAR.CESM2.historical,none,r8i1p1f1,SImon,siareas,gn,v20190311,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r11i1p1f1,Amon,tas,gr,v20180803,
CMIP6.ScenarioMIP.CSIRO-ARCCSS-BoM.ACCESS-CM2.ssp585,none,r1i1p1f1,SImon,siarean,gn,??,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp585,none,r21i1p1f1,SImon,siconc,gn,v20190429,
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp126,none,r2i1p1f1,Amon,tas,gr,??,
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical,none,r20i1p1f1,SImon,siconc,gn,v20190712,
CMIP6.ScenarioMIP.NASA-GISS.GISS-E2-1-G.ssp245,none,r2i1p1f2,Amon,tas,gn,v20200115,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp126,none,r4i1p1f1,Amon,tas,gr,v20190915,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r9i1p1f1,SImon,siareas,gn,v20180803,
CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical,none,r6i1p1f1,Amon,tas,gn,v20200529,
CMIP6.CMIP.NCAR.CESM2.historical,none,r8i1p1f1,Amon,tas,gn,v20190311,
CMIP6.CMIP.NCC.NorESM2-LM.historical,none,r3i1p1f1,SImon,siconc,gn,??,
CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp126,none,r1i1p1f1,SImon,siconc,gr1,v20190619,
CMIP6.CMIP.NCAR.CESM2.historical,none,r10i1p1f1,SImon,siareas,gn,v20190313,
CMIP6.CMIP.INM.INM-CM5-0.historical,none,r8i1p1f1,Amon,tas,gr1,v20190709,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp585,none,r20i1p1f1,Amon,tas,gn,v20190429,
CMIP6.CMIP.??.UKESM1-0-LL.historical,none,r2i1p1f2,SImon,??,??,??,
CMIP6.CMIP.MOHC.HadGEM3-GC31-MM.historical,none,r4i1p1f3,SImon,siconc,gn,v20200601,
CMIP6.ScenarioMIP.NCC.NorESM2-MM.ssp126,none,r1i1p1f1,SImon,siarean,gn,v20191108,
CMIP6.CMIP.NUIST.NESM3.historical,none,r3i1p1f1,Amon,tas,gn,v20190630,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp245,none,r9i1p1f1,SImon,siconc,gn,v20190429,
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp126,none,r7i1p1f1,SImon,siconc,gn,v20190710,
CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp585,none,r5i1p1f1,SImon,siconc,gn,v20200206,
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical,none,r16i1p1f1,SImon,siconc,gn,v20191020,
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp585,none,r7i1p1f1,SImon,siarean,gn,v20190710,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126,none,r16i1p1f1,Amon,tas,gn,v20190429,
CMIP6.CMIP.??.EC-Earth3-Veg.historical,none,r3i1p1f1,Amon,tas,??,??,
