Data reference syntax to experiment level,Sub-experiment ID,Ensemble member,Table ID,Variable name,Grid label,Version number on ESGF,Subpanel
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp245,none,r2i1p1f1,SImon,siconc,gn,v20190710,
CMIP6.CMIP.NCAR.CESM2-WACCM.historical,none,r2i1p1f1,Amon,tas,gn,v20190227,
CMIP6.CMIP.NCC.NorCPM1.historical,none,r2i1p1f1,SImon,siconc,gn,v20190914,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r5i1p1f1,SImon,siareas,gn,v20180803,
CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-CM4.ssp585,none,r1i1p1f1,Amon,tas,gr1,v20180701,
CMIP6.ScenarioMIP.CSIRO-ARCCSS-BoM.ACCESS-CM2.ssp245,none,r1i1p1f1,SImon,siarean,gn,??,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp585,none,r11i1p1f1,SImon,siconc,gn,v20190712,
CMIP6.CMIP.MIROC.MIROC6.historical,none,r2i1p1f1,Amon,tas,gn,v20181212,
CMIP6.CMIP.NOAA-GFDL.GFDL-CM4.historical,none,r1i1p1f1,Amon,tas,gr1,v20180701,
CMIP6.CMIP.NCAR.CESM2.historical,none,r11i1p1f1,SImon,siareas,gn,v20190514,
CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-ESM4.ssp245,none,r1i1p1f1,SImon,siconc,gn,v20180701,
CMIP6.CMIP.CCCma.CanESM5.historical,none,r11i1p1f1,Amon,tas,gn,v20190429,
CMIP6.ScenarioMIP.??.EC-Earth3-Veg.ssp585,none,r8i1p1f1,Amon,tas,??,??,
CMIP6.ScenarioMIP.CAMS.CAMS-CSM1-0.ssp126,none,r1i1p1f1,SImon,siconc,gn,v20190708,
CMIP6.CMIP.??.HadGEM3-GC31-LL.historical,none,r2i1p1f3,Amon,tas,??,??,
CMIP6.ScenarioMIP.FIO-QLNM.FIO-ESM-2-0.ssp126,none,r2i1p1f1,SImon,siconc,gn,v20191228,
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp245,none,r9i1p1f2,Amon,tas,gr,v20200212,
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical,none,r9i1p1f2,SImon,siconc,gn,v20190125,
CMIP6.ScenarioMIP.??.EC-Earth3-Veg.ssp585,none,r9i1p1f1,SImon,??,??,??,
CMIP6.CMIP.CMCC.CMCC-CM2-HR4.historical,none,r1i1p1f1,Amon,tas,gn,v20200904,
CMIP6.CMIP.NCAR.CESM2-WACCM.historical,none,r2i1p1f1,SImon,siconc,gn,v20190227,
CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.historical,none,r9i1p1f1,SImon,siarean,gn,v20190710,
CMIP6.CMIP.MOHC.UKESM1-0-LL.historical,none,r18i1p1f2,SImon,siconc,gn,v20191119,
CMIP6.CMIP.CAS.CAS-ESM2-0.historical,none,r4i1p1f1,Amon,tas,gn,v20200303,
CMIP6.ScenarioMIP.FIO-QLNM.FIO-ESM-2-0.ssp585,none,r1i1p1f1,Amon,tas,gn,v20191226,
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585,none,r3i1p1f1,SImon,siconc,gn,v20191203,
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp126,none,r5i1p1f1,SImon,siconc,gn,v20190710,
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical,none,r144i1p1f1,SImon,siconc,gn,v20200919,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp585,none,r3i1p1f1,SImon,siconc,gn,v20200919,
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp245,none,r4i1p1f1,SImon,siconc,gn,??,
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp126,none,r14i1p1f1,Amon,tas,gr,v20191121,
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp245,none,r2i1p1f1,SImon,siconc,gn,??,
CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-CM4.ssp245,none,r1i1p1f1,Amon,tas,gr1,v20180701,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r1i1p1f1,SImon,siarean,gn,??,
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp126,none,r3i1p1f2,SImon,siconc,gn,v20190410,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r6i1p1f1,SImon,siarean,gn,v20180803,
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1-HR.ssp126,none,r1i1p1f2,SImon,siarean,gn,v20200127,
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp585,none,r19i1p1f1,SImon,siconc,gn,v20190429,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical,none,r28i1p1f1,SImon,siarean,gn,v20180803,
CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp245,none,r5i1p1f1,Amon,tas,gn,v20200206,
