CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp370;none;r1i1p1f1;LImon;snc;gr;v20200310
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp370;none;r4i1p1f1;LImon;snc;gr;v20200425
CMIP6.ScenarioMIP.CAS.FGOALS-f3-L.ssp370;none;r1i1p1f1;LImon;snc;gn;v20190821
CMIP6.ScenarioMIP.NASA-GISS.GISS-E2-1-G.ssp370;none;r1i1p1f2;LImon;snc;gn;v20200115
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp370;none;r1i1p1f1;LImon;snc;gr;v20190119
CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp370;none;r1i1p1f2;LImon;snc;gn;v20190823
CMIP6.ScenarioMIP.MIROC.MIROC6.ssp370;none;r1i1p1f1;LImon;snc;gn;v20190627
CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp370;none;r1i1p1f1;LImon;snc;gn;v20190710
CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp370;none;r1i1p1f1;LImon;snc;gn;v20190603
CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp370;none;r1i1p1f2;LImon;snc;gn;v20190510
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp585;none;r1i1p1f1;LImon;snc;gn;v20190308
CMIP6.ScenarioMIP.NCAR.CESM2.ssp585;none;r4i1p1f1;LImon;snc;gn;v20200528
CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp585;none;r1i1p1f1;LImon;snc;gn;v20200702
CMIP6.ScenarioMIP.THU.CIESM.ssp585;none;r1i1p1f1;LImon;snc;gr;v20200417
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp585;none;r1i1p1f2;LImon;snc;gr;v20190219
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1-HR.ssp585;none;r1i1p1f2;LImon;snc;gr;v20191202
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp585;none;r1i1p1f2;LImon;snc;gr;v20191021
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp585;none;r1i1p1f1;LImon;snc;gn;v20190429
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp585;none;r1i1p1f1;LImon;snc;gr;v20200310
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp585;none;r4i1p1f1;LImon;snc;gr;v20200425
CMIP6.ScenarioMIP.CAS.FGOALS-f3-L.ssp585;none;r1i1p1f1;LImon;snc;gn;v20190821
CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-CM4.ssp585;none;r1i1p1f1;LImon;snc;gr1;v20180701
CMIP6.ScenarioMIP.NASA-GISS.GISS-E2-1-G.ssp585;none;r1i1p1f2;LImon;snc;gn;v20200115
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp585;none;r1i1p1f1;LImon;snc;gr;v20190903
CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp585;none;r1i1p1f2;LImon;snc;gn;v20190823
CMIP6.ScenarioMIP.MIROC.MIROC6.ssp585;none;r1i1p1f1;LImon;snc;gn;v20190627
CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp585;none;r1i1p1f1;LImon;snc;gn;v20190710
CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp585;none;r1i1p1f1;LImon;snc;gn;v20191108
CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp585;none;r1i1p1f2;LImon;snc;gn;v20190507
