year T_MMCP2.6 T_MMCP4.5 T_MMCP6.0 T_MMCP-break T_MMCP8.5 T_MMCP-feedback 
 2109 1.242 1.676 1.801 2.372 2.372 2.372 
 2110 1.262 1.629 1.877 2.316 2.316 2.316 
 2111 1.311 1.620 1.865 2.280 2.280 2.280 
 2112 1.308 1.584 1.906 2.282 2.282 2.282 
 2113 1.276 1.589 1.855 2.316 2.316 2.316 
 2114 1.284 1.635 1.896 2.353 2.353 2.353 
 2115 1.290 1.672 1.872 2.385 2.385 2.385 
 2116 1.288 1.693 1.900 2.423 2.423 2.423 
 2117 1.275 1.666 1.898 2.450 2.450 2.450 
 2118 1.298 1.690 1.953 2.414 2.414 2.414 
 2119 1.358 1.725 1.989 2.422 2.422 2.422 
 2120 1.347 1.715 1.944 2.418 2.418 2.418 
 2121 1.285 1.690 1.913 2.459 2.459 2.459 
 2122 1.236 1.678 1.926 2.433 2.433 2.433 
 2123 1.261 1.659 1.985 2.494 2.494 2.494 
 2124 1.327 1.667 2.028 2.494 2.494 2.494 
 2125 1.349 1.670 2.056 2.533 2.533 2.533 
 2126 1.340 1.708 2.065 2.506 2.506 2.506 
 2127 1.353 1.713 2.029 2.525 2.525 2.525 
 2128 1.357 1.713 1.978 2.559 2.559 2.559 
 2129 1.357 1.743 2.017 2.559 2.559 2.559 
 2130 1.319 1.712 2.084 2.559 2.559 2.559 
 2131 1.317 1.721 2.124 2.551 2.551 2.551 
 2132 1.302 1.683 2.109 2.563 2.563 2.563 
 2133 1.292 1.726 2.085 2.540 2.540 2.540 
 2134 1.289 1.752 2.090 2.558 2.558 2.558 
 2135 1.288 1.754 2.095 2.596 2.596 2.596 
 2136 1.305 1.743 2.131 2.659 2.659 2.659 
 2137 1.292 1.725 2.117 2.680 2.680 2.680 
 2138 1.309 1.733 2.101 2.685 2.685 2.685 
 2139 1.296 1.728 2.063 2.690 2.690 2.690 
 2140 1.301 1.699 2.080 2.691 2.691 2.691 
 2141 1.306 1.681 2.070 2.694 2.694 2.694 
 2142 1.346 1.727 2.056 2.699 2.699 2.699 
 2143 1.364 1.770 2.031 2.704 2.704 2.704 
