year steric_MMCP2.6 steric_MMCP4.5 steric_MMCP6.0 steric_MMCP-break steric_MMCP8.5 steric_MMCP-feedback 
 2001 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 
 2002 0.001 0.001 0.001 0.001 0.001 0.001 
 2003 0.002 0.002 0.002 0.002 0.002 0.002 
 2004 0.003 0.003 0.003 0.003 0.003 0.003 
 2005 0.004 0.004 0.004 0.004 0.004 0.004 
 2006 0.005 0.005 0.005 0.005 0.005 0.005 
 2007 0.006 0.007 0.006 0.005 0.005 0.005 
 2008 0.008 0.008 0.007 0.006 0.006 0.006 
 2009 0.010 0.009 0.008 0.007 0.007 0.007 
 2010 0.011 0.011 0.010 0.009 0.009 0.009 
 2011 0.012 0.012 0.012 0.011 0.011 0.011 
 2012 0.013 0.013 0.014 0.012 0.012 0.012 
 2013 0.014 0.015 0.015 0.015 0.015 0.015 
 2014 0.016 0.016 0.015 0.017 0.017 0.017 
 2015 0.017 0.017 0.016 0.018 0.018 0.018 
 2016 0.018 0.018 0.017 0.019 0.019 0.019 
 2017 0.019 0.018 0.018 0.020 0.020 0.020 
 2018 0.021 0.020 0.021 0.021 0.021 0.021 
 2019 0.022 0.021 0.022 0.023 0.023 0.023 
 2020 0.024 0.022 0.024 0.024 0.024 0.024 
 2021 0.025 0.023 0.025 0.026 0.026 0.026 
 2022 0.025 0.025 0.026 0.027 0.027 0.027 
 2023 0.026 0.026 0.027 0.029 0.029 0.029 
 2024 0.027 0.027 0.028 0.030 0.030 0.030 
 2025 0.029 0.029 0.029 0.031 0.031 0.031 
 2026 0.031 0.030 0.030 0.033 0.033 0.033 
 2027 0.032 0.030 0.031 0.034 0.034 0.034 
 2028 0.034 0.032 0.032 0.036 0.036 0.036 
 2029 0.035 0.034 0.034 0.038 0.038 0.038 
 2030 0.037 0.036 0.035 0.039 0.039 0.039 
 2031 0.038 0.037 0.037 0.040 0.040 0.040 
 2032 0.039 0.039 0.038 0.042 0.042 0.042 
 2033 0.040 0.041 0.039 0.043 0.043 0.043 
 2034 0.041 0.042 0.041 0.046 0.046 0.046 
 2035 0.043 0.045 0.042 0.048 0.048 0.048 
 2036 0.045 0.046 0.044 0.050 0.050 0.050 
 2037 0.046 0.047 0.046 0.052 0.052 0.052 
 2038 0.047 0.048 0.047 0.055 0.055 0.055 
 2039 0.049 0.050 0.049 0.057 0.057 0.057 
 2040 0.050 0.052 0.051 0.058 0.058 0.058 
 2041 0.052 0.053 0.052 0.059 0.059 0.059 
 2042 0.053 0.055 0.053 0.061 0.061 0.061 
 2043 0.054 0.057 0.055 0.064 0.064 0.064 
 2044 0.056 0.059 0.057 0.066 0.066 0.066 
 2045 0.058 0.061 0.059 0.068 0.068 0.068 
 2046 0.059 0.063 0.061 0.071 0.071 0.071 
 2047 0.061 0.065 0.062 0.073 0.073 0.073 
 2048 0.063 0.066 0.064 0.075 0.075 0.075 
 2049 0.065 0.068 0.066 0.077 0.077 0.077 
 2050 0.066 0.069 0.068 0.080 0.080 0.080 
 2051 0.068 0.070 0.070 0.082 0.082 0.082 
 2052 0.069 0.071 0.072 0.084 0.084 0.084 
 2053 0.070 0.074 0.074 0.086 0.086 0.086 
 2054 0.072 0.076 0.076 0.089 0.089 0.089 
 2055 0.073 0.078 0.078 0.091 0.091 0.091 
 2056 0.074 0.080 0.080 0.093 0.093 0.093 
 2057 0.075 0.083 0.083 0.095 0.095 0.095 
 2058 0.076 0.085 0.085 0.098 0.098 0.098 
 2059 0.078 0.087 0.086 0.101 0.101 0.101 
 2060 0.080 0.088 0.089 0.103 0.103 0.103 
 2061 0.083 0.090 0.091 0.106 0.106 0.106 
 2062 0.085 0.092 0.093 0.109 0.109 0.109 
 2063 0.086 0.093 0.096 0.111 0.111 0.111 
 2064 0.087 0.095 0.098 0.114 0.114 0.114 
 2065 0.089 0.098 0.101 0.116 0.116 0.116 
 2066 0.090 0.099 0.102 0.119 0.119 0.119 
 2067 0.091 0.101 0.103 0.122 0.122 0.122 
 2068 0.092 0.103 0.105 0.125 0.125 0.125 
 2069 0.093 0.106 0.107 0.127 0.127 0.127 
 2070 0.095 0.108 0.109 0.130 0.130 0.130 
 2071 0.096 0.110 0.112 0.133 0.133 0.133 
 2072 0.098 0.112 0.114 0.136 0.136 0.136 
 2073 0.099 0.114 0.117 0.138 0.138 0.138 
 2074 0.100 0.116 0.119 0.141 0.141 0.141 
 2075 0.102 0.119 0.121 0.144 0.144 0.144 
 2076 0.104 0.121 0.123 0.147 0.147 0.147 
 2077 0.105 0.123 0.125 0.150 0.150 0.150 
 2078 0.106 0.125 0.127 0.153 0.153 0.153 
 2079 0.108 0.127 0.130 0.156 0.156 0.156 
 2080 0.110 0.130 0.132 0.159 0.159 0.159 
 2081 0.112 0.130 0.134 0.162 0.162 0.162 
 2082 0.114 0.132 0.137 0.165 0.165 0.165 
 2083 0.115 0.135 0.139 0.168 0.168 0.168 
 2084 0.116 0.137 0.141 0.172 0.172 0.172 
 2085 0.117 0.139 0.144 0.175 0.175 0.175 
 2086 0.119 0.142 0.146 0.178 0.178 0.178 
 2087 0.120 0.144 0.148 0.181 0.181 0.181 
 2088 0.121 0.147 0.150 0.184 0.184 0.184 
 2089 0.122 0.148 0.153 0.187 0.187 0.187 
 2090 0.123 0.150 0.156 0.190 0.190 0.190 
 2091 0.124 0.152 0.159 0.192 0.192 0.192 
 2092 0.126 0.154 0.162 0.196 0.196 0.196 
 2093 0.127 0.155 0.163 0.199 0.199 0.199 
 2094 0.128 0.157 0.166 0.203 0.203 0.203 
 2095 0.130 0.160 0.169 0.207 0.207 0.207 
 2096 0.131 0.161 0.172 0.210 0.210 0.210 
 2097 0.133 0.163 0.174 0.215 0.215 0.215 
 2098 0.134 0.165 0.176 0.218 0.218 0.218 
 2099 0.135 0.167 0.179 0.220 0.220 0.220 
 2100 0.136 0.168 0.182 0.223 0.223 0.223 
 2101 0.138 0.171 0.184 0.227 0.227 0.227 
 2102 0.139 0.172 0.186 0.231 0.231 0.231 
 2103 0.140 0.174 0.188 0.235 0.235 0.235 
 2104 0.141 0.175 0.190 0.239 0.239 0.239 
 2105 0.142 0.177 0.193 0.241 0.241 0.241 
 2106 0.143 0.180 0.196 0.244 0.244 0.244 
 2107 0.144 0.181 0.199 0.247 0.247 0.247 
 2108 0.146 0.183 0.201 0.250 0.250 0.250 
 2109 0.147 0.184 0.204 0.253 0.253 0.253 
 2110 0.148 0.185 0.207 0.257 0.257 0.257 
 2111 0.149 0.187 0.210 0.261 0.261 0.261 
 2112 0.150 0.190 0.213 0.264 0.264 0.264 
 2113 0.151 0.192 0.216 0.268 0.268 0.268 
 2114 0.152 0.194 0.218 0.270 0.270 0.270 
 2115 0.155 0.197 0.220 0.274 0.274 0.274 
 2116 0.157 0.198 0.222 0.277 0.277 0.277 
 2117 0.158 0.200 0.225 0.280 0.280 0.280 
 2118 0.159 0.202 0.228 0.284 0.284 0.284 
 2119 0.161 0.203 0.231 0.288 0.288 0.288 
 2120 0.161 0.204 0.233 0.292 0.292 0.292 
 2121 0.162 0.206 0.235 0.296 0.296 0.296 
 2122 0.163 0.208 0.237 0.299 0.299 0.299 
 2123 0.163 0.210 0.240 0.303 0.303 0.303 
 2124 0.164 0.212 0.241 0.307 0.307 0.307 
 2125 0.166 0.214 0.243 0.311 0.311 0.311 
 2126 0.167 0.216 0.246 0.315 0.315 0.315 
 2127 0.168 0.218 0.248 0.318 0.318 0.318 
 2128 0.170 0.220 0.251 0.322 0.322 0.322 
 2129 0.171 0.221 0.253 0.326 0.326 0.326 
 2130 0.172 0.222 0.256 0.330 0.330 0.330 
 2131 0.173 0.223 0.258 0.334 0.334 0.334 
 2132 0.174 0.225 0.260 0.338 0.338 0.338 
 2133 0.176 0.227 0.262 0.342 0.342 0.342 
 2134 0.177 0.228 0.264 0.346 0.346 0.346 
 2135 0.177 0.230 0.267 0.351 0.351 0.351 
 2136 0.179 0.231 0.269 0.353 0.353 0.353 
 2137 0.180 0.233 0.270 0.356 0.356 0.356 
 2138 0.181 0.235 0.272 0.360 0.360 0.360 
 2139 0.182 0.236 0.275 0.363 0.363 0.363 
 2140 0.183 0.237 0.278 0.367 0.367 0.367 
 2141 0.184 0.239 0.280 0.371 0.371 0.371 
 2142 0.185 0.241 0.283 0.374 0.374 0.374 
 2143 0.186 0.244 0.284 0.377 0.377 0.377 
 2144 0.187 0.245 0.287 0.381 0.381 0.381 
 2145 0.189 0.247 0.289 0.385 0.385 0.385 
 2146 0.189 0.249 0.292 0.389 0.389 0.389 
 2147 0.190 0.250 0.294 0.393 0.394 0.394 
 2148 0.190 0.251 0.297 0.396 0.398 0.398 
 2149 0.192 0.252 0.298 0.400 0.401 0.401 
 2150 0.193 0.254 0.301 0.405 0.405 0.405 
 2151 0.194 0.254 0.304 0.409 0.409 0.409 
 2152 0.196 0.256 0.306 0.412 0.412 0.412 
 2153 0.196 0.258 0.309 0.415 0.416 0.416 
 2154 0.196 0.260 0.313 0.417 0.420 0.420 
 2155 0.197 0.262 0.316 0.420 0.424 0.424 
 2156 0.198 0.263 0.318 0.424 0.428 0.428 
 2157 0.200 0.265 0.320 0.427 0.432 0.432 
 2158 0.201 0.266 0.322 0.430 0.435 0.435 
 2159 0.202 0.267 0.325 0.434 0.438 0.438 
 2160 0.202 0.269 0.327 0.438 0.441 0.441 
 2161 0.203 0.270 0.329 0.442 0.445 0.445 
 2162 0.205 0.271 0.331 0.446 0.449 0.449 
 2163 0.206 0.274 0.333 0.450 0.452 0.452 
 2164 0.207 0.276 0.336 0.454 0.456 0.456 
 2165 0.208 0.279 0.338 0.458 0.461 0.461 
 2166 0.208 0.280 0.340 0.461 0.464 0.464 
 2167 0.209 0.281 0.342 0.465 0.468 0.468 
 2168 0.210 0.282 0.344 0.468 0.471 0.471 
 2169 0.211 0.283 0.347 0.471 0.475 0.475 
 2170 0.211 0.283 0.349 0.474 0.478 0.478 
 2171 0.212 0.285 0.351 0.478 0.481 0.481 
 2172 0.213 0.286 0.353 0.480 0.485 0.485 
 2173 0.214 0.287 0.354 0.483 0.490 0.490 
 2174 0.214 0.289 0.356 0.486 0.495 0.495 
 2175 0.215 0.290 0.358 0.489 0.499 0.499 
 2176 0.216 0.292 0.360 0.493 0.502 0.502 
 2177 0.216 0.293 0.363 0.497 0.506 0.506 
 2178 0.218 0.294 0.366 0.501 0.509 0.509 
 2179 0.219 0.296 0.368 0.505 0.513 0.513 
 2180 0.220 0.297 0.370 0.508 0.516 0.516 
 2181 0.221 0.299 0.371 0.512 0.520 0.520 
 2182 0.222 0.300 0.374 0.516 0.524 0.524 
 2183 0.223 0.302 0.376 0.519 0.528 0.528 
 2184 0.223 0.303 0.378 0.521 0.532 0.532 
 2185 0.223 0.305 0.379 0.524 0.536 0.536 
 2186 0.224 0.306 0.381 0.528 0.539 0.539 
 2187 0.225 0.307 0.383 0.530 0.543 0.543 
 2188 0.225 0.309 0.384 0.533 0.547 0.547 
 2189 0.226 0.311 0.386 0.536 0.552 0.552 
 2190 0.227 0.313 0.388 0.540 0.555 0.555 
 2191 0.228 0.315 0.391 0.543 0.559 0.559 
 2192 0.230 0.316 0.393 0.547 0.562 0.562 
 2193 0.231 0.317 0.395 0.550 0.566 0.566 
 2194 0.231 0.319 0.396 0.553 0.570 0.570 
 2195 0.231 0.320 0.398 0.556 0.574 0.574 
 2196 0.232 0.322 0.401 0.559 0.578 0.578 
 2197 0.233 0.322 0.404 0.562 0.581 0.581 
 2198 0.233 0.324 0.406 0.565 0.585 0.585 
 2199 0.233 0.325 0.407 0.569 0.589 0.589 
 2200 0.235 0.326 0.408 0.572 0.593 0.593 
 2201 0.236 0.327 0.410 0.574 0.597 0.597 
 2202 0.236 0.329 0.413 0.577 0.601 0.601 
 2203 0.237 0.331 0.415 0.580 0.605 0.605 
 2204 0.237 0.332 0.417 0.583 0.609 0.609 
 2205 0.237 0.334 0.419 0.586 0.613 0.613 
 2206 0.238 0.335 0.421 0.590 0.616 0.616 
 2207 0.239 0.337 0.422 0.593 0.620 0.620 
 2208 0.240 0.337 0.424 0.596 0.624 0.624 
 2209 0.241 0.338 0.427 0.598 0.628 0.628 
 2210 0.242 0.339 0.430 0.601 0.632 0.632 
 2211 0.242 0.340 0.433 0.605 0.635 0.635 
 2212 0.242 0.342 0.435 0.608 0.638 0.638 
 2213 0.243 0.343 0.436 0.611 0.642 0.642 
 2214 0.244 0.345 0.439 0.613 0.645 0.645 
 2215 0.243 0.346 0.441 0.616 0.648 0.648 
 2216 0.244 0.347 0.442 0.619 0.651 0.651 
 2217 0.245 0.349 0.444 0.621 0.655 0.655 
 2218 0.245 0.350 0.446 0.624 0.657 0.657 
 2219 0.246 0.352 0.448 0.626 0.661 0.661 
 2220 0.248 0.353 0.450 0.628 0.664 0.664 
 2221 0.248 0.353 0.452 0.632 0.668 0.668 
 2222 0.248 0.355 0.453 0.634 0.671 0.671 
 2223 0.250 0.356 0.455 0.638 0.676 0.676 
 2224 0.250 0.358 0.457 0.641 0.680 0.680 
 2225 0.251 0.359 0.458 0.644 0.684 0.684 
 2226 0.251 0.361 0.459 0.647 0.688 0.688 
 2227 0.252 0.363 0.461 0.650 0.692 0.692 
 2228 0.253 0.364 0.463 0.653 0.696 0.696 
 2229 0.253 0.365 0.465 0.656 0.699 0.699 
 2230 0.253 0.366 0.467 0.660 0.702 0.702 
 2231 0.254 0.367 0.468 0.662 0.706 0.706 
 2232 0.254 0.369 0.469 0.665 0.710 0.710 
 2233 0.255 0.369 0.471 0.667 0.713 0.713 
 2234 0.256 0.371 0.473 0.670 0.717 0.717 
 2235 0.256 0.372 0.475 0.673 0.720 0.720 
 2236 0.257 0.373 0.477 0.676 0.723 0.723 
 2237 0.257 0.375 0.478 0.678 0.726 0.726 
 2238 0.258 0.376 0.479 0.681 0.729 0.729 
 2239 0.259 0.377 0.481 0.683 0.732 0.732 
 2240 0.259 0.378 0.483 0.686 0.736 0.736 
 2241 0.259 0.379 0.485 0.688 0.740 0.740 
 2242 0.260 0.381 0.487 0.690 0.744 0.744 
 2243 0.260 0.383 0.489 0.693 0.748 0.748 
 2244 0.260 0.384 0.491 0.696 0.751 0.751 
 2245 0.261 0.385 0.493 0.699 0.754 0.754 
 2246 0.262 0.386 0.495 0.702 0.757 0.757 
 2247 0.263 0.387 0.498 0.704 0.760 0.760 
 2248 0.263 0.388 0.501 0.706 0.764 0.764 
 2249 0.264 0.389 0.502 0.709 0.768 0.768 
 2250 0.265 0.390 0.504 0.713 0.771 0.771 
 2251 0.265 0.391 0.505 0.716 0.775 0.775 
 2252 0.266 0.393 0.506 0.719 0.777 0.777 
 2253 0.267 0.394 0.507 0.722 0.781 0.781 
 2254 0.268 0.395 0.509 0.724 0.785 0.785 
 2255 0.268 0.397 0.511 0.726 0.789 0.789 
 2256 0.269 0.398 0.512 0.729 0.793 0.793 
 2257 0.269 0.399 0.515 0.731 0.797 0.797 
 2258 0.269 0.400 0.517 0.734 0.801 0.801 
 2259 0.269 0.401 0.518 0.737 0.805 0.805 
 2260 0.269 0.402 0.520 0.739 0.808 0.808 
 2261 0.270 0.404 0.521 0.742 0.810 0.810 
 2262 0.270 0.404 0.521 0.744 0.814 0.814 
 2263 0.271 0.405 0.523 0.746 0.817 0.817 
 2264 0.271 0.405 0.524 0.749 0.821 0.821 
 2265 0.272 0.406 0.526 0.752 0.825 0.825 
 2266 0.272 0.408 0.528 0.755 0.828 0.828 
 2267 0.273 0.410 0.529 0.757 0.831 0.831 
 2268 0.274 0.411 0.531 0.760 0.834 0.834 
 2269 0.275 0.412 0.533 0.763 0.838 0.838 
 2270 0.275 0.414 0.535 0.765 0.841 0.841 
 2271 0.275 0.415 0.537 0.767 0.844 0.844 
 2272 0.276 0.417 0.539 0.770 0.848 0.848 
 2273 0.276 0.418 0.541 0.772 0.851 0.851 
 2274 0.277 0.420 0.542 0.775 0.853 0.853 
 2275 0.277 0.420 0.544 0.777 0.856 0.856 
 2276 0.278 0.421 0.545 0.780 0.859 0.859 
 2277 0.278 0.422 0.546 0.782 0.862 0.862 
 2278 0.278 0.422 0.548 0.784 0.866 0.866 
 2279 0.279 0.424 0.549 0.787 0.869 0.869 
 2280 0.280 0.425 0.551 0.790 0.872 0.872 
 2281 0.281 0.426 0.553 0.793 0.876 0.876 
 2282 0.281 0.428 0.554 0.795 0.878 0.878 
 2283 0.282 0.429 0.556 0.797 0.881 0.881 
 2284 0.284 0.431 0.558 0.801 0.883 0.883 
 2285 0.284 0.432 0.561 0.804 0.886 0.886 
 2286 0.285 0.434 0.562 0.806 0.889 0.889 
 2287 0.285 0.435 0.564 0.809 0.893 0.893 
 2288 0.285 0.435 0.565 0.811 0.897 0.897 
 2289 0.285 0.436 0.567 0.813 0.900 0.900 
 2290 0.286 0.436 0.568 0.815 0.903 0.903 
 2291 0.286 0.437 0.570 0.817 0.906 0.906 
 2292 0.287 0.437 0.571 0.820 0.909 0.909 
 2293 0.287 0.439 0.573 0.822 0.912 0.912 
 2294 0.287 0.440 0.575 0.825 0.915 0.915 
 2295 0.288 0.442 0.577 0.827 0.918 0.918 
 2296 0.289 0.443 0.578 0.830 0.922 0.922 
 2297 0.289 0.444 0.579 0.832 0.926 0.926 
 2298 0.289 0.446 0.581 0.833 0.930 0.930 
 2299 0.290 0.447 0.583 0.835 0.932 0.933 
 2300 0.290 0.449 0.585 0.837 0.935 0.935 
 2301 0.290 0.450 0.586 0.841 0.939 0.938 
 2302 0.290 0.450 0.588 0.843 0.942 0.940 
 2303 0.291 0.451 0.589 0.845 0.944 0.942 
 2304 0.291 0.453 0.590 0.848 0.947 0.945 
 2305 0.291 0.454 0.592 0.849 0.949 0.949 
 2306 0.292 0.455 0.593 0.851 0.951 0.952 
 2307 0.293 0.457 0.595 0.855 0.954 0.956 
 2308 0.294 0.458 0.596 0.857 0.957 0.959 
 2309 0.295 0.459 0.598 0.860 0.959 0.962 
 2310 0.294 0.461 0.599 0.862 0.962 0.965 
 2311 0.294 0.462 0.600 0.865 0.965 0.968 
 2312 0.296 0.463 0.602 0.867 0.969 0.972 
 2313 0.297 0.464 0.603 0.870 0.972 0.975 
 2314 0.297 0.465 0.604 0.872 0.974 0.977 
 2315 0.297 0.467 0.605 0.874 0.977 0.979 
 2316 0.296 0.468 0.608 0.876 0.979 0.981 
 2317 0.296 0.468 0.609 0.879 0.982 0.984 
 2318 0.296 0.468 0.610 0.882 0.985 0.988 
 2319 0.298 0.469 0.612 0.884 0.988 0.991 
 2320 0.298 0.471 0.613 0.887 0.990 0.994 
 2321 0.299 0.473 0.615 0.889 0.993 0.997 
 2322 0.300 0.474 0.617 0.891 0.996 0.999 
 2323 0.300 0.474 0.619 0.893 0.998 1.002 
 2324 0.301 0.475 0.621 0.894 1.001 1.004 
 2325 0.301 0.476 0.622 0.896 1.005 1.007 
 2326 0.302 0.476 0.624 0.899 1.009 1.010 
 2327 0.302 0.476 0.626 0.901 1.012 1.013 
 2328 0.302 0.477 0.627 0.903 1.015 1.015 
 2329 0.302 0.477 0.628 0.905 1.017 1.018 
 2330 0.304 0.479 0.630 0.907 1.019 1.020 
 2331 0.304 0.480 0.632 0.908 1.022 1.023 
 2332 0.305 0.480 0.634 0.910 1.025 1.026 
 2333 0.305 0.482 0.635 0.913 1.028 1.028 
 2334 0.306 0.483 0.636 0.915 1.031 1.031 
 2335 0.306 0.484 0.637 0.917 1.034 1.034 
 2336 0.307 0.485 0.637 0.919 1.036 1.037 
 2337 0.307 0.487 0.638 0.921 1.038 1.040 
 2338 0.307 0.487 0.639 0.923 1.041 1.043 
 2339 0.307 0.488 0.641 0.925 1.043 1.046 
 2340 0.307 0.488 0.643 0.927 1.045 1.048 
 2341 0.307 0.489 0.645 0.929 1.047 1.051 
 2342 0.307 0.490 0.645 0.932 1.050 1.053 
 2343 0.306 0.491 0.646 0.935 1.053 1.056 
 2344 0.307 0.491 0.648 0.936 1.056 1.058 
 2345 0.308 0.491 0.649 0.937 1.058 1.061 
 2346 0.309 0.493 0.651 0.939 1.061 1.063 
 2347 0.309 0.494 0.652 0.941 1.064 1.066 
 2348 0.310 0.495 0.654 0.944 1.066 1.070 
 2349 0.311 0.496 0.656 0.945 1.069 1.073 
 2350 0.311 0.497 0.657 0.947 1.072 1.076 
 2351 0.311 0.499 0.657 0.949 1.075 1.078 
 2352 0.311 0.500 0.659 0.951 1.078 1.081 
 2353 0.312 0.500 0.660 0.953 1.081 1.084 
 2354 0.312 0.501 0.662 0.954 1.085 1.087 
 2355 0.313 0.502 0.664 0.956 1.087 1.089 
 2356 0.313 0.503 0.665 0.959 1.090 1.093 
 2357 0.313 0.503 0.666 0.961 1.092 1.095 
 2358 0.313 0.505 0.668 0.963 1.095 1.098 
 2359 0.313 0.506 0.669 0.965 1.098 1.100 
 2360 0.314 0.507 0.670 0.966 1.101 1.102 
 2361 0.314 0.508 0.671 0.967 1.104 1.105 
 2362 0.314 0.508 0.673 0.969 1.106 1.108 
 2363 0.315 0.509 0.674 0.971 1.109 1.110 
 2364 0.315 0.510 0.675 0.973 1.111 1.113 
 2365 0.316 0.511 0.677 0.975 1.113 1.115 
 2366 0.316 0.512 0.678 0.977 1.116 1.118 
 2367 0.316 0.513 0.679 0.979 1.118 1.120 
 2368 0.316 0.514 0.680 0.980 1.120 1.122 
 2369 0.316 0.514 0.680 0.982 1.122 1.125 
 2370 0.317 0.515 0.681 0.984 1.124 1.128 
 2371 0.317 0.516 0.682 0.986 1.126 1.131 
 2372 0.318 0.517 0.683 0.988 1.130 1.133 
 2373 0.319 0.519 0.684 0.989 1.133 1.136 
 2374 0.319 0.520 0.686 0.991 1.137 1.139 
 2375 0.320 0.520 0.687 0.992 1.141 1.142 
 2376 0.320 0.520 0.688 0.994 1.143 1.145 
 2377 0.320 0.520 0.689 0.996 1.144 1.146 
 2378 0.320 0.521 0.690 0.998 1.147 1.148 
 2379 0.320 0.523 0.692 1.000 1.149 1.151 
 2380 0.321 0.524 0.693 1.001 1.150 1.154 
 2381 0.321 0.525 0.694 1.003 1.153 1.157 
 2382 0.322 0.525 0.695 1.005 1.155 1.159 
 2383 0.323 0.525 0.696 1.006 1.157 1.163 
 2384 0.323 0.527 0.697 1.008 1.159 1.165 
 2385 0.322 0.528 0.698 1.010 1.162 1.168 
 2386 0.322 0.529 0.699 1.012 1.165 1.170 
 2387 0.323 0.530 0.700 1.014 1.168 1.172 
 2388 0.323 0.531 0.701 1.016 1.171 1.176 
 2389 0.323 0.531 0.702 1.017 1.173 1.179 
 2390 0.324 0.533 0.703 1.019 1.176 1.182 
 2391 0.324 0.533 0.704 1.020 1.178 1.185 
 2392 0.325 0.534 0.704 1.022 1.181 1.188 
 2393 0.325 0.535 0.706 1.025 1.183 1.190 
 2394 0.325 0.536 0.708 1.026 1.186 1.192 
 2395 0.325 0.537 0.709 1.028 1.188 1.194 
 2396 0.325 0.537 0.710 1.030 1.191 1.196 
 2397 0.325 0.539 0.710 1.033 1.193 1.198 
 2398 0.325 0.540 0.712 1.034 1.195 1.200 
 2399 0.326 0.540 0.714 1.036 1.197 1.202 
 2400 0.326 0.541 0.715 1.038 1.200 1.204 
 2401 0.327 0.542 0.717 1.041 1.203 1.206 
 2402 0.328 0.544 0.718 1.042 1.206 1.208 
 2403 0.328 0.544 0.719 1.044 1.208 1.210 
 2404 0.328 0.545 0.719 1.045 1.210 1.212 
 2405 0.328 0.545 0.720 1.047 1.212 1.214 
 2406 0.328 0.546 0.721 1.049 1.215 1.216 
 2407 0.329 0.546 0.722 1.050 1.217 1.217 
 2408 0.329 0.547 0.723 1.052 1.219 1.220 
 2409 0.330 0.547 0.724 1.054 1.221 1.222 
 2410 0.330 0.548 0.726 1.055 1.224 1.225 
 2411 0.331 0.549 0.727 1.056 1.227 1.228 
 2412 0.331 0.550 0.729 1.057 1.230 1.231 
 2413 0.331 0.550 0.730 1.059 1.234 1.234 
 2414 0.331 0.551 0.731 1.061 1.236 1.237 
 2415 0.331 0.551 0.731 1.062 1.238 1.239 
 2416 0.331 0.552 0.733 1.063 1.240 1.240 
 2417 0.331 0.554 0.734 1.064 1.243 1.242 
 2418 0.331 0.554 0.735 1.066 1.245 1.245 
 2419 0.332 0.555 0.737 1.067 1.247 1.247 
 2420 0.332 0.557 0.737 1.068 1.249 1.250 
 2421 0.332 0.557 0.738 1.070 1.251 1.252 
 2422 0.332 0.557 0.739 1.073 1.253 1.254 
 2423 0.332 0.558 0.741 1.074 1.256 1.257 
 2424 0.332 0.558 0.742 1.076 1.258 1.260 
 2425 0.333 0.559 0.742 1.078 1.260 1.263 
 2426 0.334 0.560 0.743 1.080 1.262 1.266 
 2427 0.335 0.561 0.744 1.081 1.265 1.268 
 2428 0.336 0.562 0.745 1.083 1.268 1.270 
 2429 0.336 0.562 0.745 1.084 1.271 1.272 
 2430 0.337 0.563 0.747 1.086 1.274 1.274 
 2431 0.336 0.564 0.749 1.087 1.276 1.278 
 2432 0.336 0.565 0.750 1.089 1.278 1.281 
 2433 0.336 0.566 0.751 1.091 1.281 1.284 
 2434 0.336 0.566 0.752 1.093 1.283 1.286 
 2435 0.337 0.566 0.754 1.095 1.286 1.290 
 2436 0.337 0.566 0.756 1.095 1.289 1.293 
 2437 0.338 0.567 0.758 1.097 1.291 1.295 
 2438 0.338 0.568 0.758 1.099 1.293 1.297 
 2439 0.338 0.569 0.759 1.101 1.296 1.299 
 2440 0.338 0.570 0.759 1.103 1.299 1.302 
 2441 0.338 0.571 0.759 1.104 1.300 1.304 
 2442 0.339 0.573 0.760 1.106 1.302 1.307 
 2443 0.339 0.573 0.761 1.106 1.304 1.310 
 2444 0.339 0.575 0.762 1.107 1.306 1.312 
 2445 0.339 0.576 0.763 1.109 1.308 1.314 
 2446 0.340 0.576 0.764 1.112 1.311 1.315 
 2447 0.340 0.577 0.765 1.113 1.312 1.317 
 2448 0.339 0.578 0.767 1.115 1.314 1.319 
 2449 0.340 0.578 0.768 1.116 1.317 1.321 
 2450 0.341 0.578 0.769 1.118 1.320 1.324 
 2451 0.341 0.579 0.770 1.119 1.322 1.326 
 2452 0.342 0.580 0.771 1.121 1.325 1.328 
 2453 0.343 0.580 0.773 1.122 1.326 1.331 
 2454 0.343 0.580 0.773 1.124 1.328 1.333 
 2455 0.343 0.581 0.774 1.127 1.330 1.336 
 2456 0.343 0.582 0.775 1.129 1.333 1.338 
 2457 0.344 0.581 0.776 1.130 1.335 1.340 
 2458 0.344 0.582 0.776 1.131 1.337 1.342 
 2459 0.344 0.582 0.776 1.131 1.340 1.344 
 2460 0.344 0.583 0.777 1.133 1.343 1.346 
 2461 0.345 0.583 0.778 1.134 1.345 1.348 
 2462 0.345 0.583 0.778 1.135 1.347 1.350 
 2463 0.345 0.585 0.779 1.137 1.350 1.353 
 2464 0.345 0.586 0.780 1.139 1.352 1.355 
 2465 0.346 0.586 0.781 1.140 1.354 1.358 
 2466 0.347 0.586 0.782 1.142 1.355 1.361 
 2467 0.347 0.587 0.783 1.143 1.358 1.364 
 2468 0.347 0.587 0.784 1.144 1.361 1.366 
 2469 0.348 0.588 0.785 1.145 1.363 1.368 
 2470 0.348 0.589 0.786 1.146 1.366 1.369 
 2471 0.348 0.590 0.787 1.148 1.368 1.372 
 2472 0.348 0.590 0.788 1.150 1.369 1.374 
 2473 0.348 0.591 0.790 1.153 1.371 1.374 
 2474 0.348 0.592 0.792 1.155 1.374 1.376 
 2475 0.347 0.593 0.793 1.156 1.376 1.378 
 2476 0.347 0.593 0.794 1.157 1.378 1.380 
 2477 0.347 0.593 0.795 1.159 1.380 1.381 
 2478 0.349 0.593 0.796 1.160 1.383 1.383 
 2479 0.350 0.594 0.797 1.162 1.384 1.384 
 2480 0.350 0.594 0.798 1.163 1.387 1.386 
