year  AIS_MMCP2.6  AIS_MMCP4.5  AIS_MMCP6.0   AIS_MMCP-break  AIS_MMCP8.5 AIS_MMCP-feedback 
 2001 0.000 0.000 0.000 0.000 0.000 0.000 
 2002 0.000 0.000 0.000 0.000 0.000 0.000 
 2003 0.001 0.000 0.001 0.001 0.001 0.001 
 2004 0.001 0.000 0.001 0.001 0.001 0.001 
 2005 0.001 0.000 0.001 0.001 0.001 0.001 
 2006 0.001 0.000 0.001 0.001 0.001 0.001 
 2007 0.001 0.000 0.001 0.001 0.001 0.001 
 2008 0.001 0.000 0.001 0.001 0.001 0.001 
 2009 0.002 0.000 0.001 0.001 0.001 0.001 
 2010 0.002 0.000 0.001 0.001 0.001 0.001 
 2011 0.002 0.000 0.002 0.001 0.001 0.001 
 2012 0.002 0.000 0.002 0.001 0.001 0.001 
 2013 0.002 0.001 0.002 0.002 0.002 0.002 
 2014 0.003 0.001 0.002 0.002 0.002 0.002 
 2015 0.003 0.002 0.002 0.002 0.002 0.002 
 2016 0.003 0.002 0.002 0.002 0.002 0.002 
 2017 0.003 0.002 0.003 0.002 0.002 0.002 
 2018 0.003 0.002 0.003 0.002 0.002 0.002 
 2019 0.003 0.002 0.003 0.002 0.002 0.002 
 2020 0.003 0.003 0.003 0.003 0.003 0.003 
 2021 0.003 0.003 0.003 0.003 0.003 0.003 
 2022 0.003 0.003 0.003 0.003 0.003 0.003 
 2023 0.003 0.003 0.003 0.003 0.003 0.003 
 2024 0.004 0.003 0.003 0.004 0.004 0.004 
 2025 0.004 0.003 0.003 0.004 0.004 0.004 
 2026 0.004 0.004 0.003 0.004 0.004 0.004 
 2027 0.004 0.004 0.004 0.004 0.004 0.004 
 2028 0.004 0.004 0.004 0.004 0.004 0.004 
 2029 0.004 0.004 0.004 0.005 0.005 0.005 
 2030 0.004 0.005 0.004 0.005 0.005 0.005 
 2031 0.004 0.005 0.004 0.005 0.005 0.005 
 2032 0.003 0.005 0.004 0.005 0.005 0.005 
 2033 0.003 0.005 0.004 0.006 0.006 0.006 
 2034 0.004 0.005 0.004 0.006 0.006 0.006 
 2035 0.004 0.005 0.005 0.006 0.006 0.006 
 2036 0.004 0.005 0.005 0.006 0.006 0.006 
 2037 0.004 0.005 0.006 0.006 0.006 0.006 
 2038 0.004 0.004 0.006 0.006 0.006 0.006 
 2039 0.004 0.004 0.006 0.006 0.006 0.006 
 2040 0.004 0.004 0.006 0.006 0.006 0.006 
 2041 0.004 0.004 0.006 0.006 0.006 0.006 
 2042 0.004 0.004 0.007 0.006 0.006 0.006 
 2043 0.004 0.004 0.007 0.007 0.007 0.007 
 2044 0.003 0.004 0.007 0.007 0.007 0.007 
 2045 0.003 0.004 0.007 0.007 0.007 0.007 
 2046 0.003 0.004 0.007 0.007 0.007 0.007 
 2047 0.003 0.005 0.007 0.007 0.007 0.007 
 2048 0.003 0.006 0.008 0.007 0.007 0.007 
 2049 0.003 0.006 0.007 0.008 0.008 0.008 
 2050 0.003 0.006 0.007 0.008 0.008 0.008 
 2051 0.002 0.006 0.007 0.007 0.007 0.007 
 2052 0.002 0.006 0.007 0.007 0.007 0.007 
 2053 0.002 0.005 0.008 0.007 0.007 0.007 
 2054 0.002 0.005 0.008 0.007 0.007 0.007 
 2055 0.002 0.005 0.008 0.007 0.007 0.007 
 2056 0.002 0.006 0.008 0.007 0.007 0.007 
 2057 0.002 0.006 0.008 0.008 0.008 0.008 
 2058 0.002 0.006 0.008 0.008 0.008 0.008 
 2059 0.002 0.007 0.008 0.008 0.008 0.008 
 2060 0.002 0.007 0.008 0.008 0.008 0.008 
 2061 0.002 0.007 0.008 0.008 0.008 0.008 
 2062 0.002 0.007 0.008 0.008 0.008 0.008 
 2063 0.002 0.007 0.008 0.008 0.008 0.008 
 2064 0.002 0.007 0.008 0.008 0.008 0.008 
 2065 0.003 0.006 0.008 0.008 0.008 0.008 
 2066 0.003 0.006 0.009 0.008 0.008 0.008 
 2067 0.003 0.007 0.009 0.008 0.008 0.008 
 2068 0.004 0.007 0.009 0.008 0.008 0.008 
 2069 0.004 0.007 0.010 0.008 0.008 0.008 
 2070 0.004 0.008 0.010 0.009 0.009 0.009 
 2071 0.005 0.008 0.010 0.010 0.010 0.010 
 2072 0.005 0.009 0.011 0.011 0.011 0.011 
 2073 0.005 0.009 0.012 0.013 0.013 0.013 
 2074 0.005 0.009 0.013 0.014 0.014 0.014 
 2075 0.005 0.009 0.013 0.016 0.016 0.016 
 2076 0.005 0.009 0.013 0.017 0.017 0.017 
 2077 0.006 0.009 0.013 0.017 0.017 0.017 
 2078 0.006 0.009 0.013 0.018 0.018 0.018 
 2079 0.007 0.010 0.013 0.018 0.018 0.018 
 2080 0.007 0.010 0.014 0.018 0.018 0.018 
 2081 0.007 0.011 0.015 0.018 0.018 0.018 
 2082 0.008 0.011 0.016 0.019 0.019 0.019 
 2083 0.008 0.011 0.017 0.020 0.020 0.020 
 2084 0.007 0.011 0.017 0.020 0.020 0.020 
 2085 0.007 0.012 0.018 0.020 0.020 0.020 
 2086 0.008 0.012 0.018 0.021 0.021 0.021 
 2087 0.009 0.012 0.019 0.022 0.022 0.022 
 2088 0.009 0.012 0.019 0.023 0.023 0.023 
 2089 0.010 0.012 0.020 0.025 0.025 0.025 
 2090 0.011 0.012 0.020 0.026 0.026 0.026 
 2091 0.012 0.013 0.020 0.027 0.027 0.027 
 2092 0.012 0.014 0.021 0.028 0.028 0.028 
 2093 0.012 0.014 0.022 0.029 0.029 0.029 
 2094 0.012 0.015 0.023 0.031 0.031 0.031 
 2095 0.013 0.015 0.023 0.032 0.032 0.032 
 2096 0.013 0.016 0.023 0.033 0.033 0.033 
 2097 0.013 0.016 0.023 0.035 0.035 0.035 
 2098 0.013 0.017 0.023 0.037 0.037 0.037 
 2099 0.013 0.017 0.023 0.039 0.039 0.039 
 2100 0.013 0.018 0.023 0.041 0.041 0.041 
 2101 0.013 0.018 0.024 0.043 0.043 0.043 
 2102 0.013 0.019 0.025 0.046 0.046 0.046 
 2103 0.013 0.019 0.026 0.049 0.049 0.049 
 2104 0.013 0.019 0.027 0.051 0.051 0.051 
 2105 0.013 0.020 0.027 0.053 0.053 0.053 
 2106 0.013 0.021 0.028 0.054 0.054 0.054 
 2107 0.013 0.021 0.029 0.055 0.055 0.055 
 2108 0.014 0.021 0.029 0.057 0.057 0.057 
 2109 0.014 0.021 0.029 0.060 0.060 0.060 
 2110 0.014 0.022 0.030 0.063 0.063 0.063 
 2111 0.014 0.022 0.030 0.066 0.066 0.066 
 2112 0.014 0.023 0.031 0.067 0.067 0.067 
 2113 0.014 0.024 0.032 0.069 0.069 0.069 
 2114 0.014 0.024 0.033 0.070 0.070 0.070 
 2115 0.014 0.024 0.034 0.071 0.071 0.071 
 2116 0.015 0.024 0.034 0.072 0.072 0.072 
 2117 0.015 0.025 0.034 0.073 0.073 0.073 
 2118 0.016 0.026 0.035 0.075 0.075 0.075 
 2119 0.017 0.027 0.036 0.076 0.076 0.076 
 2120 0.018 0.028 0.037 0.077 0.077 0.077 
 2121 0.018 0.029 0.037 0.079 0.079 0.079 
 2122 0.018 0.029 0.038 0.081 0.081 0.081 
 2123 0.018 0.029 0.038 0.084 0.084 0.084 
 2124 0.018 0.029 0.039 0.087 0.087 0.087 
 2125 0.018 0.029 0.040 0.089 0.089 0.089 
 2126 0.019 0.029 0.042 0.092 0.092 0.092 
 2127 0.019 0.029 0.043 0.094 0.094 0.094 
 2128 0.019 0.029 0.044 0.098 0.098 0.098 
 2129 0.020 0.030 0.044 0.101 0.101 0.101 
 2130 0.020 0.031 0.045 0.105 0.105 0.105 
 2131 0.020 0.032 0.046 0.107 0.107 0.107 
 2132 0.020 0.033 0.047 0.110 0.110 0.110 
 2133 0.020 0.033 0.048 0.113 0.113 0.113 
 2134 0.020 0.034 0.049 0.116 0.116 0.116 
 2135 0.020 0.034 0.051 0.118 0.118 0.118 
 2136 0.020 0.034 0.052 0.121 0.121 0.121 
 2137 0.021 0.035 0.053 0.124 0.124 0.124 
 2138 0.022 0.036 0.054 0.126 0.126 0.126 
 2139 0.022 0.036 0.056 0.129 0.129 0.129 
 2140 0.022 0.037 0.058 0.133 0.133 0.133 
 2141 0.023 0.038 0.059 0.137 0.137 0.137 
 2142 0.023 0.039 0.060 0.140 0.140 0.140 
 2143 0.023 0.040 0.061 0.143 0.143 0.143 
 2144 0.023 0.041 0.062 0.145 0.145 0.145 
 2145 0.023 0.042 0.063 0.147 0.147 0.147 
 2146 0.023 0.043 0.064 0.150 0.149 0.149 
 2147 0.023 0.043 0.065 0.153 0.152 0.152 
 2148 0.023 0.043 0.066 0.156 0.155 0.155 
 2149 0.024 0.044 0.067 0.158 0.157 0.157 
 2150 0.025 0.044 0.068 0.159 0.160 0.160 
 2151 0.025 0.045 0.069 0.161 0.162 0.162 
 2152 0.025 0.046 0.070 0.164 0.164 0.164 
 2153 0.025 0.047 0.071 0.167 0.167 0.167 
 2154 0.025 0.048 0.073 0.171 0.170 0.170 
 2155 0.025 0.049 0.074 0.174 0.173 0.173 
 2156 0.025 0.050 0.076 0.176 0.177 0.177 
 2157 0.026 0.051 0.077 0.179 0.180 0.180 
 2158 0.026 0.052 0.077 0.182 0.183 0.183 
 2159 0.027 0.052 0.079 0.186 0.186 0.186 
 2160 0.027 0.053 0.081 0.190 0.189 0.189 
 2161 0.027 0.054 0.083 0.194 0.193 0.193 
 2162 0.027 0.055 0.084 0.196 0.197 0.197 
 2163 0.027 0.055 0.085 0.198 0.200 0.200 
 2164 0.027 0.056 0.086 0.200 0.204 0.204 
 2165 0.028 0.057 0.087 0.204 0.207 0.207 
 2166 0.028 0.058 0.088 0.207 0.209 0.209 
 2167 0.029 0.059 0.090 0.211 0.211 0.211 
 2168 0.029 0.060 0.091 0.214 0.213 0.213 
 2169 0.029 0.060 0.093 0.217 0.216 0.216 
 2170 0.029 0.061 0.094 0.220 0.219 0.219 
 2171 0.030 0.062 0.095 0.223 0.223 0.223 
 2172 0.030 0.063 0.096 0.226 0.227 0.227 
 2173 0.030 0.063 0.098 0.229 0.230 0.230 
 2174 0.030 0.064 0.100 0.232 0.234 0.234 
 2175 0.030 0.064 0.102 0.234 0.238 0.238 
 2176 0.031 0.065 0.104 0.235 0.242 0.242 
 2177 0.031 0.065 0.106 0.237 0.246 0.246 
 2178 0.031 0.066 0.107 0.240 0.250 0.250 
 2179 0.031 0.066 0.108 0.244 0.254 0.254 
 2180 0.032 0.067 0.110 0.247 0.258 0.258 
 2181 0.033 0.067 0.112 0.250 0.262 0.262 
 2182 0.033 0.068 0.114 0.253 0.267 0.267 
 2183 0.034 0.069 0.116 0.256 0.272 0.272 
 2184 0.034 0.069 0.118 0.259 0.276 0.276 
 2185 0.035 0.070 0.120 0.262 0.279 0.279 
 2186 0.035 0.071 0.121 0.265 0.282 0.282 
 2187 0.035 0.071 0.122 0.267 0.286 0.286 
 2188 0.035 0.072 0.123 0.270 0.290 0.290 
 2189 0.036 0.073 0.124 0.273 0.294 0.294 
 2190 0.036 0.074 0.125 0.275 0.297 0.297 
 2191 0.036 0.075 0.126 0.278 0.300 0.300 
 2192 0.036 0.075 0.128 0.281 0.304 0.304 
 2193 0.037 0.075 0.130 0.284 0.308 0.308 
 2194 0.037 0.076 0.132 0.287 0.311 0.311 
 2195 0.037 0.077 0.133 0.289 0.314 0.314 
 2196 0.038 0.078 0.135 0.291 0.317 0.317 
 2197 0.038 0.079 0.136 0.293 0.320 0.320 
 2198 0.038 0.079 0.138 0.297 0.323 0.323 
 2199 0.038 0.080 0.139 0.301 0.327 0.327 
 2200 0.039 0.081 0.141 0.304 0.332 0.332 
 2201 0.039 0.082 0.143 0.307 0.336 0.336 
 2202 0.039 0.083 0.144 0.310 0.339 0.339 
 2203 0.040 0.084 0.145 0.312 0.342 0.342 
 2204 0.040 0.085 0.147 0.314 0.347 0.347 
 2205 0.041 0.086 0.149 0.317 0.351 0.351 
 2206 0.041 0.087 0.151 0.319 0.356 0.356 
 2207 0.042 0.088 0.152 0.323 0.361 0.361 
 2208 0.043 0.089 0.154 0.326 0.366 0.366 
 2209 0.043 0.090 0.155 0.329 0.370 0.370 
 2210 0.043 0.091 0.156 0.331 0.374 0.374 
 2211 0.044 0.092 0.157 0.334 0.377 0.377 
 2212 0.044 0.093 0.158 0.337 0.381 0.381 
 2213 0.044 0.094 0.159 0.340 0.385 0.385 
 2214 0.045 0.095 0.160 0.344 0.390 0.390 
 2215 0.045 0.096 0.161 0.348 0.395 0.395 
 2216 0.045 0.097 0.162 0.351 0.400 0.400 
 2217 0.046 0.098 0.163 0.354 0.406 0.406 
 2218 0.046 0.100 0.163 0.356 0.411 0.411 
 2219 0.046 0.102 0.164 0.360 0.416 0.416 
 2220 0.046 0.104 0.165 0.362 0.422 0.422 
 2221 0.046 0.106 0.166 0.364 0.426 0.426 
 2222 0.047 0.107 0.168 0.367 0.430 0.430 
 2223 0.047 0.109 0.169 0.370 0.434 0.434 
 2224 0.047 0.110 0.171 0.374 0.438 0.438 
 2225 0.047 0.111 0.173 0.377 0.442 0.442 
 2226 0.048 0.112 0.174 0.380 0.445 0.445 
 2227 0.049 0.112 0.175 0.382 0.449 0.449 
 2228 0.050 0.113 0.177 0.383 0.453 0.453 
 2229 0.050 0.114 0.178 0.384 0.457 0.457 
 2230 0.050 0.115 0.179 0.386 0.461 0.461 
 2231 0.050 0.117 0.180 0.387 0.466 0.466 
 2232 0.050 0.118 0.182 0.389 0.470 0.470 
 2233 0.051 0.118 0.184 0.391 0.475 0.475 
 2234 0.051 0.119 0.186 0.394 0.480 0.480 
 2235 0.051 0.121 0.187 0.397 0.485 0.485 
 2236 0.052 0.122 0.189 0.400 0.490 0.490 
 2237 0.053 0.122 0.191 0.404 0.495 0.495 
 2238 0.053 0.123 0.194 0.408 0.500 0.500 
 2239 0.053 0.123 0.196 0.412 0.504 0.504 
 2240 0.054 0.124 0.198 0.416 0.508 0.508 
 2241 0.055 0.125 0.200 0.420 0.511 0.511 
 2242 0.055 0.126 0.202 0.423 0.514 0.514 
 2243 0.055 0.127 0.204 0.426 0.518 0.518 
 2244 0.056 0.128 0.205 0.429 0.523 0.523 
 2245 0.057 0.128 0.207 0.432 0.529 0.529 
 2246 0.057 0.129 0.209 0.435 0.534 0.534 
 2247 0.057 0.129 0.210 0.438 0.539 0.539 
 2248 0.057 0.130 0.212 0.441 0.544 0.544 
 2249 0.058 0.130 0.213 0.445 0.549 0.549 
 2250 0.058 0.131 0.214 0.447 0.554 0.554 
 2251 0.059 0.131 0.216 0.449 0.559 0.559 
 2252 0.059 0.132 0.218 0.451 0.564 0.564 
 2253 0.060 0.133 0.219 0.454 0.568 0.568 
 2254 0.060 0.133 0.221 0.458 0.572 0.572 
 2255 0.060 0.134 0.222 0.461 0.576 0.576 
 2256 0.061 0.136 0.223 0.463 0.580 0.580 
 2257 0.061 0.137 0.225 0.465 0.583 0.583 
 2258 0.062 0.137 0.227 0.467 0.587 0.587 
 2259 0.062 0.137 0.229 0.470 0.591 0.591 
 2260 0.063 0.138 0.231 0.472 0.597 0.597 
 2261 0.063 0.139 0.232 0.476 0.602 0.602 
 2262 0.064 0.140 0.233 0.479 0.608 0.608 
 2263 0.064 0.140 0.235 0.482 0.614 0.614 
 2264 0.065 0.141 0.238 0.485 0.621 0.621 
 2265 0.065 0.142 0.240 0.487 0.627 0.627 
 2266 0.065 0.143 0.241 0.491 0.632 0.632 
 2267 0.065 0.144 0.243 0.494 0.637 0.637 
 2268 0.065 0.145 0.244 0.498 0.642 0.642 
 2269 0.066 0.146 0.246 0.500 0.646 0.646 
 2270 0.067 0.146 0.247 0.502 0.650 0.650 
 2271 0.067 0.147 0.249 0.505 0.655 0.655 
 2272 0.068 0.149 0.250 0.509 0.659 0.659 
 2273 0.068 0.150 0.251 0.512 0.663 0.663 
 2274 0.069 0.150 0.253 0.516 0.666 0.666 
 2275 0.069 0.151 0.254 0.521 0.670 0.670 
 2276 0.069 0.152 0.256 0.525 0.675 0.675 
 2277 0.070 0.153 0.257 0.529 0.679 0.679 
 2278 0.071 0.154 0.258 0.532 0.684 0.684 
 2279 0.072 0.155 0.260 0.535 0.688 0.688 
 2280 0.072 0.156 0.261 0.538 0.692 0.692 
 2281 0.072 0.157 0.262 0.540 0.695 0.695 
 2282 0.072 0.158 0.263 0.543 0.699 0.699 
 2283 0.073 0.159 0.264 0.546 0.704 0.704 
 2284 0.073 0.160 0.265 0.548 0.710 0.710 
 2285 0.073 0.161 0.266 0.550 0.715 0.715 
 2286 0.073 0.161 0.267 0.551 0.719 0.719 
 2287 0.074 0.162 0.268 0.553 0.723 0.723 
 2288 0.075 0.163 0.269 0.557 0.726 0.726 
 2289 0.076 0.164 0.270 0.561 0.729 0.729 
 2290 0.076 0.165 0.272 0.566 0.734 0.734 
 2291 0.076 0.166 0.274 0.571 0.739 0.739 
 2292 0.077 0.166 0.276 0.575 0.744 0.744 
 2293 0.078 0.167 0.277 0.578 0.750 0.750 
 2294 0.078 0.168 0.277 0.580 0.756 0.756 
 2295 0.079 0.169 0.278 0.583 0.762 0.762 
 2296 0.079 0.170 0.279 0.586 0.767 0.768 
 2297 0.080 0.171 0.281 0.590 0.773 0.772 
 2298 0.081 0.172 0.282 0.593 0.778 0.776 
 2299 0.082 0.173 0.284 0.598 0.784 0.779 
 2300 0.083 0.173 0.285 0.603 0.789 0.782 
 2301 0.084 0.174 0.286 0.607 0.794 0.787 
 2302 0.084 0.174 0.288 0.612 0.799 0.792 
 2303 0.084 0.174 0.289 0.615 0.804 0.797 
 2304 0.085 0.175 0.291 0.620 0.809 0.801 
 2305 0.085 0.176 0.293 0.625 0.814 0.805 
 2306 0.085 0.177 0.294 0.629 0.818 0.810 
 2307 0.086 0.178 0.294 0.632 0.824 0.815 
 2308 0.087 0.179 0.295 0.635 0.830 0.821 
 2309 0.087 0.179 0.296 0.638 0.836 0.826 
 2310 0.088 0.180 0.297 0.642 0.843 0.831 
 2311 0.088 0.181 0.298 0.645 0.849 0.838 
 2312 0.089 0.182 0.299 0.648 0.855 0.844 
 2313 0.090 0.183 0.300 0.651 0.860 0.849 
 2314 0.090 0.183 0.301 0.655 0.865 0.853 
 2315 0.091 0.184 0.302 0.659 0.871 0.858 
 2316 0.092 0.184 0.303 0.663 0.876 0.864 
 2317 0.092 0.185 0.304 0.667 0.882 0.871 
 2318 0.093 0.186 0.305 0.670 0.887 0.878 
 2319 0.094 0.187 0.306 0.674 0.892 0.884 
 2320 0.095 0.187 0.307 0.677 0.897 0.890 
 2321 0.096 0.188 0.308 0.680 0.901 0.896 
 2322 0.096 0.189 0.310 0.684 0.906 0.903 
 2323 0.096 0.190 0.312 0.688 0.910 0.910 
 2324 0.097 0.191 0.314 0.692 0.915 0.917 
 2325 0.099 0.191 0.315 0.696 0.921 0.923 
 2326 0.100 0.192 0.317 0.699 0.927 0.928 
 2327 0.100 0.193 0.318 0.702 0.933 0.934 
 2328 0.101 0.194 0.319 0.705 0.938 0.941 
 2329 0.101 0.194 0.320 0.708 0.942 0.948 
 2330 0.101 0.195 0.321 0.710 0.947 0.955 
 2331 0.102 0.196 0.323 0.713 0.952 0.960 
 2332 0.102 0.198 0.324 0.716 0.957 0.966 
 2333 0.102 0.199 0.324 0.719 0.962 0.972 
 2334 0.102 0.200 0.325 0.721 0.967 0.979 
 2335 0.103 0.201 0.327 0.724 0.972 0.986 
 2336 0.103 0.202 0.329 0.727 0.977 0.992 
 2337 0.103 0.203 0.331 0.731 0.981 0.998 
 2338 0.104 0.204 0.332 0.734 0.987 1.004 
 2339 0.104 0.205 0.334 0.737 0.992 1.009 
 2340 0.104 0.207 0.335 0.740 0.997 1.014 
 2341 0.105 0.208 0.337 0.742 1.002 1.019 
 2342 0.106 0.209 0.338 0.746 1.007 1.024 
 2343 0.106 0.210 0.339 0.749 1.012 1.029 
 2344 0.106 0.210 0.340 0.753 1.017 1.034 
 2345 0.106 0.210 0.340 0.758 1.023 1.039 
 2346 0.107 0.210 0.341 0.763 1.029 1.045 
 2347 0.107 0.211 0.341 0.767 1.036 1.053 
 2348 0.108 0.211 0.342 0.770 1.042 1.059 
 2349 0.108 0.212 0.342 0.773 1.048 1.065 
 2350 0.109 0.213 0.343 0.776 1.054 1.070 
 2351 0.110 0.214 0.344 0.779 1.059 1.076 
 2352 0.110 0.215 0.345 0.781 1.064 1.081 
 2353 0.111 0.216 0.346 0.783 1.069 1.087 
 2354 0.111 0.217 0.347 0.785 1.073 1.092 
 2355 0.112 0.218 0.348 0.787 1.077 1.098 
 2356 0.113 0.219 0.349 0.789 1.082 1.104 
 2357 0.113 0.220 0.351 0.791 1.088 1.110 
 2358 0.113 0.220 0.353 0.793 1.094 1.115 
 2359 0.113 0.221 0.354 0.795 1.100 1.121 
 2360 0.114 0.222 0.356 0.798 1.107 1.127 
 2361 0.115 0.224 0.357 0.801 1.113 1.133 
 2362 0.115 0.225 0.359 0.805 1.119 1.139 
 2363 0.115 0.226 0.360 0.809 1.126 1.143 
 2364 0.115 0.227 0.362 0.813 1.132 1.148 
 2365 0.116 0.228 0.363 0.817 1.138 1.154 
 2366 0.116 0.228 0.364 0.822 1.144 1.161 
 2367 0.116 0.229 0.365 0.826 1.150 1.167 
 2368 0.117 0.230 0.366 0.829 1.156 1.172 
 2369 0.117 0.231 0.367 0.833 1.163 1.176 
 2370 0.118 0.232 0.368 0.836 1.170 1.182 
 2371 0.119 0.233 0.369 0.840 1.176 1.188 
 2372 0.119 0.234 0.370 0.843 1.181 1.195 
 2373 0.119 0.235 0.371 0.847 1.187 1.202 
 2374 0.120 0.236 0.372 0.851 1.193 1.208 
 2375 0.120 0.237 0.373 0.856 1.199 1.214 
 2376 0.121 0.238 0.374 0.860 1.207 1.220 
 2377 0.121 0.239 0.375 0.865 1.215 1.226 
 2378 0.122 0.240 0.377 0.869 1.223 1.232 
 2379 0.122 0.240 0.379 0.872 1.229 1.238 
 2380 0.123 0.241 0.381 0.876 1.236 1.244 
 2381 0.123 0.243 0.383 0.880 1.242 1.250 
 2382 0.124 0.244 0.384 0.883 1.249 1.255 
 2383 0.124 0.245 0.385 0.887 1.256 1.260 
 2384 0.124 0.246 0.386 0.890 1.261 1.265 
 2385 0.125 0.247 0.388 0.894 1.266 1.271 
 2386 0.125 0.249 0.390 0.897 1.273 1.277 
 2387 0.125 0.250 0.392 0.902 1.279 1.284 
 2388 0.125 0.251 0.394 0.907 1.285 1.291 
 2389 0.126 0.252 0.395 0.912 1.292 1.298 
 2390 0.127 0.253 0.397 0.916 1.299 1.304 
 2391 0.127 0.253 0.398 0.919 1.306 1.311 
 2392 0.128 0.253 0.399 0.922 1.311 1.318 
 2393 0.128 0.254 0.400 0.925 1.318 1.325 
 2394 0.128 0.254 0.402 0.928 1.324 1.333 
 2395 0.128 0.255 0.403 0.932 1.331 1.340 
 2396 0.128 0.255 0.403 0.935 1.337 1.347 
 2397 0.128 0.256 0.404 0.938 1.344 1.353 
 2398 0.128 0.257 0.406 0.941 1.350 1.361 
 2399 0.128 0.257 0.408 0.945 1.356 1.368 
 2400 0.129 0.257 0.409 0.948 1.362 1.376 
 2401 0.129 0.258 0.409 0.952 1.368 1.382 
 2402 0.130 0.259 0.410 0.955 1.374 1.388 
 2403 0.130 0.259 0.411 0.958 1.381 1.394 
 2404 0.131 0.260 0.412 0.962 1.388 1.400 
 2405 0.131 0.261 0.413 0.967 1.395 1.405 
 2406 0.132 0.261 0.413 0.971 1.400 1.411 
 2407 0.132 0.262 0.414 0.975 1.405 1.417 
 2408 0.132 0.264 0.415 0.979 1.411 1.423 
 2409 0.132 0.265 0.417 0.984 1.418 1.429 
 2410 0.133 0.265 0.419 0.989 1.423 1.435 
 2411 0.133 0.266 0.420 0.993 1.428 1.440 
 2412 0.133 0.267 0.420 0.997 1.433 1.446 
 2413 0.133 0.267 0.420 1.000 1.439 1.452 
 2414 0.133 0.268 0.421 1.003 1.445 1.459 
 2415 0.133 0.269 0.422 1.006 1.451 1.466 
 2416 0.133 0.270 0.423 1.009 1.458 1.472 
 2417 0.134 0.271 0.424 1.013 1.466 1.478 
 2418 0.135 0.272 0.426 1.018 1.474 1.484 
 2419 0.136 0.272 0.427 1.022 1.482 1.491 
 2420 0.136 0.273 0.428 1.025 1.490 1.496 
 2421 0.136 0.274 0.429 1.029 1.497 1.502 
 2422 0.136 0.275 0.431 1.033 1.504 1.507 
 2423 0.137 0.276 0.433 1.038 1.511 1.513 
 2424 0.138 0.277 0.433 1.042 1.518 1.519 
 2425 0.138 0.278 0.434 1.046 1.525 1.525 
 2426 0.138 0.279 0.435 1.049 1.532 1.531 
 2427 0.139 0.280 0.437 1.053 1.538 1.537 
 2428 0.139 0.280 0.439 1.058 1.543 1.544 
 2429 0.139 0.280 0.440 1.062 1.549 1.550 
 2430 0.140 0.281 0.442 1.066 1.553 1.555 
 2431 0.140 0.281 0.443 1.070 1.558 1.561 
 2432 0.141 0.282 0.444 1.074 1.563 1.567 
 2433 0.141 0.282 0.445 1.078 1.568 1.574 
 2434 0.142 0.283 0.446 1.082 1.574 1.581 
 2435 0.142 0.284 0.448 1.086 1.578 1.588 
 2436 0.142 0.284 0.449 1.092 1.583 1.593 
 2437 0.142 0.285 0.451 1.097 1.587 1.598 
 2438 0.143 0.286 0.454 1.102 1.593 1.603 
 2439 0.144 0.286 0.456 1.107 1.598 1.608 
 2440 0.144 0.286 0.458 1.112 1.603 1.614 
 2441 0.145 0.287 0.460 1.117 1.608 1.620 
 2442 0.146 0.288 0.461 1.121 1.613 1.627 
 2443 0.146 0.289 0.462 1.124 1.618 1.634 
 2444 0.147 0.291 0.463 1.127 1.625 1.640 
 2445 0.148 0.292 0.464 1.131 1.632 1.646 
 2446 0.149 0.293 0.464 1.135 1.639 1.652 
 2447 0.150 0.294 0.465 1.138 1.645 1.659 
 2448 0.151 0.295 0.466 1.142 1.653 1.667 
 2449 0.151 0.296 0.466 1.145 1.660 1.676 
 2450 0.151 0.297 0.467 1.150 1.667 1.684 
 2451 0.152 0.298 0.468 1.154 1.673 1.691 
 2452 0.152 0.299 0.469 1.159 1.679 1.698 
 2453 0.152 0.299 0.471 1.163 1.686 1.705 
 2454 0.153 0.299 0.473 1.167 1.692 1.713 
 2455 0.153 0.299 0.475 1.171 1.699 1.721 
 2456 0.154 0.300 0.477 1.175 1.705 1.730 
 2457 0.154 0.301 0.479 1.179 1.711 1.738 
 2458 0.154 0.302 0.480 1.182 1.718 1.745 
 2459 0.154 0.303 0.482 1.186 1.725 1.753 
 2460 0.155 0.305 0.483 1.190 1.731 1.760 
 2461 0.156 0.306 0.485 1.196 1.737 1.769 
 2462 0.156 0.307 0.486 1.201 1.744 1.778 
 2463 0.156 0.308 0.489 1.206 1.751 1.786 
 2464 0.157 0.308 0.490 1.211 1.757 1.792 
 2465 0.157 0.308 0.492 1.215 1.763 1.799 
 2466 0.157 0.309 0.493 1.220 1.770 1.807 
 2467 0.157 0.309 0.494 1.224 1.777 1.816 
 2468 0.157 0.310 0.495 1.228 1.784 1.823 
 2469 0.158 0.310 0.497 1.232 1.792 1.831 
 2470 0.158 0.310 0.498 1.236 1.800 1.839 
 2471 0.158 0.311 0.500 1.239 1.807 1.846 
 2472 0.159 0.312 0.502 1.243 1.814 1.854 
 2473 0.159 0.312 0.504 1.246 1.821 1.861 
 2474 0.159 0.313 0.506 1.250 1.827 1.868 
 2475 0.160 0.314 0.508 1.253 1.833 1.875 
 2476 0.161 0.315 0.509 1.256 1.839 1.883 
 2477 0.162 0.316 0.511 1.260 1.845 1.893 
 2478 0.162 0.317 0.513 1.263 1.852 1.902 
 2479 0.163 0.317 0.514 1.267 1.859 1.911 
 2480 0.163 0.318 0.515 1.272 1.866 1.918 
