year T_MMCP2.6 T_MMCP4.5 T_MMCP6.0 T_MMCP-break T_MMCP8.5 T_MMCP-feedback 
 1609 272.740 272.740 272.740 272.740 272.740 272.740 
 1610 272.560 272.560 272.560 272.560 272.560 272.560 
 1611 272.430 272.430 272.430 272.430 272.430 272.430 
 1612 272.330 272.330 272.330 272.330 272.330 272.330 
 1613 272.270 272.270 272.270 272.270 272.270 272.270 
 1614 272.240 272.240 272.240 272.240 272.240 272.240 
 1615 272.240 272.240 272.240 272.240 272.240 272.240 
 1616 272.270 272.270 272.270 272.270 272.270 272.270 
 1617 272.330 272.330 272.330 272.330 272.330 272.330 
 1618 272.420 272.420 272.420 272.420 272.420 272.420 
 1619 272.530 272.530 272.530 272.530 272.530 272.530 
 1620 272.650 272.650 272.650 272.650 272.650 272.650 
 1621 272.800 272.800 272.800 272.800 272.800 272.800 
 1622 272.960 272.960 272.960 272.960 272.960 272.960 
 1623 273.140 273.140 273.140 273.140 273.140 273.140 
 1624 273.320 273.320 273.320 273.320 273.320 273.320 
 1625 273.520 273.520 273.520 273.520 273.520 273.520 
 1626 273.730 273.730 273.730 273.730 273.730 273.730 
 1627 273.930 273.930 273.930 273.930 273.930 273.930 
 1628 274.150 274.150 274.150 274.150 274.150 274.150 
 1629 274.360 274.360 274.360 274.360 274.360 274.360 
 1630 274.570 274.570 274.570 274.570 274.570 274.570 
 1631 274.780 274.780 274.780 274.780 274.780 274.780 
 1632 274.990 274.990 274.990 274.990 274.990 274.990 
 1633 275.190 275.190 275.190 275.190 275.190 275.190 
 1634 275.390 275.390 275.390 275.390 275.390 275.390 
 1635 275.580 275.580 275.580 275.580 275.580 275.580 
 1636 275.760 275.760 275.760 275.760 275.760 275.760 
 1637 275.940 275.940 275.940 275.940 275.940 275.940 
 1638 276.100 276.100 276.100 276.100 276.100 276.100 
 1639 276.260 276.260 276.260 276.260 276.260 276.260 
 1640 276.400 276.400 276.400 276.400 276.400 276.400 
 1641 276.530 276.530 276.530 276.530 276.530 276.530 
 1642 276.650 276.650 276.650 276.650 276.650 276.650 
 1643 276.760 276.760 276.760 276.760 276.760 276.760 
 1644 276.850 276.850 276.850 276.850 276.850 276.850 
 1645 276.940 276.940 276.940 276.940 276.940 276.940 
 1646 277.010 277.010 277.010 277.010 277.010 277.010 
 1647 277.070 277.070 277.070 277.070 277.070 277.070 
 1648 277.120 277.120 277.120 277.120 277.120 277.120 
 1649 277.160 277.160 277.160 277.160 277.160 277.160 
 1650 277.190 277.190 277.190 277.190 277.190 277.190 
 1651 277.210 277.210 277.210 277.210 277.210 277.210 
 1652 277.220 277.220 277.220 277.220 277.220 277.220 
 1653 277.220 277.220 277.220 277.220 277.220 277.220 
 1654 277.220 277.220 277.220 277.220 277.220 277.220 
 1655 277.210 277.210 277.210 277.210 277.210 277.210 
 1656 277.190 277.190 277.190 277.190 277.190 277.190 
 1657 277.160 277.160 277.160 277.160 277.160 277.160 
 1658 277.130 277.130 277.130 277.130 277.130 277.130 
 1659 277.100 277.100 277.100 277.100 277.100 277.100 
 1660 277.060 277.060 277.060 277.060 277.060 277.060 
 1661 277.010 277.010 277.010 277.010 277.010 277.010 
 1662 276.960 276.960 276.960 276.960 276.960 276.960 
 1663 276.910 276.910 276.910 276.910 276.910 276.910 
 1664 276.860 276.860 276.860 276.860 276.860 276.860 
 1665 276.800 276.800 276.800 276.800 276.800 276.800 
 1666 276.750 276.750 276.750 276.750 276.750 276.750 
 1667 276.690 276.690 276.690 276.690 276.690 276.690 
 1668 276.630 276.630 276.630 276.630 276.630 276.630 
 1669 276.570 276.570 276.570 276.570 276.570 276.570 
 1670 276.520 276.520 276.520 276.520 276.520 276.520 
 1671 276.460 276.460 276.460 276.460 276.460 276.460 
 1672 276.410 276.410 276.410 276.410 276.410 276.410 
 1673 276.360 276.360 276.360 276.360 276.360 276.360 
 1674 276.310 276.310 276.310 276.310 276.310 276.310 
 1675 276.260 276.260 276.260 276.260 276.260 276.260 
 1676 276.220 276.220 276.220 276.220 276.220 276.220 
 1677 276.190 276.190 276.190 276.190 276.190 276.190 
 1678 276.160 276.160 276.160 276.160 276.160 276.160 
 1679 276.130 276.130 276.130 276.130 276.130 276.130 
 1680 276.110 276.110 276.110 276.110 276.110 276.110 
 1681 276.100 276.100 276.100 276.100 276.100 276.100 
 1682 276.100 276.100 276.100 276.100 276.100 276.100 
 1683 276.100 276.100 276.100 276.100 276.100 276.100 
 1684 276.110 276.110 276.110 276.110 276.110 276.110 
 1685 276.130 276.130 276.130 276.130 276.130 276.130 
 1686 276.150 276.150 276.150 276.150 276.150 276.150 
 1687 276.170 276.170 276.170 276.170 276.170 276.170 
 1688 276.200 276.200 276.200 276.200 276.200 276.200 
 1689 276.230 276.230 276.230 276.230 276.230 276.230 
 1690 276.270 276.270 276.270 276.270 276.270 276.270 
 1691 276.300 276.300 276.300 276.300 276.300 276.300 
 1692 276.340 276.340 276.340 276.340 276.340 276.340 
 1693 276.370 276.370 276.370 276.370 276.370 276.370 
 1694 276.400 276.400 276.400 276.400 276.400 276.400 
 1695 276.440 276.440 276.440 276.440 276.440 276.440 
 1696 276.470 276.470 276.470 276.470 276.470 276.470 
 1697 276.500 276.500 276.500 276.500 276.500 276.500 
 1698 276.530 276.530 276.530 276.530 276.530 276.530 
 1699 276.550 276.550 276.550 276.550 276.550 276.550 
 1700 276.580 276.580 276.580 276.580 276.580 276.580 
 1701 276.610 276.610 276.610 276.610 276.610 276.610 
 1702 276.630 276.630 276.630 276.630 276.630 276.630 
 1703 276.660 276.660 276.660 276.660 276.660 276.660 
 1704 276.690 276.690 276.690 276.690 276.690 276.690 
 1705 276.710 276.710 276.710 276.710 276.710 276.710 
 1706 276.740 276.740 276.740 276.740 276.740 276.740 
 1707 276.760 276.760 276.760 276.760 276.760 276.760 
 1708 276.790 276.790 276.790 276.790 276.790 276.790 
 1709 276.820 276.820 276.820 276.820 276.820 276.820 
 1710 276.850 276.850 276.850 276.850 276.850 276.850 
 1711 276.870 276.870 276.870 276.870 276.870 276.870 
 1712 276.900 276.900 276.900 276.900 276.900 276.900 
 1713 276.930 276.930 276.930 276.930 276.930 276.930 
 1714 276.970 276.970 276.970 276.970 276.970 276.970 
 1715 277.000 277.000 277.000 277.000 277.000 277.000 
 1716 277.030 277.030 277.030 277.030 277.030 277.030 
 1717 277.070 277.070 277.070 277.070 277.070 277.070 
 1718 277.110 277.110 277.110 277.110 277.110 277.110 
 1719 277.150 277.150 277.150 277.150 277.150 277.150 
 1720 277.190 277.190 277.190 277.190 277.190 277.190 
 1721 277.230 277.230 277.230 277.230 277.230 277.230 
 1722 277.280 277.280 277.280 277.280 277.280 277.280 
 1723 277.320 277.320 277.320 277.320 277.320 277.320 
 1724 277.370 277.370 277.370 277.370 277.370 277.370 
 1725 277.420 277.420 277.420 277.420 277.420 277.420 
 1726 277.470 277.470 277.470 277.470 277.470 277.470 
 1727 277.520 277.520 277.520 277.520 277.520 277.520 
 1728 277.560 277.560 277.560 277.560 277.560 277.560 
 1729 277.600 277.600 277.600 277.600 277.600 277.600 
 1730 277.630 277.630 277.630 277.630 277.630 277.630 
 1731 277.650 277.650 277.650 277.650 277.650 277.650 
 1732 277.660 277.660 277.660 277.660 277.660 277.660 
 1733 277.660 277.660 277.660 277.660 277.660 277.660 
 1734 277.640 277.640 277.640 277.640 277.640 277.640 
 1735 277.610 277.610 277.610 277.610 277.610 277.610 
