year glaciers_MMCP2.6 glaciers_MMCP4.5 glaciers_MMCP6.0 glaciers_MMCP-break glaciers_MMCP8.5 glaciers_MMCP-feedback 
 2108 0.053 0.056 0.057 0.062 0.062 0.062 
 2109 0.053 0.057 0.057 0.062 0.062 0.062 
 2110 0.054 0.057 0.058 0.063 0.063 0.063 
 2111 0.054 0.058 0.059 0.064 0.064 0.064 
 2112 0.055 0.058 0.059 0.064 0.064 0.064 
 2113 0.055 0.059 0.060 0.065 0.065 0.065 
 2114 0.055 0.059 0.060 0.065 0.065 0.065 
 2115 0.056 0.060 0.061 0.066 0.066 0.066 
 2116 0.056 0.060 0.061 0.067 0.067 0.067 
 2117 0.057 0.061 0.062 0.067 0.067 0.067 
 2118 0.057 0.061 0.063 0.068 0.068 0.068 
 2119 0.058 0.062 0.063 0.069 0.069 0.069 
 2120 0.058 0.062 0.064 0.069 0.069 0.069 
 2121 0.059 0.063 0.064 0.070 0.070 0.070 
 2122 0.059 0.063 0.065 0.070 0.070 0.070 
 2123 0.060 0.064 0.065 0.071 0.071 0.071 
 2124 0.060 0.064 0.066 0.072 0.072 0.072 
 2125 0.061 0.065 0.066 0.072 0.072 0.072 
 2126 0.061 0.065 0.067 0.073 0.073 0.073 
 2127 0.061 0.066 0.067 0.073 0.073 0.073 
 2128 0.062 0.066 0.068 0.074 0.074 0.074 
 2129 0.062 0.066 0.068 0.075 0.075 0.075 
 2130 0.062 0.067 0.069 0.075 0.075 0.075 
 2131 0.063 0.067 0.069 0.076 0.076 0.076 
 2132 0.063 0.068 0.070 0.076 0.076 0.076 
 2133 0.064 0.068 0.070 0.077 0.077 0.077 
 2134 0.064 0.069 0.071 0.078 0.078 0.078 
 2135 0.064 0.069 0.071 0.078 0.078 0.078 
 2136 0.065 0.070 0.072 0.079 0.079 0.079 
 2137 0.065 0.070 0.072 0.079 0.079 0.079 
 2138 0.066 0.071 0.073 0.080 0.080 0.080 
 2139 0.066 0.071 0.074 0.080 0.080 0.080 
 2140 0.066 0.071 0.074 0.081 0.081 0.081 
 2141 0.067 0.072 0.075 0.082 0.082 0.082 
 2142 0.067 0.072 0.075 0.082 0.082 0.082 
 2143 0.067 0.073 0.076 0.083 0.083 0.083 
 2144 0.068 0.073 0.076 0.083 0.083 0.083 
 2145 0.068 0.074 0.077 0.084 0.084 0.084 
 2146 0.069 0.074 0.077 0.085 0.085 0.085 
 2147 0.069 0.075 0.078 0.085 0.085 0.085 
 2148 0.069 0.075 0.078 0.086 0.086 0.086 
 2149 0.070 0.075 0.079 0.086 0.086 0.086 
 2150 0.070 0.076 0.079 0.087 0.087 0.087 
 2151 0.070 0.076 0.080 0.087 0.087 0.087 
 2152 0.071 0.077 0.080 0.088 0.088 0.088 
 2153 0.071 0.077 0.081 0.089 0.089 0.089 
 2154 0.071 0.078 0.081 0.089 0.089 0.089 
 2155 0.072 0.078 0.082 0.090 0.090 0.090 
 2156 0.072 0.078 0.082 0.090 0.090 0.090 
 2157 0.072 0.079 0.083 0.091 0.091 0.091 
 2158 0.073 0.079 0.083 0.091 0.091 0.091 
 2159 0.073 0.080 0.084 0.092 0.092 0.092 
 2160 0.074 0.080 0.084 0.092 0.093 0.093 
 2161 0.074 0.081 0.085 0.093 0.093 0.093 
 2162 0.074 0.081 0.085 0.094 0.094 0.094 
 2163 0.075 0.081 0.085 0.094 0.094 0.094 
 2164 0.075 0.082 0.086 0.095 0.095 0.095 
 2165 0.076 0.082 0.086 0.095 0.095 0.095 
 2166 0.076 0.083 0.087 0.096 0.096 0.096 
 2167 0.076 0.083 0.087 0.096 0.097 0.097 
 2168 0.077 0.084 0.088 0.097 0.097 0.097 
 2169 0.077 0.084 0.088 0.098 0.098 0.098 
 2170 0.078 0.084 0.089 0.098 0.098 0.098 
 2171 0.078 0.085 0.089 0.099 0.099 0.099 
 2172 0.078 0.085 0.090 0.099 0.099 0.099 
 2173 0.079 0.086 0.090 0.100 0.100 0.100 
 2174 0.079 0.086 0.090 0.100 0.100 0.100 
 2175 0.079 0.086 0.091 0.101 0.101 0.101 
 2176 0.080 0.087 0.091 0.101 0.102 0.102 
 2177 0.080 0.087 0.092 0.102 0.102 0.102 
 2178 0.080 0.088 0.092 0.102 0.103 0.103 
 2179 0.081 0.088 0.093 0.103 0.103 0.103 
 2180 0.081 0.088 0.093 0.103 0.104 0.104 
 2181 0.081 0.089 0.094 0.104 0.104 0.104 
 2182 0.082 0.089 0.094 0.104 0.105 0.105 
 2183 0.082 0.089 0.094 0.105 0.106 0.106 
 2184 0.083 0.090 0.095 0.105 0.106 0.106 
 2185 0.083 0.090 0.095 0.106 0.107 0.107 
 2186 0.083 0.091 0.096 0.106 0.107 0.107 
 2187 0.083 0.091 0.096 0.107 0.108 0.108 
 2188 0.084 0.091 0.097 0.107 0.108 0.108 
 2189 0.084 0.092 0.097 0.108 0.109 0.109 
 2190 0.085 0.092 0.098 0.108 0.109 0.109 
 2191 0.085 0.093 0.098 0.109 0.110 0.110 
 2192 0.085 0.093 0.098 0.109 0.110 0.110 
 2193 0.086 0.093 0.099 0.110 0.111 0.111 
 2194 0.086 0.094 0.099 0.110 0.111 0.111 
 2195 0.086 0.094 0.100 0.111 0.112 0.112 
 2196 0.087 0.094 0.100 0.111 0.112 0.112 
 2197 0.087 0.095 0.101 0.112 0.113 0.113 
 2198 0.087 0.095 0.101 0.112 0.113 0.113 
 2199 0.088 0.096 0.102 0.113 0.114 0.114 
 2200 0.088 0.096 0.102 0.113 0.114 0.114 
 2201 0.088 0.096 0.102 0.114 0.115 0.115 
 2202 0.089 0.097 0.103 0.114 0.115 0.115 
 2203 0.089 0.097 0.103 0.114 0.116 0.116 
 2204 0.089 0.097 0.104 0.115 0.116 0.116 
 2205 0.089 0.098 0.104 0.115 0.117 0.117 
 2206 0.090 0.098 0.104 0.116 0.117 0.117 
 2207 0.090 0.098 0.105 0.116 0.118 0.118 
 2208 0.090 0.099 0.105 0.117 0.118 0.118 
 2209 0.091 0.099 0.106 0.117 0.119 0.119 
 2210 0.091 0.100 0.106 0.118 0.119 0.119 
 2211 0.091 0.100 0.106 0.118 0.120 0.120 
 2212 0.092 0.100 0.107 0.119 0.120 0.120 
 2213 0.092 0.101 0.107 0.119 0.121 0.121 
 2214 0.092 0.101 0.108 0.119 0.121 0.121 
 2215 0.093 0.101 0.108 0.120 0.122 0.122 
 2216 0.093 0.102 0.108 0.120 0.122 0.122 
 2217 0.093 0.102 0.109 0.121 0.123 0.123 
 2218 0.094 0.102 0.109 0.121 0.123 0.123 
 2219 0.094 0.103 0.109 0.122 0.124 0.124 
 2220 0.094 0.103 0.110 0.122 0.124 0.124 
 2221 0.095 0.103 0.110 0.123 0.125 0.125 
 2222 0.095 0.104 0.111 0.123 0.125 0.125 
 2223 0.095 0.104 0.111 0.123 0.126 0.126 
 2224 0.096 0.104 0.111 0.124 0.126 0.126 
 2225 0.096 0.105 0.112 0.124 0.127 0.127 
 2226 0.096 0.105 0.112 0.125 0.127 0.127 
 2227 0.096 0.106 0.112 0.125 0.128 0.128 
 2228 0.097 0.106 0.113 0.126 0.128 0.128 
 2229 0.097 0.106 0.113 0.126 0.129 0.129 
 2230 0.097 0.107 0.113 0.127 0.129 0.129 
 2231 0.098 0.107 0.114 0.127 0.130 0.130 
 2232 0.098 0.107 0.114 0.127 0.130 0.130 
 2233 0.098 0.108 0.115 0.128 0.130 0.130 
 2234 0.099 0.108 0.115 0.128 0.131 0.131 
 2235 0.099 0.108 0.115 0.129 0.131 0.131 
 2236 0.099 0.108 0.116 0.129 0.132 0.132 
 2237 0.100 0.109 0.116 0.129 0.132 0.132 
 2238 0.100 0.109 0.117 0.130 0.133 0.133 
 2239 0.100 0.109 0.117 0.130 0.133 0.133 
 2240 0.101 0.110 0.117 0.130 0.134 0.134 
 2241 0.101 0.110 0.118 0.131 0.134 0.134 
 2242 0.101 0.110 0.118 0.131 0.135 0.135 
 2243 0.101 0.111 0.118 0.132 0.135 0.135 
 2244 0.102 0.111 0.119 0.132 0.136 0.136 
 2245 0.102 0.111 0.119 0.133 0.136 0.136 
 2246 0.102 0.112 0.120 0.133 0.136 0.136 
 2247 0.103 0.112 0.120 0.133 0.137 0.137 
 2248 0.103 0.112 0.120 0.134 0.137 0.137 
 2249 0.103 0.113 0.121 0.134 0.138 0.138 
