year glaciers_MMCP2.6 glaciers_MMCP4.5 glaciers_MMCP6.0 glaciers_MMCP-break glaciers_MMCP8.5 glaciers_MMCP-feedback 
 3287 0.217 0.228 0.233 0.238 0.239 0.239 
 3288 0.217 0.228 0.233 0.238 0.239 0.239 
 3289 0.217 0.228 0.233 0.238 0.239 0.239 
 3290 0.217 0.228 0.233 0.238 0.239 0.239 
 3291 0.217 0.228 0.233 0.238 0.239 0.239 
 3292 0.218 0.228 0.233 0.238 0.239 0.239 
 3293 0.218 0.228 0.233 0.238 0.239 0.239 
 3294 0.218 0.228 0.233 0.238 0.239 0.239 
 3295 0.218 0.228 0.233 0.238 0.239 0.239 
 3296 0.218 0.228 0.233 0.238 0.239 0.239 
 3297 0.218 0.228 0.233 0.238 0.239 0.239 
 3298 0.218 0.228 0.233 0.238 0.239 0.239 
 3299 0.218 0.228 0.233 0.238 0.239 0.239 
 3300 0.218 0.228 0.233 0.238 0.239 0.239 
 3301 0.218 0.228 0.233 0.238 0.239 0.239 
 3302 0.218 0.228 0.233 0.238 0.239 0.239 
 3303 0.218 0.228 0.233 0.238 0.239 0.239 
 3304 0.218 0.228 0.233 0.238 0.239 0.239 
 3305 0.218 0.228 0.233 0.238 0.239 0.239 
 3306 0.218 0.228 0.233 0.238 0.239 0.239 
 3307 0.218 0.228 0.233 0.238 0.239 0.239 
 3308 0.218 0.228 0.233 0.238 0.239 0.239 
 3309 0.218 0.228 0.233 0.238 0.239 0.239 
 3310 0.218 0.228 0.233 0.238 0.239 0.239 
 3311 0.218 0.228 0.233 0.238 0.239 0.239 
 3312 0.218 0.228 0.233 0.238 0.239 0.239 
 3313 0.218 0.228 0.233 0.238 0.239 0.239 
 3314 0.218 0.228 0.233 0.238 0.239 0.239 
 3315 0.218 0.228 0.233 0.238 0.239 0.239 
 3316 0.218 0.228 0.234 0.238 0.239 0.239 
 3317 0.218 0.228 0.234 0.238 0.239 0.239 
 3318 0.218 0.229 0.234 0.238 0.239 0.239 
 3319 0.218 0.229 0.234 0.238 0.239 0.239 
 3320 0.218 0.229 0.234 0.238 0.239 0.239 
 3321 0.218 0.229 0.234 0.238 0.239 0.239 
 3322 0.218 0.229 0.234 0.238 0.239 0.239 
 3323 0.219 0.229 0.234 0.238 0.239 0.239 
 3324 0.219 0.229 0.234 0.238 0.239 0.239 
 3325 0.219 0.229 0.234 0.238 0.239 0.239 
 3326 0.219 0.229 0.234 0.238 0.239 0.239 
 3327 0.219 0.229 0.234 0.238 0.239 0.239 
 3328 0.219 0.229 0.234 0.238 0.239 0.239 
 3329 0.219 0.229 0.234 0.238 0.239 0.239 
 3330 0.219 0.229 0.234 0.238 0.239 0.239 
 3331 0.219 0.229 0.234 0.238 0.239 0.239 
 3332 0.219 0.229 0.234 0.238 0.239 0.239 
 3333 0.219 0.229 0.234 0.238 0.239 0.239 
 3334 0.219 0.229 0.234 0.238 0.239 0.239 
 3335 0.219 0.229 0.234 0.238 0.239 0.239 
 3336 0.219 0.229 0.234 0.238 0.239 0.239 
 3337 0.219 0.229 0.234 0.238 0.239 0.239 
 3338 0.219 0.229 0.234 0.238 0.239 0.239 
 3339 0.219 0.229 0.234 0.238 0.239 0.239 
 3340 0.219 0.229 0.234 0.238 0.239 0.239 
 3341 0.219 0.229 0.234 0.238 0.239 0.239 
 3342 0.219 0.229 0.234 0.238 0.239 0.239 
 3343 0.219 0.229 0.234 0.238 0.239 0.239 
 3344 0.219 0.229 0.234 0.238 0.239 0.239 
 3345 0.219 0.229 0.234 0.238 0.239 0.239 
 3346 0.219 0.229 0.234 0.238 0.239 0.239 
 3347 0.219 0.229 0.234 0.238 0.239 0.239 
 3348 0.219 0.229 0.234 0.238 0.239 0.239 
 3349 0.219 0.229 0.234 0.238 0.239 0.239 
 3350 0.219 0.229 0.234 0.238 0.239 0.239 
 3351 0.219 0.229 0.234 0.238 0.239 0.239 
 3352 0.219 0.229 0.234 0.238 0.239 0.239 
 3353 0.219 0.229 0.234 0.238 0.239 0.239 
 3354 0.219 0.229 0.234 0.238 0.239 0.239 
 3355 0.219 0.229 0.234 0.238 0.239 0.239 
 3356 0.219 0.229 0.234 0.238 0.239 0.239 
 3357 0.219 0.229 0.234 0.238 0.239 0.239 
 3358 0.219 0.229 0.234 0.238 0.239 0.239 
 3359 0.220 0.229 0.234 0.238 0.239 0.239 
 3360 0.220 0.229 0.234 0.238 0.239 0.239 
 3361 0.220 0.229 0.234 0.238 0.239 0.239 
 3362 0.220 0.229 0.234 0.238 0.239 0.239 
 3363 0.220 0.229 0.234 0.238 0.239 0.239 
 3364 0.220 0.229 0.234 0.238 0.239 0.239 
 3365 0.220 0.229 0.234 0.238 0.239 0.239 
 3366 0.220 0.229 0.234 0.238 0.239 0.239 
 3367 0.220 0.229 0.234 0.238 0.239 0.239 
 3368 0.220 0.230 0.234 0.238 0.239 0.239 
 3369 0.220 0.230 0.234 0.238 0.239 0.239 
 3370 0.220 0.230 0.234 0.238 0.239 0.239 
 3371 0.220 0.230 0.234 0.238 0.239 0.239 
 3372 0.220 0.230 0.234 0.238 0.239 0.239 
 3373 0.220 0.230 0.234 0.238 0.239 0.239 
 3374 0.220 0.230 0.234 0.238 0.239 0.239 
 3375 0.220 0.230 0.234 0.238 0.239 0.239 
 3376 0.220 0.230 0.234 0.238 0.239 0.239 
 3377 0.220 0.230 0.234 0.238 0.239 0.239 
 3378 0.220 0.230 0.234 0.238 0.239 0.239 
 3379 0.220 0.230 0.234 0.238 0.239 0.239 
 3380 0.220 0.230 0.234 0.238 0.239 0.239 
 3381 0.220 0.230 0.234 0.238 0.239 0.239 
 3382 0.220 0.230 0.234 0.238 0.239 0.239 
 3383 0.220 0.230 0.234 0.238 0.239 0.239 
 3384 0.220 0.230 0.234 0.238 0.239 0.239 
 3385 0.220 0.230 0.234 0.238 0.239 0.239 
 3386 0.220 0.230 0.234 0.238 0.239 0.239 
 3387 0.220 0.230 0.234 0.238 0.239 0.239 
 3388 0.220 0.230 0.234 0.238 0.239 0.239 
 3389 0.220 0.230 0.234 0.238 0.239 0.239 
 3390 0.220 0.230 0.234 0.238 0.239 0.239 
 3391 0.220 0.230 0.234 0.238 0.239 0.239 
 3392 0.221 0.230 0.234 0.238 0.239 0.239 
 3393 0.221 0.230 0.234 0.238 0.239 0.239 
 3394 0.221 0.230 0.234 0.238 0.239 0.239 
 3395 0.221 0.230 0.234 0.238 0.239 0.239 
 3396 0.221 0.230 0.235 0.238 0.239 0.239 
 3397 0.221 0.230 0.235 0.238 0.239 0.239 
 3398 0.221 0.230 0.235 0.238 0.239 0.239 
 3399 0.221 0.230 0.235 0.238 0.239 0.239 
 3400 0.221 0.230 0.235 0.238 0.239 0.239 
 3401 0.221 0.230 0.235 0.238 0.239 0.239 
 3402 0.221 0.230 0.235 0.238 0.239 0.239 
 3403 0.221 0.230 0.235 0.238 0.239 0.239 
 3404 0.221 0.230 0.235 0.238 0.239 0.239 
 3405 0.221 0.230 0.235 0.238 0.239 0.239 
 3406 0.221 0.230 0.235 0.238 0.239 0.239 
 3407 0.221 0.230 0.235 0.238 0.239 0.239 
 3408 0.221 0.230 0.235 0.238 0.239 0.239 
 3409 0.221 0.230 0.235 0.238 0.239 0.239 
 3410 0.221 0.230 0.235 0.238 0.239 0.239 
 3411 0.221 0.230 0.235 0.238 0.239 0.239 
 3412 0.221 0.230 0.235 0.238 0.239 0.239 
 3413 0.221 0.230 0.235 0.238 0.239 0.239 
 3414 0.221 0.230 0.235 0.238 0.239 0.239 
 3415 0.221 0.230 0.235 0.238 0.239 0.239 
 3416 0.221 0.230 0.235 0.238 0.239 0.239 
 3417 0.221 0.230 0.235 0.238 0.239 0.239 
 3418 0.221 0.230 0.235 0.238 0.239 0.239 
 3419 0.221 0.230 0.235 0.239 0.239 0.239 
 3420 0.221 0.230 0.235 0.239 0.239 0.239 
 3421 0.221 0.230 0.235 0.239 0.239 0.239 
 3422 0.221 0.230 0.235 0.239 0.239 0.239 
 3423 0.221 0.230 0.235 0.239 0.239 0.239 
 3424 0.221 0.230 0.235 0.239 0.239 0.239 
 3425 0.221 0.230 0.235 0.239 0.239 0.239 
 3426 0.221 0.230 0.235 0.239 0.239 0.239 
 3427 0.221 0.230 0.235 0.239 0.239 0.239 
 3428 0.221 0.231 0.235 0.239 0.239 0.239 
 3429 0.221 0.231 0.235 0.239 0.239 0.239 
 3430 0.221 0.231 0.235 0.239 0.239 0.239 
 3431 0.221 0.231 0.235 0.239 0.239 0.239 
 3432 0.222 0.231 0.235 0.239 0.239 0.239 
 3433 0.222 0.231 0.235 0.239 0.239 0.239 
 3434 0.222 0.231 0.235 0.239 0.239 0.239 
 3435 0.222 0.231 0.235 0.239 0.239 0.239 
 3436 0.222 0.231 0.235 0.239 0.239 0.239 
 3437 0.222 0.231 0.235 0.239 0.239 0.239 
 3438 0.222 0.231 0.235 0.239 0.239 0.239 
 3439 0.222 0.231 0.235 0.239 0.239 0.239 
 3440 0.222 0.231 0.235 0.239 0.239 0.239 
 3441 0.222 0.231 0.235 0.239 0.239 0.239 
 3442 0.222 0.231 0.235 0.239 0.239 0.239 
 3443 0.222 0.231 0.235 0.239 0.239 0.239 
 3444 0.222 0.231 0.235 0.239 0.239 0.239 
 3445 0.222 0.231 0.235 0.239 0.239 0.239 
 3446 0.222 0.231 0.235 0.239 0.239 0.239 
 3447 0.222 0.231 0.235 0.239 0.239 0.239 
 3448 0.222 0.231 0.235 0.239 0.239 0.239 
 3449 0.222 0.231 0.235 0.239 0.239 0.239 
 3450 0.222 0.231 0.235 0.239 0.239 0.239 
 3451 0.222 0.231 0.235 0.239 0.239 0.239 
 3452 0.222 0.231 0.235 0.239 0.239 0.239 
 3453 0.222 0.231 0.235 0.239 0.239 0.239 
 3454 0.222 0.231 0.235 0.239 0.239 0.239 
 3455 0.222 0.231 0.235 0.239 0.239 0.240 
 3456 0.222 0.231 0.235 0.239 0.239 0.240 
 3457 0.222 0.231 0.235 0.239 0.239 0.240 
 3458 0.222 0.231 0.235 0.239 0.239 0.240 
 3459 0.222 0.231 0.235 0.239 0.239 0.240 
 3460 0.222 0.231 0.235 0.239 0.239 0.240 
 3461 0.222 0.231 0.235 0.239 0.239 0.240 
 3462 0.222 0.231 0.235 0.239 0.239 0.240 
 3463 0.222 0.231 0.235 0.239 0.239 0.240 
 3464 0.222 0.231 0.235 0.239 0.239 0.240 
 3465 0.222 0.231 0.235 0.239 0.239 0.240 
 3466 0.222 0.231 0.235 0.239 0.239 0.240 
 3467 0.222 0.231 0.235 0.239 0.239 0.240 
 3468 0.222 0.231 0.235 0.239 0.239 0.240 
 3469 0.222 0.231 0.235 0.239 0.239 0.240 
 3470 0.222 0.231 0.235 0.239 0.239 0.240 
 3471 0.222 0.231 0.235 0.239 0.239 0.240 
 3472 0.223 0.231 0.235 0.239 0.239 0.240 
 3473 0.223 0.231 0.235 0.239 0.239 0.240 
 3474 0.223 0.231 0.235 0.239 0.239 0.240 
 3475 0.223 0.231 0.235 0.239 0.239 0.240 
 3476 0.223 0.231 0.235 0.239 0.239 0.240 
 3477 0.223 0.231 0.235 0.239 0.239 0.240 
 3478 0.223 0.231 0.235 0.239 0.239 0.240 
 3479 0.223 0.231 0.235 0.239 0.239 0.240 
 3480 0.223 0.231 0.235 0.239 0.239 0.240 
 3481 0.223 0.231 0.235 0.239 0.239 0.240 
 3482 0.223 0.231 0.235 0.239 0.239 0.240 
 3483 0.223 0.231 0.235 0.239 0.239 0.240 
 3484 0.223 0.231 0.235 0.239 0.239 0.240 
 3485 0.223 0.231 0.235 0.239 0.239 0.240 
 3486 0.223 0.231 0.235 0.239 0.239 0.240 
 3487 0.223 0.231 0.235 0.239 0.239 0.240 
 3488 0.223 0.231 0.235 0.239 0.239 0.240 
 3489 0.223 0.231 0.235 0.239 0.239 0.240 
 3490 0.223 0.231 0.235 0.239 0.239 0.240 
 3491 0.223 0.231 0.235 0.239 0.239 0.240 
 3492 0.223 0.231 0.235 0.239 0.239 0.240 
 3493 0.223 0.231 0.235 0.239 0.239 0.240 
 3494 0.223 0.231 0.235 0.239 0.239 0.240 
 3495 0.223 0.231 0.235 0.239 0.239 0.240 
 3496 0.223 0.231 0.235 0.239 0.239 0.240 
 3497 0.223 0.231 0.235 0.239 0.239 0.240 
 3498 0.223 0.232 0.236 0.239 0.239 0.240 
 3499 0.223 0.232 0.236 0.239 0.239 0.240 
 3500 0.223 0.232 0.236 0.239 0.239 0.240 
 3501 0.223 0.232 0.236 0.239 0.239 0.240 
 3502 0.223 0.232 0.236 0.239 0.239 0.240 
 3503 0.223 0.232 0.236 0.239 0.239 0.240 
 3504 0.223 0.232 0.236 0.239 0.239 0.240 
 3505 0.223 0.232 0.236 0.239 0.239 0.240 
 3506 0.223 0.232 0.236 0.239 0.239 0.240 
 3507 0.223 0.232 0.236 0.239 0.239 0.240 
 3508 0.223 0.232 0.236 0.239 0.239 0.240 
 3509 0.223 0.232 0.236 0.239 0.239 0.240 
 3510 0.223 0.232 0.236 0.239 0.240 0.240 
 3511 0.223 0.232 0.236 0.239 0.240 0.240 
 3512 0.223 0.232 0.236 0.239 0.240 0.240 
 3513 0.223 0.232 0.236 0.239 0.240 0.240 
 3514 0.223 0.232 0.236 0.239 0.240 0.240 
 3515 0.223 0.232 0.236 0.239 0.240 0.240 
 3516 0.224 0.232 0.236 0.239 0.240 0.240 
 3517 0.224 0.232 0.236 0.239 0.240 0.240 
 3518 0.224 0.232 0.236 0.239 0.240 0.240 
 3519 0.224 0.232 0.236 0.239 0.240 0.240 
 3520 0.224 0.232 0.236 0.239 0.240 0.240 
 3521 0.224 0.232 0.236 0.239 0.240 0.240 
 3522 0.224 0.232 0.236 0.239 0.240 0.240 
 3523 0.224 0.232 0.236 0.239 0.240 0.240 
 3524 0.224 0.232 0.236 0.239 0.240 0.240 
 3525 0.224 0.232 0.236 0.239 0.240 0.240 
 3526 0.224 0.232 0.236 0.239 0.240 0.240 
 3527 0.224 0.232 0.236 0.239 0.240 0.240 
 3528 0.224 0.232 0.236 0.239 0.240 0.240 
 3529 0.224 0.232 0.236 0.239 0.240 0.240 
 3530 0.224 0.232 0.236 0.239 0.240 0.240 
 3531 0.224 0.232 0.236 0.239 0.240 0.240 
 3532 0.224 0.232 0.236 0.239 0.240 0.240 
 3533 0.224 0.232 0.236 0.239 0.240 0.240 
 3534 0.224 0.232 0.236 0.239 0.240 0.240 
 3535 0.224 0.232 0.236 0.239 0.240 0.240 
 3536 0.224 0.232 0.236 0.239 0.240 0.240 
 3537 0.224 0.232 0.236 0.239 0.240 0.240 
 3538 0.224 0.232 0.236 0.239 0.240 0.240 
 3539 0.224 0.232 0.236 0.239 0.240 0.240 
 3540 0.224 0.232 0.236 0.239 0.240 0.240 
 3541 0.224 0.232 0.236 0.239 0.240 0.240 
 3542 0.224 0.232 0.236 0.239 0.240 0.240 
 3543 0.224 0.232 0.236 0.239 0.240 0.240 
 3544 0.224 0.232 0.236 0.239 0.240 0.240 
 3545 0.224 0.232 0.236 0.239 0.240 0.240 
 3546 0.224 0.232 0.236 0.239 0.240 0.240 
 3547 0.224 0.232 0.236 0.239 0.240 0.240 
 3548 0.224 0.232 0.236 0.239 0.240 0.240 
 3549 0.224 0.232 0.236 0.239 0.240 0.240 
 3550 0.224 0.232 0.236 0.239 0.240 0.240 
 3551 0.224 0.232 0.236 0.239 0.240 0.240 
 3552 0.224 0.232 0.236 0.239 0.240 0.240 
 3553 0.224 0.232 0.236 0.239 0.240 0.240 
 3554 0.224 0.232 0.236 0.239 0.240 0.240 
 3555 0.224 0.232 0.236 0.239 0.240 0.240 
 3556 0.224 0.232 0.236 0.239 0.240 0.240 
 3557 0.224 0.232 0.236 0.239 0.240 0.240 
 3558 0.224 0.232 0.236 0.239 0.240 0.240 
 3559 0.224 0.232 0.236 0.239 0.240 0.240 
 3560 0.224 0.232 0.236 0.239 0.240 0.240 
 3561 0.224 0.232 0.236 0.239 0.240 0.240 
 3562 0.224 0.232 0.236 0.239 0.240 0.240 
 3563 0.224 0.232 0.236 0.239 0.240 0.240 
 3564 0.224 0.232 0.236 0.239 0.240 0.240 
 3565 0.224 0.232 0.236 0.239 0.240 0.240 
 3566 0.224 0.232 0.236 0.239 0.240 0.240 
 3567 0.225 0.232 0.236 0.239 0.240 0.240 
 3568 0.225 0.232 0.236 0.239 0.240 0.240 
 3569 0.225 0.232 0.236 0.239 0.240 0.240 
 3570 0.225 0.232 0.236 0.239 0.240 0.240 
 3571 0.225 0.232 0.236 0.239 0.240 0.240 
 3572 0.225 0.232 0.236 0.239 0.240 0.240 
 3573 0.225 0.232 0.236 0.239 0.240 0.240 
 3574 0.225 0.232 0.236 0.239 0.240 0.240 
 3575 0.225 0.232 0.236 0.239 0.240 0.240 
 3576 0.225 0.232 0.236 0.239 0.240 0.240 
 3577 0.225 0.233 0.236 0.239 0.240 0.240 
 3578 0.225 0.233 0.236 0.239 0.240 0.240 
 3579 0.225 0.233 0.236 0.239 0.240 0.240 
 3580 0.225 0.233 0.236 0.239 0.240 0.240 
 3581 0.225 0.233 0.236 0.239 0.240 0.240 
 3582 0.225 0.233 0.236 0.239 0.240 0.240 
 3583 0.225 0.233 0.236 0.239 0.240 0.240 
 3584 0.225 0.233 0.236 0.239 0.240 0.240 
 3585 0.225 0.233 0.236 0.239 0.240 0.240 
 3586 0.225 0.233 0.236 0.239 0.240 0.240 
 3587 0.225 0.233 0.236 0.239 0.240 0.240 
 3588 0.225 0.233 0.236 0.239 0.240 0.240 
 3589 0.225 0.233 0.236 0.239 0.240 0.240 
 3590 0.225 0.233 0.236 0.239 0.240 0.240 
 3591 0.225 0.233 0.236 0.239 0.240 0.240 
 3592 0.225 0.233 0.236 0.239 0.240 0.240 
 3593 0.225 0.233 0.236 0.239 0.240 0.240 
 3594 0.225 0.233 0.236 0.239 0.240 0.240 
 3595 0.225 0.233 0.236 0.239 0.240 0.240 
 3596 0.225 0.233 0.236 0.239 0.240 0.240 
 3597 0.225 0.233 0.236 0.239 0.240 0.240 
 3598 0.225 0.233 0.236 0.239 0.240 0.240 
 3599 0.225 0.233 0.236 0.239 0.240 0.240 
 3600 0.225 0.233 0.236 0.239 0.240 0.240 
 3601 0.225 0.233 0.236 0.239 0.240 0.240 
 3602 0.225 0.233 0.236 0.239 0.240 0.240 
 3603 0.225 0.233 0.236 0.239 0.240 0.240 
 3604 0.225 0.233 0.236 0.239 0.240 0.240 
 3605 0.225 0.233 0.236 0.239 0.240 0.240 
 3606 0.225 0.233 0.236 0.239 0.240 0.240 
 3607 0.225 0.233 0.236 0.239 0.240 0.240 
 3608 0.225 0.233 0.236 0.239 0.240 0.240 
 3609 0.225 0.233 0.236 0.239 0.240 0.240 
 3610 0.225 0.233 0.236 0.239 0.240 0.240 
 3611 0.225 0.233 0.236 0.239 0.240 0.240 
 3612 0.225 0.233 0.236 0.239 0.240 0.240 
 3613 0.225 0.233 0.236 0.239 0.240 0.240 
 3614 0.225 0.233 0.236 0.239 0.240 0.240 
 3615 0.225 0.233 0.236 0.239 0.240 0.240 
 3616 0.225 0.233 0.236 0.239 0.240 0.240 
 3617 0.225 0.233 0.236 0.239 0.240 0.240 
 3618 0.225 0.233 0.236 0.239 0.240 0.240 
 3619 0.225 0.233 0.236 0.239 0.240 0.240 
 3620 0.226 0.233 0.236 0.239 0.240 0.240 
 3621 0.226 0.233 0.236 0.239 0.240 0.240 
 3622 0.226 0.233 0.236 0.239 0.240 0.240 
 3623 0.226 0.233 0.236 0.239 0.240 0.240 
 3624 0.226 0.233 0.236 0.239 0.240 0.240 
 3625 0.226 0.233 0.236 0.239 0.240 0.240 
 3626 0.226 0.233 0.236 0.239 0.240 0.240 
 3627 0.226 0.233 0.236 0.239 0.240 0.240 
 3628 0.226 0.233 0.236 0.239 0.240 0.240 
 3629 0.226 0.233 0.236 0.239 0.240 0.240 
 3630 0.226 0.233 0.236 0.239 0.240 0.240 
 3631 0.226 0.233 0.236 0.239 0.240 0.240 
 3632 0.226 0.233 0.236 0.239 0.240 0.240 
 3633 0.226 0.233 0.236 0.239 0.240 0.240 
 3634 0.226 0.233 0.236 0.239 0.240 0.240 
 3635 0.226 0.233 0.236 0.239 0.240 0.240 
 3636 0.226 0.233 0.236 0.239 0.240 0.240 
 3637 0.226 0.233 0.236 0.239 0.240 0.240 
 3638 0.226 0.233 0.236 0.239 0.240 0.240 
 3639 0.226 0.233 0.236 0.239 0.240 0.240 
 3640 0.226 0.233 0.236 0.239 0.240 0.240 
 3641 0.226 0.233 0.236 0.239 0.240 0.240 
 3642 0.226 0.233 0.236 0.239 0.240 0.240 
 3643 0.226 0.233 0.236 0.239 0.240 0.240 
 3644 0.226 0.233 0.236 0.239 0.240 0.240 
 3645 0.226 0.233 0.236 0.239 0.240 0.240 
 3646 0.226 0.233 0.236 0.239 0.240 0.240 
 3647 0.226 0.233 0.236 0.239 0.240 0.240 
 3648 0.226 0.233 0.236 0.239 0.240 0.240 
 3649 0.226 0.233 0.237 0.239 0.240 0.240 
 3650 0.226 0.233 0.237 0.239 0.240 0.240 
 3651 0.226 0.233 0.237 0.239 0.240 0.240 
 3652 0.226 0.233 0.237 0.239 0.240 0.240 
 3653 0.226 0.233 0.237 0.239 0.240 0.240 
 3654 0.226 0.233 0.237 0.239 0.240 0.240 
 3655 0.226 0.233 0.237 0.239 0.240 0.240 
 3656 0.226 0.233 0.237 0.239 0.240 0.240 
 3657 0.226 0.233 0.237 0.239 0.240 0.240 
 3658 0.226 0.233 0.237 0.239 0.240 0.240 
 3659 0.226 0.233 0.237 0.239 0.240 0.240 
 3660 0.226 0.233 0.237 0.239 0.240 0.240 
 3661 0.226 0.233 0.237 0.239 0.240 0.240 
 3662 0.226 0.233 0.237 0.239 0.240 0.240 
 3663 0.226 0.233 0.237 0.239 0.240 0.240 
 3664 0.226 0.233 0.237 0.239 0.240 0.240 
 3665 0.226 0.233 0.237 0.239 0.240 0.240 
 3666 0.226 0.233 0.237 0.239 0.240 0.240 
 3667 0.226 0.233 0.237 0.239 0.240 0.240 
 3668 0.226 0.233 0.237 0.239 0.240 0.240 
 3669 0.226 0.233 0.237 0.239 0.240 0.240 
 3670 0.226 0.233 0.237 0.239 0.240 0.240 
 3671 0.226 0.233 0.237 0.239 0.240 0.240 
 3672 0.226 0.233 0.237 0.239 0.240 0.240 
 3673 0.226 0.233 0.237 0.239 0.240 0.240 
 3674 0.226 0.233 0.237 0.239 0.240 0.240 
 3675 0.226 0.233 0.237 0.239 0.240 0.240 
 3676 0.226 0.233 0.237 0.239 0.240 0.240 
 3677 0.226 0.233 0.237 0.239 0.240 0.240 
 3678 0.226 0.233 0.237 0.239 0.240 0.240 
 3679 0.227 0.233 0.237 0.239 0.240 0.240 
 3680 0.227 0.233 0.237 0.239 0.240 0.240 
 3681 0.227 0.233 0.237 0.239 0.240 0.240 
 3682 0.227 0.234 0.237 0.239 0.240 0.240 
 3683 0.227 0.234 0.237 0.239 0.240 0.240 
 3684 0.227 0.234 0.237 0.239 0.240 0.240 
 3685 0.227 0.234 0.237 0.239 0.240 0.240 
 3686 0.227 0.234 0.237 0.239 0.240 0.240 
 3687 0.227 0.234 0.237 0.239 0.240 0.240 
 3688 0.227 0.234 0.237 0.239 0.240 0.240 
 3689 0.227 0.234 0.237 0.239 0.240 0.240 
 3690 0.227 0.234 0.237 0.239 0.240 0.240 
 3691 0.227 0.234 0.237 0.239 0.240 0.240 
 3692 0.227 0.234 0.237 0.239 0.240 0.240 
 3693 0.227 0.234 0.237 0.239 0.240 0.240 
 3694 0.227 0.234 0.237 0.239 0.240 0.240 
 3695 0.227 0.234 0.237 0.239 0.240 0.240 
 3696 0.227 0.234 0.237 0.239 0.240 0.240 
 3697 0.227 0.234 0.237 0.239 0.240 0.240 
 3698 0.227 0.234 0.237 0.239 0.240 0.240 
 3699 0.227 0.234 0.237 0.239 0.240 0.240 
 3700 0.227 0.234 0.237 0.239 0.240 0.240 
 3701 0.227 0.234 0.237 0.239 0.240 0.240 
 3702 0.227 0.234 0.237 0.239 0.240 0.240 
 3703 0.227 0.234 0.237 0.239 0.240 0.240 
 3704 0.227 0.234 0.237 0.239 0.240 0.240 
 3705 0.227 0.234 0.237 0.239 0.240 0.240 
 3706 0.227 0.234 0.237 0.239 0.240 0.240 
 3707 0.227 0.234 0.237 0.239 0.240 0.240 
 3708 0.227 0.234 0.237 0.239 0.240 0.240 
 3709 0.227 0.234 0.237 0.239 0.240 0.240 
 3710 0.227 0.234 0.237 0.239 0.240 0.240 
 3711 0.227 0.234 0.237 0.239 0.240 0.240 
 3712 0.227 0.234 0.237 0.239 0.240 0.240 
 3713 0.227 0.234 0.237 0.239 0.240 0.240 
 3714 0.227 0.234 0.237 0.239 0.240 0.240 
 3715 0.227 0.234 0.237 0.239 0.240 0.240 
 3716 0.227 0.234 0.237 0.239 0.240 0.240 
 3717 0.227 0.234 0.237 0.239 0.240 0.240 
 3718 0.227 0.234 0.237 0.239 0.240 0.240 
 3719 0.227 0.234 0.237 0.239 0.240 0.240 
 3720 0.227 0.234 0.237 0.239 0.240 0.240 
 3721 0.227 0.234 0.237 0.239 0.240 0.240 
 3722 0.227 0.234 0.237 0.239 0.240 0.240 
 3723 0.227 0.234 0.237 0.239 0.240 0.240 
 3724 0.227 0.234 0.237 0.239 0.240 0.240 
 3725 0.227 0.234 0.237 0.239 0.240 0.240 
 3726 0.227 0.234 0.237 0.239 0.240 0.240 
 3727 0.227 0.234 0.237 0.239 0.240 0.240 
 3728 0.227 0.234 0.237 0.239 0.240 0.240 
 3729 0.227 0.234 0.237 0.239 0.240 0.240 
 3730 0.227 0.234 0.237 0.239 0.240 0.240 
 3731 0.227 0.234 0.237 0.239 0.240 0.240 
 3732 0.227 0.234 0.237 0.239 0.240 0.240 
 3733 0.227 0.234 0.237 0.239 0.240 0.240 
 3734 0.227 0.234 0.237 0.239 0.240 0.240 
 3735 0.227 0.234 0.237 0.239 0.240 0.240 
 3736 0.227 0.234 0.237 0.239 0.240 0.240 
 3737 0.227 0.234 0.237 0.239 0.240 0.240 
 3738 0.227 0.234 0.237 0.239 0.240 0.240 
 3739 0.227 0.234 0.237 0.239 0.240 0.240 
 3740 0.227 0.234 0.237 0.239 0.240 0.240 
 3741 0.227 0.234 0.237 0.239 0.240 0.240 
 3742 0.227 0.234 0.237 0.239 0.240 0.240 
 3743 0.228 0.234 0.237 0.239 0.240 0.240 
 3744 0.228 0.234 0.237 0.239 0.240 0.240 
 3745 0.228 0.234 0.237 0.239 0.240 0.240 
 3746 0.228 0.234 0.237 0.239 0.240 0.240 
 3747 0.228 0.234 0.237 0.239 0.240 0.240 
 3748 0.228 0.234 0.237 0.239 0.240 0.240 
 3749 0.228 0.234 0.237 0.239 0.240 0.240 
 3750 0.228 0.234 0.237 0.239 0.240 0.240 
 3751 0.228 0.234 0.237 0.239 0.240 0.240 
 3752 0.228 0.234 0.237 0.239 0.240 0.240 
 3753 0.228 0.234 0.237 0.239 0.240 0.240 
 3754 0.228 0.234 0.237 0.239 0.240 0.240 
 3755 0.228 0.234 0.237 0.239 0.240 0.240 
 3756 0.228 0.234 0.237 0.239 0.240 0.240 
 3757 0.228 0.234 0.237 0.239 0.240 0.240 
 3758 0.228 0.234 0.237 0.239 0.240 0.240 
 3759 0.228 0.234 0.237 0.239 0.240 0.240 
 3760 0.228 0.234 0.237 0.239 0.240 0.240 
 3761 0.228 0.234 0.237 0.239 0.240 0.240 
 3762 0.228 0.234 0.237 0.239 0.240 0.240 
 3763 0.228 0.234 0.237 0.239 0.240 0.240 
 3764 0.228 0.234 0.237 0.239 0.240 0.240 
 3765 0.228 0.234 0.237 0.239 0.240 0.240 
 3766 0.228 0.234 0.237 0.239 0.240 0.240 
