ice_source,region,year,q0.5,q0.05,q0.95,q0.17,q0.83,q0.25,q0.75,sample_mean,sample_sd,sample_min, sample_max
GrIS,ALL,2016,0.0304698835874412,-0.0222931278516367,0.0854154310056325,8.45873302983321e-05,0.0614467285354114,0.00899504499390933,0.0522272262900294,0.0311,0.0342,-0.1193,0.2395
AIS,WAIS,2016,0.0383962747485975,-0.214337310671308,0.290327607538789,-0.10800598382613,0.184563687532256,-0.0650534901254595,0.141732716848792,0.0377,0.1542,-0.5294,0.5185
AIS,EAIS,2016,-0.0240055520137605,-0.163618586607733,0.116235110084806,-0.105036219968336,0.0572230581325365,-0.0812993806044834,0.0333856031654042,-0.0251,0.0854,-0.3349,0.2937
AIS,PEN,2016,-0.0147700318391937,-0.114850725352614,0.0856135748308235,-0.0728434933427302,0.0433985990600539,-0.0558280637104241,0.0263348876056074,-0.0165,0.0583,-0.1924,0.1713
AIS,ALL,2016,-0.00548941151649217,-0.308989134120641,0.290217984264054,-0.175810011052426,0.179502825982034,-0.128142982321376,0.120560177150094,-0.004,0.185,-0.812,0.564
Glaciers,region_1,2016,0.0176977234821735,-0.0087663311145826,0.0441633081671221,0.00234810690968214,0.0330507461335057,0.00684521660094465,0.0285463394389245,0.0188,0.0162,-0.0490,0.0725
Glaciers,region_2,2016,0.00326775161711765,-0.00107825006888107,0.0075545200747775,0.000758203141902837,0.00578459583664831,0.00151724074914875,0.00505302175993216,0.0038,0.0026,-0.0051,0.0118
Glaciers,region_3,2016,0.0117981728173404,-0.00829408953054528,0.0318929687490288,0.000140387754134484,0.0234479917020812,0.00356220969897013,0.0200388770815201,0.0122,0.0119,-0.0272,0.0528
Glaciers,region_4,2016,0.00539597548946068,-0.00450581873971597,0.0153185181215791,-0.00035701880249162,0.0111577409194745,0.00132797660911572,0.00945854445744335,0.0058,0.0061,-0.0151,0.0253
Glaciers,region_5,2016,0.0115913711471193,-0.00739576648777477,0.0305743143724925,0.000578277537589184,0.0226045251939739,0.0038023640488564,0.0193768618143847,0.0125,0.0110,-0.0326,0.0540
Glaciers,region_6,2016,0.00175397903170023,-0.00264834160992712,0.00618612797903448,-0.000819343470220503,0.00431090246372355,-6.89261232167034e-05,0.00354773637507638,0.0022,0.0026,-0.0064,0.0111
Glaciers,region_7,2016,0.00883758821749999,-0.00419997283980518,0.0218767399404328,0.00127693593598539,0.0163931321043278,0.00350036472201185,0.0141835240093441,0.0094,0.0078,-0.0165,0.0377
Glaciers,region_8,2016,-3.35204506275458e-05,-0.00106757374150393,0.000668726248835329,-0.000433787781694095,0.000366746880439003,-0.000336753277193113,0.000269712375938021,0.0004,0.0005,-0.0010,0.0020
Glaciers,region_9,2016,0.00938544681383977,-0.0035082920190488,0.0222963957090755,0.00189195533027249,0.0168792661279046,0.00408818786679182,0.0146791261861201,0.0097,0.0076,-0.0136,0.0338
Glaciers,region_10,2016,-1.61878639485269e-05,-0.000526785208811529,0.00046910822141704,-0.000372071659883276,0.000339695931986222,-0.000285796800262731,0.000253421072365677,0.0004,0.0004,-0.0009,0.0017
Glaciers,region_11,2016,8.42996327133592e-05,-0.000480527888305359,0.00120517044402759,-0.000329907216033701,0.000498506481460419,-0.000229493434519262,0.00039809269994598,0.0007,0.0005,-0.0008,0.0021
Glaciers,region_12,2016,-1.44102314305987e-06,-0.000452740382432608,0.000449858336146489,-0.000332393886622062,0.000329511840335942,-0.000252162889415031,0.000249280843128912,0.0003,0.0002,-0.0006,0.0011
Glaciers,region_13,2016,0.00616992647929272,-0.00174898251185781,0.0141007584681252,0.0015865731535822,0.0107660605249988,0.00291867731313882,0.00941070856336077,0.0066,0.0048,-0.0093,0.0233
Glaciers,region_14,2016,0.00389037295693603,-0.00281728708078373,0.0105656952392178,-5.70439745607688e-06,0.00777957153969493,0.00113735170752876,0.00663264832253753,0.0045,0.0041,-0.0131,0.0205
Glaciers,region_15,2016,0.00204554085250538,-0.000837654613729967,0.00494706529564874,0.000408527466228267,0.00370842892509528,0.000860591727363911,0.00322560218961979,0.0026,0.0017,-0.0027,0.0090
Glaciers,region_16,2016,2.7176314611097e-05,-0.000900009425807321,0.00110543139793203,-0.000390251023733106,0.0004446036529553,-0.000289056517467845,0.000343409146690039,0.0006,0.0005,-0.0011,0.0024
Glaciers,region_17,2016,0.00414809061282941,-0.00508868686460007,0.0133673216015479,-0.00120671701375367,0.00948706335201767,0.00036828422307227,0.00793643704766001,0.0047,0.0055,-0.0147,0.0219
