ice_source,region,year,q0.5,q0.05,q0.95,q0.17,q0.83,q0.25,q0.75,sample_mean,sample_sd,sample_min, sample_max
GrIS,ALL,2016,0.0304697995276416,-0.0222931809828664,0.0854153169137474,8.45252139614476e-05,0.0614466193360636,0.00899497783543753,0.052227123126601,0.0313,0.0340,-0.1253,0.2752
AIS,WAIS,2016,0.0381900074679742,-0.214064096788922,0.289877331667088,-0.108004903112285,0.184210188430047,-0.0651247813065855,0.141419101240065,0.0392,0.1502,-0.5048,0.5489
AIS,EAIS,2016,-0.0239252270778078,-0.163570385012615,0.116395486123198,-0.104974574764156,0.0573310535816802,-0.0812325273003265,0.0334829177525148,-0.0261,0.0856,-0.2861,0.2837
AIS,PEN,2016,-0.014686524852502,-0.114820029467005,0.0858844569773061,-0.072795852440173,0.0435539179829092,-0.05577190254152,0.0264624720382498,-0.0130,0.0616,-0.2238,0.2641
AIS,ALL,2016,-0.000401706285966818,-0.296322830577604,0.29880088861253,-0.176794484284351,0.177549201207511,-0.124538967144345,0.125269101491524,0.000,0.183,-0.580,0.610
Glaciers,region_1,2016,0.0176977621603406,-0.00876630087966975,0.0441633452738669,0.00234814181976678,0.0330507857044652,0.0068452521566502,0.0285463800418894,0.0178,0.0161,-0.0376,0.0717
Glaciers,region_2,2016,0.00326775224806037,-0.00107824945391284,0.00755452091861207,0.000758203721625702,0.00578459652332002,0.00151724131870839,0.00505302237871099,0.0037,0.0026,-0.0062,0.0123
Glaciers,region_3,2016,0.0117982148986975,-0.00829404810822795,0.0318930090643877,0.000140431087616985,0.0234480311717003,0.00356225139773661,0.0200389182382172,0.0121,0.0124,-0.0330,0.0502
Glaciers,region_4,2016,0.00539598028207198,-0.00450581305934221,0.0153185222952508,-0.000357014170851125,0.0111577454540318,0.00132798166067345,0.00945854892742325,0.0058,0.0060,-0.0131,0.0257
Glaciers,region_5,2016,0.0115914055686134,-0.00739573340013892,0.0305743487316622,0.000578311294080254,0.0226045596855459,0.00380239847347105,0.0193768948120142,0.0124,0.0119,-0.0350,0.0589
Glaciers,region_6,2016,0.00175398970076397,-0.00264832879338694,0.00618613799886858,-0.000819332314610679,0.00431091227848108,-6.8915861713749e-05,0.00354774875574174,0.0022,0.0026,-0.0051,0.0109
Glaciers,region_7,2016,0.00883758640630123,-0.00419997455023864,0.0218767380519919,0.00127693407930206,0.0163931303590088,0.00350036299264917,0.0141835222145117,0.0094,0.0079,-0.0179,0.0394
Glaciers,region_8,2016,-3.35201232767726e-05,-0.00106757290707611,0.000668730730895342,-0.000433787503466829,0.000366747256913284,-0.000336752987057119,0.000269712740503574,0.0004,0.0005,-0.0012,0.0024
Glaciers,region_9,2016,0.00938542792135341,-0.00350830848040741,0.022296374154726,0.00189193902455544,0.0168792445922262,0.00408817053713182,0.0146791050625202,0.0098,0.0078,-0.0174,0.0377
Glaciers,region_10,2016,-1.61878656688783e-05,-0.000526785252418548,0.000469108220461064,-0.000372071662164169,0.000339695930826412,-0.000285796802407735,0.000253421071069978,0.0004,0.0004,-0.0008,0.0015
Glaciers,region_11,2016,8.42994379716655e-05,-0.000480527967939955,0.00120517005056336,-0.000329907326363523,0.000498506202306854,-0.000229493565312568,0.000398092441255899,0.0007,0.0005,-0.0008,0.0024
Glaciers,region_12,2016,-1.44102092438877e-06,-0.000452740378220873,0.000449858336372096,-0.000332393882941811,0.000329511841093033,-0.000252162886089102,0.000249280844240325,0.0003,0.0002,-0.0005,0.0011
Glaciers,region_13,2016,0.00616992250446115,-0.00174898735453979,0.0141007550540084,0.00158656923168212,0.0107660566285691,0.0029186732006262,0.00941070496910346,0.0068,0.0048,-0.0100,0.0228
Glaciers,region_14,2016,0.00389038635419263,-0.00281727293151128,0.0105657118672747,-5.69118371589324e-06,0.00777958595594961,0.00113736530185358,0.00663266283317439,0.0044,0.0042,-0.0104,0.0168
Glaciers,region_15,2016,0.00204554314190112,-0.000837651696487199,0.00494706784619783,0.000408530539092478,0.00370843172205375,0.000860593935304051,0.00322560430983651,0.0026,0.0018,-0.0032,0.0082
Glaciers,region_16,2016,2.71764027758207e-05,-0.00090000900738691,0.0011054316519306,-0.000390250947473257,0.000444603753024898,-0.000289056438321965,0.000343409243873607,0.0006,0.0005,-0.0011,0.0022
Glaciers,region_17,2016,0.00414809099733634,-0.00508868648538498,0.0133673219465346,-0.00120671664047365,0.00948706370686449,0.000368284627581566,0.00793643743450476,0.0045,0.0056,-0.0171,0.0217
Glaciers,region_18,2016,-5.78853026409314e-05,-0.001018180851218,0.000444230371318801,-0.000426103463544735,0.000310332858262872,-0.000336838454840783,0.00022106784955892,0.0002,0.0003,-0.0008,0.0011
Glaciers,region_19,2016,0.0163345077512624,-0.0186933210302376,0.0513605195208363,-0.00398684118251019,0.036653026986221,0.00196960537573664,0.0306979664521982,0.0174,0.0211,-0.0517,0.0857
Glaciers,ALL,2016,0.112588176519193,0.0536720827257766,0.170194589459494,0.0778192754479955,0.146414286627826,0.0864879158172994,0.136069113034018,0.112,0.036,0.000,0.218
LAND_ICE,ALL,2016,0.139191906865645,-0.162330546226869,0.44980131044405,-0.0366388222045269,0.329621346425156,0.015306299376755,0.274486400269765,0.143,0.188,-0.495,0.718
GrIS,ALL,2017,0.0453846933988636,-0.051843120183064,0.147425963213422,-0.0105714057512251,0.102655318799795,0.00583034985453475,0.0855638372615009,0.0474,0.0637,-0.2703,0.3907
AIS,WAIS,2017,0.0534743876889634,-0.204746008651935,0.311633916010616,-0.0962436272451972,0.203188290314605,-0.0523485279567307,0.159297181880438,0.0487,0.1566,-0.4654,0.5629
AIS,EAIS,2017,-0.0171426013405717,-0.178950686402463,0.145110151379283,-0.111001346877684,0.076836666522825,-0.0834920669103362,0.0492645771992386,-0.0153,0.1002,-0.3503,0.3839
AIS,PEN,2017,-0.0104944283265617,-0.116033666731014,0.0955556324123841,-0.0717531023569569,0.0509257148884886,-0.0538099694372979,0.0329004429564312,-0.0093,0.0635,-0.2214,0.2241
AIS,ALL,2017,0.0253725576048604,-0.292634994613952,0.343178266038905,-0.15975008431844,0.203106693384466,-0.110892328882731,0.150824793209999,0.024,0.194,-0.648,0.652
Glaciers,region_1,2017,0.0322844011123092,-0.0166186690981488,0.0810501085863028,0.00392748346744535,0.06058992631859,0.0122442174170643,0.0522997074708593,0.0328,0.0295,-0.0746,0.1308
Glaciers,region_2,2017,0.00724664534281477,-0.000437678726141483,0.0149650316305624,0.00277535578857769,0.0117164250927428,0.00408274457142493,0.0104003632290955,0.0079,0.0048,-0.0075,0.0249
Glaciers,region_3,2017,0.0213908874734479,-0.0112859321445737,0.0540768306686418,0.00243796996094108,0.0403476096476273,0.00798992972822488,0.034792223269394,0.0225,0.0197,-0.0379,0.0883
Glaciers,region_4,2017,0.0112433700692166,-0.0064179595854689,0.0289183224980311,0.000990669775943602,0.0214860801672801,0.00399588634219579,0.0184838731148484,0.0117,0.0109,-0.0244,0.0484
Glaciers,region_5,2017,0.0214071025727578,-0.0131091277086139,0.0559247278117774,0.00138770582657891,0.0414262282189102,0.00725418953942338,0.0355581561398651,0.0218,0.0206,-0.0545,0.0833
Glaciers,region_6,2017,0.00425505204860985,-0.00339166193276505,0.011931586038975,-0.000192153458917152,0.00869949695742547,0.00110937311520567,0.0073918901443072,0.0049,0.0046,-0.0098,0.0195
