station name                       	Lon [deg]	Lat [deg]	slc (50%) [m]	alwnce (5%) [m] 	alwnce (17%) [m]	alwnce (50%) [m]	alwnce (83%) [m]	alwnce (95%) [m]	AF (5%) [m]     	AF (17%) [m]    	AF (50%) [m]    	AF (83%) [m]    	AF (95%) [m]    
Hosojima                           	131.683300	32.416700	0.572586	        0.187104	        0.331323	        0.567092	        0.853930	        1.092995	        5.011872	       10.000000	       31.622777	      112.201845	      251.188643
Humboldt Bay, CA                   	-124.216700	40.766700	0.882492	        0.582440	        0.702472	        0.923207	        1.174872	        1.324195	      630.957344	      630.957344	      630.957344	      630.957344	      630.957344
Ilfracombe                         	-4.110940	51.210970	0.551789	        0.365953	        0.482462	        0.863683	        0.936092	        0.975986	      100.000000	      158.489319	      251.188643	      398.107171	      562.341325
Ilha Fiscal,RJ                     	-43.165000	-22.896700	0.729289	        0.449036	        0.560064	        0.728616	        0.925323	        1.082208	      141.253754	      158.489319	      281.838293	      501.187234	      562.341325
Immingham                          	-0.186030	53.631030	0.524266	        0.290622	        0.383730	        0.532373	        0.712741	        0.846534	        8.912509	       15.848932	       31.622777	       89.125094	      177.827941
Ishigaki, Japan                    	124.150000	24.333300	0.819758	        0.355943	        0.542318	        0.843070	        1.169228	        1.403826	       39.810717	       56.234133	      177.827941	      354.813389	      501.187234
Ishigaki                           	124.150000	24.333300	0.819758	        0.384025	        0.554308	        0.815207	        1.143558	        1.381964	       56.234133	       70.794578	      199.526231	      354.813389	      446.683592
ISHIGAKI                           	124.166700	24.333300	0.819758	        0.376177	        0.549798	        0.827032	        1.135985	        1.368406	       25.118864	       35.481339	      141.253754	      316.227766	      446.683592
Johnston                           	-169.530000	16.738300	0.847469	        0.424566	        0.574449	        0.825376	        1.120962	        1.375630	      177.827941	      199.526231	      223.872114	      398.107171	      501.187234
Johnston Island, USA               	-169.530000	16.738300	0.847469	        0.421188	        0.574267	        0.825005	        1.122213	        1.374753	      177.827941	      177.827941	      199.526231	      446.683592	      501.187234
Johor Baharu                       	103.791700	1.461700	0.727109	        0.395476	        0.560826	        0.980433	        1.193820	        1.221138	      501.187234	      501.187234	      501.187234	      707.945784	      707.945784
Juan Fernandez-B                   	-78.833300	-33.621700	0.538500	        0.390451	        0.929822	        0.941925	        0.955799	        0.966946	      707.945784	      707.945784	      707.945784	      630.957344	      707.945784
JUNEAU                             	-134.412000	58.298300	-0.849719	       -1.090770	       -0.996913	       -0.836878	       -0.627163	       -0.482930	        0.112202	        0.112202	        0.112202	        0.112202	        0.112202
KAGOSHIMA                          	130.566700	31.583300	0.622047	        0.308816	        0.434218	        0.628849	        0.853065	        1.028909	       12.589254	       28.183829	       89.125094	      251.188643	      354.813389
Kahului, Maui, Hawaii, USA         	-156.466700	20.900000	0.872836	        0.536280	        0.579965	        0.852935	        1.297018	        1.350011	      630.957344	      630.957344	      630.957344	      630.957344	      562.341325
Kahului                            	-156.466700	20.900000	0.872836	        0.538611	        0.572078	        0.858929	        1.328942	        1.352835	      630.957344	      630.957344	      630.957344	      630.957344	      630.957344
Kalix                              	23.096100	65.696900	-0.432766	       -0.669352	       -0.572626	       -0.421238	       -0.238527	       -0.111332	        0.112202	        0.112202	        0.112202	        0.158489	        0.501187
Kanmen-A                           	121.281700	28.088300	0.762187	        0.105594	        0.337349	        0.721531	        1.206524	        1.650931	        1.778279	        3.981072	        8.912509	       19.952623	       39.810717
Kanton-B, Kiribati                 	-171.718300	-2.810000	0.617852	        0.179947	        0.240818	        0.606645	        1.003925	        1.113682	      223.872114	      251.188643	      251.188643	      562.341325	      562.341325
Kanton-B                           	-171.718300	-2.810000	0.617852	        0.179892	        0.284475	        0.578321	        0.904317	        1.091218	       89.125094	      100.000000	      125.892541	      501.187234	      562.341325
Kaohsiung                          	120.288300	22.615000	0.696437	        0.289554	        0.422989	        0.714888	        1.048179	        1.185444	      141.253754	      158.489319	      177.827941	      316.227766	      398.107171
Kapingamarangi                     	154.776700	1.098300	0.725680	        0.257371	        0.392325	        0.818601	        1.303961	        1.379432	      398.107171	      398.107171	      446.683592	      446.683592	      446.683592
KASKINEN                           	21.214800	62.343900	-0.348484	       -0.684450	       -0.561572	       -0.350375	       -0.090097	        0.140472	        0.112202	        0.112202	        0.177828	        0.707946	        1.412538
KAWASAKI                           	139.750000	35.516700	0.735805	        0.460777	        0.564952	        0.759524	        0.992878	        1.144317	      562.341325	      562.341325	      562.341325	      562.341325	      562.341325
Keelung                            	121.745000	25.156700	0.709328	        0.106768	        0.318882	        0.669624	        1.120893	        1.559140	        1.995262	        5.623413	       17.782794	       70.794578	      199.526231
Kelang                             	101.358300	3.050000	0.659750	        0.468505	        0.804881	        1.120083	        1.148948	        1.175412	      223.872114	      251.188643	      446.683592	      630.957344	      630.957344
Keling                             	102.153300	2.215000	0.637695	        0.307548	        0.438837	        0.760616	        1.043440	        1.110162	      354.813389	      398.107171	      446.683592	      630.957344	      630.957344
KEMI                               	24.515200	65.673400	-0.376094	       -0.704932	       -0.579694	       -0.370482	       -0.123572	        0.090790	        0.112202	        0.112202	        0.125893	        0.630957	        1.258925
Kerguelen                          	70.220000	-49.345000	0.945000	        0.567556	        1.048341	        1.495759	        1.521039	        1.541627	     1000.000000	     1000.000000	     1000.000000	      891.250938	     1000.000000
Ketchikan,AK                       	-131.625000	55.333300	0.403602	        0.181846	        0.281138	        0.473825	        0.777128	        0.823121	       19.952623	       44.668359	      125.892541	      316.227766	      501.187234
Ketchikan, USA                     	-131.625000	55.333300	0.403602	        0.164468	        0.260242	        0.427229	        0.669826	        0.803732	       10.000000	       22.387211	       63.095734	      223.872114	      562.341325
KETCHIKAN                          	-131.626200	55.331800	0.403602	        0.178399	        0.275375	        0.451099	        0.757533	        0.819934	       15.848932	       35.481339	      100.000000	      316.227766	      501.187234
Key West,FL                        	-81.808300	24.553300	0.863086	        0.490755	        0.625042	        0.836223	        1.094789	        1.301603	      501.187234	      501.187234	      501.187234	      501.187234	      501.187234
Key West, FL                       	-81.808300	24.553300	0.863086	        0.469152	        0.619505	        0.844104	        1.122950	        1.305266	      501.187234	      501.187234	      501.187234	      501.187234	      501.187234
KEY WEST                           	-81.807900	24.555700	0.863086	        0.487786	        0.623650	        0.838073	        1.096479	        1.298710	      501.187234	      501.187234	      501.187234	      501.187234	      501.187234
Kinlochbervie                      	-5.050360	58.456610	0.385492	       -0.042724	        0.124098	        0.388409	        0.700238	        0.953806	        0.630957	        2.818383	       11.220185	       39.810717	      112.201845
Klagshamn                          	12.893600	55.522200	0.443219	        0.231631	        0.322272	        0.472709	        0.679775	        0.798972	       19.952623	       35.481339	       70.794578	      158.489319	      316.227766
Knysna                             	23.033300	-34.050000	0.795539	        0.504155	        0.624002	        0.810749	        1.053498	        1.238748	      199.526231	      223.872114	      446.683592	      630.957344	      794.328235
Ko Lak                             	99.816700	11.795000	0.608789	        0.362480	        0.473299	        0.689346	        0.968268	        1.048606	      251.188643	      281.838293	      316.227766	      398.107171	      398.107171
Ko Taphao Noi                      	98.425000	7.831700	0.669953	        0.378197	        0.663703	        1.092361	        1.122124	        1.143940	      630.957344	      630.957344	      630.957344	      630.957344	      707.945784
KOBE                               	135.183300	34.683300	1.014461	        0.608120	        0.758991	        1.007395	        1.300665	        1.543396	       56.234133	       79.432823	      177.827941	      354.813389	      446.683592
KOCHI                              	133.566700	33.500000	0.651094	        0.194683	        0.364117	        0.641802	        0.971295	        1.248163	        2.818383	        5.623413	       14.125375	       44.668359	      141.253754
Kodiak Isl.,Alaska                 	-152.511700	57.731700	-0.381484	       -0.681491	       -0.566496	       -0.365227	       -0.118760	        0.038593	        0.112202	        0.112202	        0.112202	        0.281838	        1.584893
Kodiak Island, USA                 	-152.511700	57.731700	-0.381484	       -0.681172	       -0.539057	       -0.308879	       -0.023490	        0.092771	        0.112202	        0.112202	        0.112202	        0.707946	        3.162278
KOMATSUSHIMA                       	134.583300	34.016700	0.764070	        0.437265	        0.568025	        0.768158	        1.015883	        1.196794	       63.095734	       79.432823	      199.526231	      316.227766	      398.107171
Kota Kinabalu                      	116.066700	5.983300	0.726680	        0.414579	        0.539469	        0.743251	        0.973627	        1.139659	      446.683592	      446.683592	      501.187234	      501.187234	      501.187234
Kuantan                            	103.430000	3.975000	0.728000	        0.374907	        0.552317	        0.905340	        1.199510	        1.247293	      158.489319	      177.827941	      316.227766	      446.683592	      501.187234
KUCHINOTSU                         	130.200000	32.600000	0.726133	        0.465023	        0.581091	        0.782984	        1.107975	        1.149046	      501.187234	      501.187234	      501.187234	      501.187234	      501.187234
Kukup                              	103.443300	1.325000	0.731742	        0.382596	        0.644149	        1.162633	        1.188368	        1.207523	      707.945784	      707.945784	      707.945784	      707.945784	      707.945784
Kungsholmsfort                     	15.589400	56.105300	0.467633	        0.053925	        0.275588	        0.580693	        0.935454	        0.997969	        2.818383	       11.220185	       79.432823	      177.827941	      199.526231
Kungsvik                           	11.127200	58.996700	0.174320	       -0.086786	        0.016613	        0.191474	        0.405183	        0.553479	        0.251189	        1.258925	        5.011872	       19.952623	       56.234133
Kushimoto, Japan                   	135.783300	33.466700	0.924812	        0.635886	        0.741347	        0.931970	        1.161236	        1.328135	      446.683592	      446.683592	      446.683592	      446.683592	      446.683592
Kushimoto                          	135.783300	33.466700	0.924812	        0.642230	        0.744921	        0.932767	        1.166533	        1.331551	      398.107171	      398.107171	      398.107171	      398.107171	      398.107171
KUSHIMOTO                          	135.766700	33.483300	0.924812	        0.643087	        0.746173	        0.932032	        1.160021	        1.329936	      398.107171	      398.107171	      398.107171	      446.683592	      446.683592
Kushiro, Japan                     	144.383300	42.966700	1.376695	        1.101865	        1.210233	        1.374098	        1.598964	        1.779019	      707.945784	      707.945784	      707.945784	      707.945784	      707.945784
Kushiro                            	144.383300	42.966700	1.376695	        1.102947	        1.213100	        1.372981	        1.584158	        1.767145	      630.957344	      630.957344	      630.957344	      707.945784	      707.945784
KUSHIRO                            	144.366700	42.983300	1.376695	        1.101544	        1.211289	        1.381912	        1.586544	        1.759785	      630.957344	      630.957344	      630.957344	      707.945784	      707.945784
Kwajalein, Marshall Is.            	167.733300	8.733300	0.880070	        0.546166	        0.617531	        1.327502	        1.337954	        1.345487	      630.957344	      630.957344	      630.957344	      562.341325	      707.945784
