station name                       	Lon [deg]	Lat [deg]	slc (50%) [m]	alwnce (5%) [m] 	alwnce (17%) [m]	alwnce (50%) [m]	alwnce (83%) [m]	alwnce (95%) [m]	AF (5%) [m]     	AF (17%) [m]    	AF (50%) [m]    	AF (83%) [m]    	AF (95%) [m]    
Abashiri                           	144.283300	44.016700	0.171656	        0.071170	        0.112014	        0.172964	        0.240219	        0.285681	        7.079458	       14.125375	       35.481339	       79.432823	      125.892541
ABASHIRI                           	144.283300	44.016700	0.171656	        0.058316	        0.102873	        0.170518	        0.242535	        0.295990	        2.818383	        5.011872	       10.000000	       22.387211	       35.481339
Aberdeen                           	-2.074510	57.143250	0.115477	       -0.002573	        0.045138	        0.119226	        0.193517	        0.243574	        0.891251	        2.818383	        8.912509	       19.952623	       31.622777
Aburatsu, Japan                    	131.416700	31.566700	0.181258	       -0.051531	        0.031525	        0.166687	        0.332919	        0.484303	        0.501187	        1.412538	        3.162278	        6.309573	        8.912509
Aburatsu                           	131.416700	31.566700	0.181258	       -0.063351	        0.023057	        0.166063	        0.340939	        0.495767	        0.501187	        1.258925	        2.818383	        5.011872	        7.079458
ABURATSU                           	131.416700	31.583300	0.181258	       -0.058544	        0.026938	        0.166458	        0.338743	        0.488723	        0.562341	        1.258925	        2.818383	        5.011872	        7.079458
Acajutla-A                         	-89.833300	13.583300	0.190922	        0.100496	        0.138581	        0.198014	        0.264286	        0.298730	       25.118864	       56.234133	      125.892541	      281.838293	      446.683592
Acapulco-A,Gro.                    	-99.911700	16.840000	0.397203	        0.287893	        0.331249	        0.396897	        0.469746	        0.522380	      223.872114	      251.188643	      398.107171	      501.187234	      562.341325
Adak,Alaska                        	-176.631700	51.863300	0.017539	       -0.082673	       -0.040549	        0.021844	        0.090853	        0.138688	        0.112202	        0.251189	        1.778279	        5.623413	       12.589254
Adak                               	-176.635000	51.858300	0.017539	       -0.085881	       -0.041565	        0.024440	        0.095755	        0.147141	        0.112202	        0.251189	        1.778279	        6.309573	       12.589254
ADAK  SWEEPER COVE                 	-176.632000	51.863300	0.017539	       -0.083485	       -0.041467	        0.022248	        0.091243	        0.138784	        0.112202	        0.281838	        1.778279	        5.623413	       11.220185
ALAMEDA (NAVAL AIR STATION)        	-122.298300	37.771700	0.117156	       -0.001861	        0.044010	        0.113880	        0.189652	        0.250172	        1.000000	        2.511886	        6.309573	       14.125375	       22.387211
Albany                             	117.883333	-35.033333	0.201867	        0.108532	        0.147218	        0.209111	        0.274854	        0.315849	       22.387211	       44.668359	      100.000000	      199.526231	      316.227766
Alert Bay,BC                       	-126.931000	50.587000	-0.008969	       -0.129159	       -0.080150	       -0.005788	        0.078216	        0.143088	        0.112202	        0.125893	        0.891251	        2.818383	        5.011872
algeciras                          	-5.433300	36.116700	0.110250	       -0.064778	        0.000600	        0.102948	        0.221320	        0.319734	        0.630957	        1.000000	        1.778279	        3.162278	        3.981072
ANCHORAGE                          	-149.890000	61.238300	-0.160961	       -0.289106	       -0.233904	       -0.143823	       -0.038879	        0.006328	        0.112202	        0.112202	        0.112202	        0.446684	        1.122018
ANNAPOLIS (NAVAL ACADEMY)          	-76.481600	38.983300	0.253109	       -0.036247	        0.063621	        0.231928	        0.438184	        0.619842	        0.794328	        1.412538	        2.818383	        4.466836	        5.623413
Antofagasta                        	-70.400000	-23.650000	0.079344	       -0.001696	        0.030919	        0.082157	        0.138340	        0.177628	        0.891251	        3.548134	       17.782794	       56.234133	      141.253754
Argentia,NF                        	-53.983300	47.300000	0.193477	        0.021686	        0.091548	        0.195599	        0.310301	        0.390871	        1.412538	        3.981072	       12.589254	       35.481339	       79.432823
arrecife                           	-13.530000	28.972200	0.185992	        0.078379	        0.157251	        0.297188	        0.320291	        0.330626	       25.118864	       63.095734	      158.489319	      316.227766	      446.683592
Astoria,OR                         	-123.766700	46.208300	0.071047	       -0.045255	        0.000590	        0.070236	        0.144224	        0.200221	        0.398107	        1.000000	        2.511886	        5.011872	        7.079458
ASTORIA (TONGUE POINT)             	-123.768300	46.207300	0.071047	       -0.075420	       -0.019380	        0.067219	        0.166581	        0.247830	        0.199526	        0.707946	        2.238721	        4.466836	        7.079458
Atlantic City                      	-74.418300	39.355000	0.274320	        0.141305	        0.193927	        0.273634	        0.357893	        0.423303	        3.981072	        5.623413	        8.912509	       14.125375	       17.782794
ATLANTIC CITY                      	-74.418300	39.355000	0.274320	        0.035148	        0.123596	        0.262484	        0.426166	        0.564351	        1.412538	        2.511886	        4.466836	        7.079458	       10.000000
Avonmouth                          	-2.714970	51.510890	0.132773	        0.029589	        0.072785	        0.139367	        0.212070	        0.269659	        1.995262	        3.548134	        7.943282	       12.589254	       17.782794
AYUKAWA                            	141.500000	38.300000	0.585367	        0.476650	        0.520199	        0.584697	        0.653633	        0.703437	      707.945784	      707.945784	      707.945784	      707.945784	      707.945784
Bakar                              	14.533000	45.300000	0.130211	        0.022297	        0.064583	        0.129763	        0.202409	        0.259860	        1.778279	        3.981072	        8.912509	       15.848932	       25.118864
Balboa                             	-79.573300	8.961700	0.190133	        0.107867	        0.139718	        0.199755	        0.268255	        0.286954	       17.782794	       28.183829	       50.118723	       79.432823	      112.201845
BALTIMORE                          	-76.578300	39.266700	0.236180	       -0.095554	        0.020937	        0.214343	        0.449895	        0.661137	        0.630957	        1.122018	        1.995262	        3.162278	        4.466836
Baltra-B                           	-90.285000	-0.436700	0.175867	        0.023007	        0.084602	        0.182370	        0.297085	        0.395411	        1.995262	        6.309573	       17.782794	       44.668359	       79.432823
Bamfield,BC                        	-125.136000	48.836000	0.053875	       -0.082427	       -0.029508	        0.054383	        0.148383	        0.223343	        0.112202	        0.562341	        2.238721	        5.011872	        7.943282
barcelona                          	2.163000	41.342000	0.184711	        0.087889	        0.132017	        0.201293	        0.268998	        0.304509	       19.952623	       39.810717	      100.000000	      199.526231	      223.872114
BAR HARBOR, FRENCHMAN BAY, ME      	-68.205000	44.391700	0.193250	        0.097520	        0.135360	        0.192424	        0.253404	        0.297952	        6.309573	       11.220185	       19.952623	       35.481339	       56.234133
Barseback                          	12.903300	55.756400	0.089836	       -0.263587	       -0.149457	        0.061029	        0.363203	        0.669057	        0.112202	        0.223872	        1.412538	        3.548134	        5.623413
