station name                       	Lon [deg]	Lat [deg]	slc (50%) [m]	alwnce (5%) [m] 	alwnce (17%) [m]	alwnce (50%) [m]	alwnce (83%) [m]	alwnce (95%) [m]	AF (5%) [m]     	AF (17%) [m]    	AF (50%) [m]    	AF (83%) [m]    	AF (95%) [m]    
Abashiri                           	144.283300	44.016700	0.168258	        0.066558	        0.107012	        0.171683	        0.240336	        0.286802	        6.309573	       12.589254	       31.622777	       79.432823	      125.892541
ABASHIRI                           	144.283300	44.016700	0.168258	        0.053062	        0.098234	        0.168637	        0.243040	        0.296050	        2.511886	        4.466836	       10.000000	       22.387211	       35.481339
Aberdeen                           	-2.074510	57.143250	0.109055	       -0.021777	        0.031132	        0.114933	        0.209424	        0.268070	        0.501187	        1.995262	        7.943282	       22.387211	       39.810717
Aburatsu, Japan                    	131.416700	31.566700	0.186352	       -0.057916	        0.030154	        0.170639	        0.341442	        0.491306	        0.501187	        1.258925	        3.548134	        7.079458	       10.000000
Aburatsu                           	131.416700	31.566700	0.186352	       -0.065773	        0.024508	        0.169350	        0.347689	        0.505225	        0.501187	        1.258925	        2.818383	        5.623413	        7.943282
ABURATSU                           	131.416700	31.583300	0.186352	       -0.062050	        0.027295	        0.171725	        0.342026	        0.496397	        0.562341	        1.258925	        2.818383	        5.623413	        7.943282
Acajutla-A                         	-89.833300	13.583300	0.190492	        0.100741	        0.136296	        0.197906	        0.281095	        0.325697	       28.183829	       50.118723	      125.892541	      281.838293	      562.341325
Acapulco-A,Gro.                    	-99.911700	16.840000	0.398633	        0.283940	        0.327285	        0.396637	        0.473764	        0.531019	      223.872114	      251.188643	      354.813389	      501.187234	      501.187234
Adak,Alaska                        	-176.631700	51.863300	0.016422	       -0.086081	       -0.044023	        0.020503	        0.090168	        0.137947	        0.112202	        0.223872	        1.584893	        5.623413	       11.220185
Adak                               	-176.635000	51.858300	0.016422	       -0.089955	       -0.044252	        0.022161	        0.094961	        0.146336	        0.112202	        0.223872	        1.584893	        5.623413	       11.220185
ADAK  SWEEPER COVE                 	-176.632000	51.863300	0.016422	       -0.088445	       -0.044017	        0.020029	        0.090492	        0.138766	        0.112202	        0.251189	        1.584893	        5.623413	       11.220185
ALAMEDA (NAVAL AIR STATION)        	-122.298300	37.771700	0.113930	       -0.002426	        0.043602	        0.114119	        0.193161	        0.255419	        0.891251	        2.511886	        6.309573	       14.125375	       28.183829
Albany                             	117.883333	-35.033333	0.200961	        0.105983	        0.144702	        0.209876	        0.281461	        0.322170	       22.387211	       39.810717	      100.000000	      199.526231	      354.813389
Alert Bay,BC                       	-126.931000	50.587000	-0.009977	       -0.133060	       -0.083369	       -0.006552	        0.081445	        0.148849	        0.112202	        0.112202	        0.891251	        2.818383	        5.011872
algeciras                          	-5.433300	36.116700	0.110008	       -0.068008	       -0.000894	        0.103111	        0.221503	        0.319765	        0.562341	        1.000000	        1.778279	        3.162278	        4.466836
ANCHORAGE                          	-149.890000	61.238300	-0.165937	       -0.313783	       -0.237810	       -0.146722	       -0.053955	       -0.009397	        0.112202	        0.112202	        0.112202	        0.316228	        0.794328
ANNAPOLIS (NAVAL ACADEMY)          	-76.481600	38.983300	0.251477	       -0.036224	        0.063805	        0.232052	        0.439334	        0.624069	        0.794328	        1.412538	        2.818383	        4.466836	        5.623413
