station name                       	Lon [deg]	Lat [deg]	slc (50%) [m]	alwnce (5%) [m] 	alwnce (17%) [m]	alwnce (50%) [m]	alwnce (83%) [m]	alwnce (95%) [m]	AF (5%) [m]     	AF (17%) [m]    	AF (50%) [m]    	AF (83%) [m]    	AF (95%) [m]    
Abashiri                           	144.283300	44.016700	0.225000	        0.140000	        0.170000	        0.220000	        0.300000	        0.370000	       17.761857	       30.438044	       79.721401	      231.836260	      434.258825
ABASHIRI                           	144.283300	44.016700	0.225000	        0.140000	        0.170000	        0.230000	        0.300000	        0.370000	        6.291395	        9.603438	       21.876920	       64.981840	      134.715957
Aberdeen                           	-2.074510	57.143250	0.224000	        0.030000	        0.110000	        0.220000	        0.360000	        0.440000	        2.268470	        7.799525	       34.846387	      122.947742	      222.147497
Aburatsu, Japan                    	131.416700	31.566700	0.267000	        0.180000	        0.210000	        0.270000	        0.350000	        0.410000	        2.477676	        3.531998	        7.323992	       20.865009	       50.633639
Aburatsu                           	131.416700	31.566700	0.267000	        0.180000	        0.210000	        0.270000	        0.350000	        0.410000	        2.209210	        2.980852	        5.504203	       13.467406	       29.966676
ABURATSU                           	131.416700	31.583300	0.267000	        0.180000	        0.210000	        0.270000	        0.350000	        0.410000	        2.233782	        3.023833	        5.590653	       13.473499	       29.775927
Acajutla-A                         	-89.833300	13.583300	0.248000	        0.180000	        0.200000	        0.250000	        0.320000	        0.390000	       89.219642	      139.941838	      306.670566	      761.855570	     1405.308244
Acapulco-A,Gro.                    	-99.911700	16.840000	0.454000	        0.380000	        0.400000	        0.450000	        0.530000	        0.600000	      434.684170	     1040.934259	     3578.255963	    15513.915947	    18262.500000
Adak,Alaska                        	-176.631700	51.863300	0.077000	        0.000000	        0.030000	        0.080000	        0.150000	        0.220000	        1.010522	        1.867788	        5.868066	       23.821256	       55.528255
Adak                               	-176.635000	51.858300	0.077000	        0.000000	        0.030000	        0.080000	        0.150000	        0.220000	        1.014275	        1.854540	        5.888426	       24.045681	       54.687532
ADAK  SWEEPER COVE                 	-176.632000	51.863300	0.077000	        0.000000	        0.030000	        0.080000	        0.150000	        0.220000	        1.011037	        1.844790	        5.738829	       23.339457	       54.687738
ALAMEDA (NAVAL AIR STATION)        	-122.298300	37.771700	0.174000	        0.100000	        0.130000	        0.170000	        0.250000	        0.320000	        4.479036	        7.004797	       17.317574	       56.828143	      135.728973
Albany                             	117.883333	-35.033333	0.218000	        0.120000	        0.160000	        0.220000	        0.300000	        0.360000	       24.654439	       45.707241	      129.027715	      353.854248	      609.245472
Alert Bay,BC                       	-126.931000	50.587000	0.010000	       -0.070000	       -0.040000	        0.010000	        0.090000	        0.150000	        0.168296	        0.403384	        1.224230	        4.266648	        9.495931
algeciras                          	-5.433300	36.116700	0.196000	        0.090000	        0.130000	        0.200000	        0.280000	        0.350000	        1.641340	        2.021304	        3.332736	        7.078611	       14.004176
ANCHORAGE                          	-149.890000	61.238300	-0.246000	       -0.470000	       -0.380000	       -0.250000	       -0.100000	        0.000000	        0.000677	        0.008009	        0.224707	        1.280374	        1.450539
ANNAPOLIS (NAVAL ACADEMY)          	-76.481600	38.983300	0.407000	        0.250000	        0.310000	        0.410000	        0.520000	        0.600000	        2.314041	        3.223139	        6.316932	       17.292417	       42.794953
Antofagasta                        	-70.400000	-23.650000	0.130000	        0.070000	        0.090000	        0.130000	        0.190000	        0.250000	       12.421679	       21.613159	       62.283739	      217.266667	      462.435699
Argentia,NF                        	-53.983300	47.300000	0.332000	        0.140000	        0.220000	        0.330000	        0.460000	        0.550000	        7.653964	       16.051549	       57.597303	      204.721125	      414.236775
arrecife                           	-13.530000	28.972200	0.241000	        0.130000	        0.170000	        0.240000	        0.330000	        0.400000	       71.907382	      125.440830	      280.226190	      588.833076	      963.724999
Astoria,OR                         	-123.766700	46.208300	0.106000	        0.030000	        0.060000	        0.110000	        0.180000	        0.250000	        1.596545	        2.130824	        3.957993	        9.714893	       18.220860
ASTORIA (TONGUE POINT)             	-123.768300	46.207300	0.106000	        0.030000	        0.060000	        0.110000	        0.180000	        0.250000	        1.491301	        1.904062	        3.364771	        8.054584	       15.340606
Atlantic City                      	-74.418300	39.355000	0.428000	        0.270000	        0.330000	        0.430000	        0.540000	        0.620000	        8.315402	       13.281569	       30.803642	       81.764470	      154.536451
ATLANTIC CITY                      	-74.418300	39.355000	0.428000	        0.270000	        0.330000	        0.430000	        0.540000	        0.620000	        3.734174	        5.622713	       12.252328	       33.765667	       73.534227
Avonmouth                          	-2.714970	51.510890	0.234000	        0.000000	        0.000000	        0.000000	        0.020000	        0.060000	        6.821638	       11.523423	       24.063825	       46.279703	       64.631512
AYUKAWA                            	141.500000	38.300000	0.564000	        0.410000	        0.470000	        0.560000	        0.670000	        0.760000	     1012.962013	     2425.055089	    11556.383529	    18262.500000	    18262.500000
Bakar                              	14.533000	45.300000	0.197000	        0.070000	        0.120000	        0.200000	        0.290000	        0.350000	        3.867695	        7.210015	       22.494012	       72.290368	      137.451361
Balboa                             	-79.573300	8.961700	0.265000	        0.180000	        0.210000	        0.260000	        0.340000	        0.410000	       43.223667	       60.256524	      105.569293	      196.192507	      293.977599
BALTIMORE                          	-76.578300	39.266700	0.393000	        0.240000	        0.300000	        0.390000	        0.501700	        0.590000	        1.918427	        2.446272	        4.024055	        8.498094	       17.221394
Baltra-B                           	-90.285000	-0.436700	0.236000	        0.160000	        0.180000	        0.240000	        0.310000	        0.380000	        6.911504	       14.843497	       52.021198	      186.949234	      423.190667
Bamfield,BC                        	-125.136000	48.836000	0.075000	        0.000000	        0.030000	        0.080000	        0.150000	        0.220000	        1.025356	        1.446409	        2.946728	        8.202575	       16.472131
barcelona                          	2.163000	41.342000	0.280000	        0.150000	        0.200000	        0.280000	        0.380000	        0.440000	       77.558245	      167.245860	      643.113417	     3306.207139	     8863.546543
BAR HARBOR, FRENCHMAN BAY, ME      	-68.205000	44.391700	0.350000	        0.180000	        0.250000	        0.350000	        0.470000	        0.550000	       18.047010	       36.593861	      111.657453	      326.079987	      569.788914
Barseback                          	12.903300	55.756400	0.227000	        0.070000	        0.130000	        0.230000	        0.340000	        0.420000	        1.428856	        1.917535	        4.001867	       12.847891	       32.585883
BAYONNE_BOUCAU                     	-1.514800	43.527300	0.223000	        0.110000	        0.150000	        0.220000	        0.310000	        0.380000	       14.432590	       26.501872	       68.919212	      167.539532	      266.168059
Beihai                             	109.083300	21.483300	0.215000	        0.080000	        0.130000	        0.220000	        0.320000	        0.390000	        2.499681	        4.045057	       10.441402	       29.982825	       57.933554
Bella Bella,BC                     	-128.143000	52.163000	0.084000	        0.010000	        0.040000	        0.080000	        0.160000	        0.230000	        1.167263	        1.664236	        3.322199	        8.741748	       16.865636
Bermuda                            	-64.699900	32.400000	0.227000	        0.100000	        0.150000	        0.230000	        0.330000	        0.400000	        8.122942	       18.827729	       90.586988	      454.994993	     1200.780818
Bermuda-B                          	-64.703300	32.373300	0.227000	        0.100000	        0.150000	        0.230000	        0.330000	        0.400000	        9.087935	       22.757191	      114.191271	      545.410385	     1394.027044
bilbao                             	-3.050000	43.357000	0.251000	        0.130000	        0.170000	        0.250000	        0.350000	        0.410000	       61.022628	      104.444356	      221.999779	      417.799050	      578.093178
bonanza                            	-6.340000	36.800000	0.274000	        0.160000	        0.200000	        0.270000	        0.360000	        0.430000	        9.077760	       14.954809	       37.222807	       98.685978	      177.262781
Booby Island                       	141.916667	-10.600000	0.125000	        0.040000	        0.070000	        0.120000	        0.200000	        0.270000	        2.349954	        3.735806	        9.348455	       26.834351	       50.573804
Boston,MA                          	-71.051700	42.355000	0.365000	        0.190000	        0.260000	        0.360000	        0.480000	        0.570000	        6.469562	       10.882278	       28.673813	       82.098851	      154.927555
BOSTON                             	-71.053400	42.354800	0.365000	        0.190000	        0.260000	        0.360000	        0.480000	        0.570000	        5.821578	        9.608298	       24.687162	       70.831169	      137.231749
Botany Bay                         	151.216667	-33.983333	0.230000	        0.130000	        0.170000	        0.230000	        0.310000	        0.370000	       25.818140	       53.145364	      162.157094	      468.704932	      855.460076
BOULOGNE-SUR-MER                   	1.577700	50.727400	0.264000	        0.110000	        0.170000	        0.260000	        0.370000	        0.450000	        6.644035	       12.853814	       37.152697	      101.101990	      168.956622
Brest                              	-4.500000	48.383300	0.228000	        0.110000	        0.150000	        0.230000	        0.320000	        0.390000	       10.376812	       17.978682	       39.418872	       84.137192	      126.959336
BREST                              	-4.495000	48.382900	0.228000	        0.110000	        0.150000	        0.230000	        0.320000	        0.390000	       10.575398	       18.366330	       40.108836	       85.461724	      128.371809
BRIDGEPORT                         	-73.181700	41.173300	0.367000	        0.200000	        0.270000	        0.370000	        0.490000	        0.570000	        1.789345	        2.240974	        3.633658	        7.354947	       13.895708
Brisbane                           	153.166667	-27.366667	0.223000	        0.150000	        0.170000	        0.220000	        0.300000	        0.360000	       62.675245	       95.176152	      202.192902	      463.118470	      785.524535
Broome                             	122.216667	-18.000000	0.232000	        0.140000	        0.170000	        0.230000	        0.310000	        0.380000	       29.575429	       42.331989	       76.785161	      134.342895	      181.292120
Buenaventura                       	-77.100000	3.900000	0.210000	        0.130000	        0.160000	        0.210000	        0.290000	        0.350000	       24.473690	       36.558888	       76.725437	      172.589453	      275.244099
Buenos Aires                       	-58.500000	-34.666700	0.214000	        0.140000	        0.160000	        0.210000	        0.280000	        0.330000	        1.369792	        1.526130	        1.898826	        2.626186	        3.562229
Bunbury                            	115.633333	-33.316667	0.209000	        0.120000	        0.150000	        0.210000	        0.290000	        0.350000	        2.637022	        3.424128	        5.958936	       12.325517	       21.015023
Bundaberg                          	152.383333	-24.766667	0.241000	        0.170000	        0.190000	        0.240000	        0.310000	        0.380000	        4.150889	        5.727020	       10.458015	       23.605468	       43.760491
Burnie                             	145.916667	-41.050000	0.202000	        0.120000	        0.150000	        0.200000	        0.270000	        0.320000	       32.021345	       50.357317	      112.860434	      264.572542	      426.475910
Cabo San Lucas                     	-109.908300	22.880000	0.225000	        0.140000	        0.170000	        0.230000	        0.300000	        0.370000	      109.331088	      207.068137	      536.234954	     1358.399697	     2545.216898
cadiz                              	-6.283300	36.533300	0.279000	        0.170000	        0.210000	        0.280000	        0.360000	        0.430000	       46.349089	       72.251047	      151.716374	      316.307173	      474.885649
Cairns                             	145.783333	-16.916667	0.247000	        0.160000	        0.190000	        0.250000	        0.330000	        0.390000	        9.792864	       15.839230	       36.255261	       92.620151	      167.539144
CALAIS                             	1.867700	50.969400	0.251000	        0.100000	        0.160000	        0.250000	        0.360000	        0.430000	        1.360168	        1.586059	        2.235743	        3.640914	        5.667314
Callao-B, Peru                     	-77.150000	-12.050000	0.186000	        0.110000	        0.140000	        0.190000	        0.260000	        0.320000	       19.899187	       38.726692	      125.175898	      464.273796	     1200.854045
Callao-B                           	-77.150000	-12.050000	0.186000	        0.110000	        0.140000	        0.190000	        0.260000	        0.320000	       31.608896	       56.459148	      168.037215	      593.271935	     1492.715087
CAMBRIDGE II                       	-76.068300	38.573300	0.407000	        0.250000	        0.310000	        0.410000	        0.520000	        0.600000	        5.169348	        9.394657	       30.122697	      133.394334	      401.129732
Campbell River,BC                  	-125.247000	50.042000	-0.053000	       -0.140000	       -0.110000	       -0.050000	        0.020000	        0.090000	        0.018531	        0.083579	        0.393163	        1.513949	        3.841574
Cananeia                           	-47.925000	-25.016700	0.292000	        0.210000	        0.240000	        0.290000	        0.360000	        0.420000	        3.793339	        4.860542	        7.711104	       14.144497	       22.409135
Cape Ferguson                      	147.050000	-19.283333	0.250000	        0.170000	        0.200000	        0.250000	        0.330000	        0.390000	        8.339695	       13.679704	       30.695406	       71.917114	      126.176829
Cape May,NJ                        	-74.960000	38.968300	0.420000	        0.270000	        0.330000	        0.420000	        0.530000	        0.610000	        5.120371	        8.645693	       22.587873	       74.760063	      179.275948
Cape Town                          	18.433300	-33.900000	0.226000	        0.140000	        0.170000	        0.230000	        0.300000	        0.360000	       33.704849	       55.324833	      128.461089	      302.750091	      487.937367
CAPE MAY                           	-74.960000	38.968300	0.420000	        0.270000	        0.330000	        0.420000	        0.530000	        0.610000	        6.353813	       11.266109	       31.552869	      109.037291	      255.760236
Carnarvon                          	113.616667	-24.883333	0.225000	        0.130000	        0.160000	        0.230000	        0.310000	        0.370000	        2.048663	        2.711487	        4.877971	       11.761858	       25.399706
Cartagena                          	-75.533300	10.383300	0.365000	        0.250000	        0.290000	        0.360000	        0.460000	        0.520000	     5146.338195	    15045.190473	    18262.500000	    18262.500000	    18262.500000
Cascais                            	-9.416700	38.691700	0.247000	        0.130000	        0.170000	        0.250000	        0.340000	        0.410000	       11.257444	       21.151033	       61.852645	      178.605628	      316.600978
catania                            	15.093900	37.498000	0.252000	        0.100000	        0.160000	        0.250000	        0.360000	        0.430000	        1.408511	        1.847958	        4.158540	       29.934523	      410.994639
Cendering                          	103.186700	5.265000	0.220000	        0.090000	        0.140000	        0.220000	        0.320000	        0.390000	        4.964799	        9.424230	       30.547959	      101.801902	      204.240563
Ceuta                              	-5.316700	35.900000	0.202000	        0.090000	        0.130000	        0.200000	        0.290000	        0.350000	       18.762595	       43.181491	      176.736383	      761.958487	     1927.812718
ceuta                              	-5.316700	35.900000	0.202000	        0.090000	        0.130000	        0.200000	        0.290000	        0.350000	       21.492023	       49.123236	      192.742383	      806.656603	     2114.986404
Charchanga                         	91.050000	22.216700	0.271000	        0.140000	        0.190000	        0.270000	        0.370000	        0.440000	        2.272256	        3.498891	        8.285807	       22.738724	       45.253987
Charleston,OR                      	-124.321700	43.345000	0.160000	        0.090000	        0.110000	        0.160000	        0.230000	        0.300000	        3.658604	        5.595220	       12.732834	       35.449288	       70.083214
Charleston,SC                      	-79.925000	32.781700	0.363000	        0.240000	        0.290000	        0.360000	        0.460000	        0.530000	        7.868727	       12.083378	       27.989367	       79.732890	      163.009244
CHARLESTON I                       	-79.925000	32.781700	0.363000	        0.240000	        0.280000	        0.360000	        0.460000	        0.530000	        8.299602	       13.079445	       31.519009	       95.109707	      200.466641
Charlotte Amalie                   	-64.920000	18.335000	0.250000	        0.150000	        0.180000	        0.250000	        0.340000	        0.410000	        2.892103	        4.921694	       18.636528	      242.490046	     2662.349627
Charlottetown,PEI                  	-63.116700	46.233300	0.396000	        0.230000	        0.300000	        0.400000	        0.520000	        0.600000	        4.885170	        7.550402	       16.953535	       44.858278	       85.660997
CHERBOURG                          	-1.635500	49.651400	0.226000	        0.090000	        0.140000	        0.230000	        0.330000	        0.400000	       17.950031	       40.406187	      108.206539	      243.787910	      360.773580
Chesapeake BBT                     	-76.113300	36.966700	0.431000	        0.270000	        0.340000	        0.430000	        0.550000	        0.630000	        3.942486	        6.358034	       15.392804	       44.844390	       96.520480
Chichijima, Japan                  	142.183300	27.100000	0.313000	        0.210000	        0.250000	        0.310000	        0.400000	        0.470000	        3.474635	        7.132440	       35.286357	      285.323530	     1087.145653
Chichijima                         	142.183300	27.100000	0.313000	        0.210000	        0.250000	        0.310000	        0.400000	        0.470000	        8.576878	       16.772440	       54.654924	      208.229529	      559.872304
CHICHIJIMA                         	142.200000	27.100000	0.313000	        0.210000	        0.250000	        0.310000	        0.400000	        0.470000	        7.358139	       14.444977	       47.188872	      185.775029	      505.464776
CHOSHIGYOKO                        	140.866700	35.750000	0.283000	        0.150000	        0.200000	        0.280000	        0.380000	        0.450000	        2.358358	        3.511120	        8.541881	       32.928261	      105.973719
Christmas-B, Line Is. Kiribati     	-157.471700	1.981700	0.237000	        0.160000	        0.180000	        0.240000	        0.320000	        0.390000	        8.326435	       22.517745	      133.768928	      999.447475	     3876.735314
Christmas-B                        	-157.471700	1.981700	0.237000	        0.160000	        0.180000	        0.240000	        0.320000	        0.390000	       11.558731	       28.839993	      144.425890	      978.787555	     3448.913224
Churchill, Canada                  	-94.183300	58.766600	-0.183000	       -0.380000	       -0.300000	       -0.180000	       -0.050000	        0.040000	        0.033263	        0.121886	        0.367447	        0.758949	        1.195765
Churchill                          	-94.200000	58.783300	-0.183000	       -0.380000	       -0.300000	       -0.180000	       -0.050000	        0.040000	        0.016066	        0.067762	        0.258376	        0.690699	        1.264809
Chuuk                              	151.850000	7.450000	0.235000	        0.140000	        0.170000	        0.230000	        0.320000	        0.390000	        5.637879	       13.163370	       81.482154	      824.467808	     2740.968783
Cocos                              	96.883300	-12.116700	0.252000	        0.160000	        0.190000	        0.250000	        0.340000	        0.400000	       83.781698	      166.960646	      464.606563	     1451.026091	     3198.791613
Cooktown                           	145.250000	-15.466667	0.240000	        0.140000	        0.180000	        0.240000	        0.320000	        0.390000	       11.578290	       21.776243	       59.725967	      163.191910	      292.304334
CORDEMAIS                          	-1.889800	47.277200	0.218000	        0.110000	        0.150000	        0.220000	        0.310000	        0.370000	        5.631411	       10.711220	       31.332845	       91.148845	      170.966987
CORDOVA                            	-145.753000	60.558300	0.212000	        0.110000	        0.140000	        0.210000	        0.300000	        0.370000	       12.881963	       22.859639	       56.931265	      131.558040	      203.418257
Cordova-B,Alaska                   	-145.753300	60.558300	0.212000	        0.110000	        0.140000	        0.210000	        0.300000	        0.370000	        5.159514	        8.034962	       18.718298	       45.871199	       78.443816
