station name                       	Lon [deg]	Lat [deg]	slc (50%) [m]	alwnce (5%) [m] 	alwnce (17%) [m]	alwnce (50%) [m]	alwnce (83%) [m]	alwnce (95%) [m]	AF (5%) [m]     	AF (17%) [m]    	AF (50%) [m]    	AF (83%) [m]    	AF (95%) [m]    
Abashiri                           	144.283300	44.016700	0.198000	        0.120000	        0.150000	        0.200000	        0.270000	        0.340000	       12.215107	       20.702134	       54.348903	      163.053514	      316.561419
ABASHIRI                           	144.283300	44.016700	0.198000	        0.120000	        0.150000	        0.200000	        0.270000	        0.340000	        4.805089	        7.089804	       15.514563	       45.076927	       93.714721
Aberdeen                           	-2.074510	57.143250	0.205000	        0.030000	        0.100000	        0.210000	        0.320000	        0.410000	        2.253617	        6.874364	       28.341826	       96.817960	      177.836108
Aburatsu, Japan                    	131.416700	31.566700	0.232000	        0.150000	        0.180000	        0.230000	        0.310000	        0.370000	        2.119662	        2.870949	        5.498247	       14.599493	       34.167574
Aburatsu                           	131.416700	31.566700	0.232000	        0.150000	        0.180000	        0.230000	        0.310000	        0.370000	        1.923516	        2.490878	        4.303444	        9.807543	       20.891187
ABURATSU                           	131.416700	31.583300	0.232000	        0.150000	        0.180000	        0.230000	        0.310000	        0.370000	        1.938514	        2.518953	        4.355753	        9.828913	       20.750823
Acajutla-A                         	-89.833300	13.583300	0.219000	        0.150000	        0.170000	        0.220000	        0.290000	        0.360000	       58.021958	       92.241721	      207.196229	      534.188987	      999.730106
Acapulco-A,Gro.                    	-99.911700	16.840000	0.424000	        0.350000	        0.380000	        0.420000	        0.500000	        0.560000	      281.700408	      664.084323	     2191.064517	     8825.800466	    18262.500000
Adak,Alaska                        	-176.631700	51.863300	0.054000	       -0.020000	        0.000000	        0.050000	        0.130000	        0.200000	        0.537888	        1.110110	        3.677113	       16.303064	       40.585581
Adak                               	-176.635000	51.858300	0.054000	       -0.020000	        0.000000	        0.050000	        0.130000	        0.200000	        0.540297	        1.105593	        3.684000	       16.532975	       40.232698
ADAK  SWEEPER COVE                 	-176.632000	51.863300	0.054000	       -0.020000	        0.000000	        0.050000	        0.130000	        0.200000	        0.546758	        1.108343	        3.598401	       15.948061	       39.943043
ALAMEDA (NAVAL AIR STATION)        	-122.298300	37.771700	0.147000	        0.080000	        0.100000	        0.150000	        0.220000	        0.290000	        3.355023	        4.953793	       11.486638	       36.830363	       89.634624
Albany                             	117.883333	-35.033333	0.190000	        0.090000	        0.130000	        0.190000	        0.270000	        0.330000	       13.754472	       27.313051	       86.967121	      262.941431	      472.013956
Alert Bay,BC                       	-126.931000	50.587000	-0.005000	       -0.070000	       -0.050000	        0.000000	        0.070000	        0.130000	        0.125799	        0.313666	        0.925490	        3.186643	        7.394781
algeciras                          	-5.433300	36.116700	0.173000	        0.060000	        0.100000	        0.170000	        0.260000	        0.330000	        1.437361	        1.754383	        2.833482	        5.873143	       11.284204
ANCHORAGE                          	-149.890000	61.238300	-0.206000	       -0.410000	       -0.330000	       -0.210000	       -0.060000	        0.040000	        0.000750	        0.010087	        0.269359	        2.860988	        3.629762
ANNAPOLIS (NAVAL ACADEMY)          	-76.481600	38.983300	0.374000	        0.230000	        0.280000	        0.370000	        0.480000	        0.560000	        2.134461	        2.882434	        5.323411	       13.483636	       31.274415
Antofagasta                        	-70.400000	-23.650000	0.101000	        0.040000	        0.060000	        0.100000	        0.160000	        0.220000	        5.456659	       10.006950	       31.753101	      122.433658	      289.928188
Argentia,NF                        	-53.983300	47.300000	0.305000	        0.130000	        0.200000	        0.310000	        0.430000	        0.520000	        6.230977	       12.734218	       44.176734	      155.143328	      320.439481
arrecife                           	-13.530000	28.972200	0.215000	        0.100000	        0.140000	        0.210000	        0.310000	        0.380000	       45.355822	       87.238871	      216.863674	      485.661761	      795.274075
Astoria,OR                         	-123.766700	46.208300	0.087000	        0.020000	        0.040000	        0.090000	        0.160000	        0.220000	        1.396357	        1.795110	        3.140805	        7.431416	       14.110972
ASTORIA (TONGUE POINT)             	-123.768300	46.207300	0.087000	        0.020000	        0.040000	        0.090000	        0.160000	        0.220000	        1.329823	        1.641726	        2.728728	        6.248928	       11.881714
Atlantic City                      	-74.418300	39.355000	0.396000	        0.240000	        0.300000	        0.400000	        0.500000	        0.590000	        6.694749	       10.495181	       23.933122	       62.837376	      118.328321
ATLANTIC CITY                      	-74.418300	39.355000	0.396000	        0.240000	        0.300000	        0.400000	        0.500000	        0.590000	        3.264899	        4.781765	        9.999244	       26.578383	       56.588211
