station name                       	Lon [deg]	Lat [deg]	slc (50%) [m]	alwnce (5%) [m] 	alwnce (17%) [m]	alwnce (50%) [m]	alwnce (83%) [m]	alwnce (95%) [m]	AF (5%) [m]     	AF (17%) [m]    	AF (50%) [m]    	AF (83%) [m]    	AF (95%) [m]    
Gan                                	73.151700	-0.686700	0.591000	        0.330000	        0.420000	        0.590000	        0.840000	        1.070000	    12108.369444	    18262.500000	    18262.500000	    18262.500000	    18262.500000
Gedser                             	11.933333	54.566666	0.647000	       -0.030000	        0.240000	        0.650000	        1.080000	        1.400000	        0.802980	        6.910664	       83.941824	     1205.614923	     8153.370557
Geelong                            	144.433333	-38.166667	0.496000	        0.270000	        0.350000	        0.500000	        0.700000	        0.890000	      120.243367	      308.386703	     2103.249887	    18262.500000	    18262.500000
Georgetown                         	146.850000	-41.133333	0.505000	        0.280000	        0.360000	        0.505000	        0.710000	        0.900000	      133.891847	      323.826297	     1563.953361	    13839.187791	    18262.500000
Geraldton                          	114.583333	-28.783333	0.591000	        0.350000	        0.430000	        0.590000	        0.820000	        1.040000	      108.019397	      258.356918	     1586.423576	    18262.500000	    18262.500000
Geting                             	102.106700	6.226700	0.479000	        0.170000	        0.290000	        0.480000	        0.740000	        0.970000	       12.832856	       39.485545	      348.586040	     3626.900893	    16961.679817
Gibraltar                          	-5.350000	36.116700	0.438000	        0.190000	        0.270000	        0.440000	        0.680000	        0.890000	      622.948759	     2163.422347	    18262.500000	    18262.500000	    18262.500000
Gladstone                          	151.250000	-23.833333	0.594000	        0.360000	        0.440000	        0.590000	        0.820000	        1.030000	      325.483248	      523.833919	     1348.763553	     5819.990447	    18262.500000
Liverpool, Gladstone Dock          	-3.018000	53.449690	0.529000	        0.250000	        0.360000	        0.530000	        0.780000	        0.990000	       30.041501	       59.142993	      176.579080	      522.303928	      944.292885
Goteborg-Torsh.                    	11.800000	57.683300	0.331000	        0.060000	        0.160000	        0.330000	        0.570000	        0.770000	        1.674804	        2.865310	       10.799492	       70.079501	      232.286414
GoteborgTorshamnen                 	11.790600	57.684700	0.331000	        0.060000	        0.160000	        0.330000	        0.570000	        0.770000	        1.789086	        3.308459	       13.466441	       84.472447	      256.103262
Grand Isle,LA                      	-89.956700	29.263300	1.291000	        0.000000	        1.010000	        1.220000	        1.520000	        1.740000	        1.326604	        1.525904	        2.691077	       24.731540	     6718.002276
GRAND ISLE                         	-89.956700	29.263300	1.291000	        0.000000	        1.030000	        1.220000	        1.520000	        1.740000	        1.332260	        1.540015	        2.772598	       27.922650	    10083.920864
Guam, USA                          	144.650000	13.433300	0.628000	        0.340000	        0.450000	        0.630000	        0.890000	        1.130000	     3510.507139	    18262.500000	    18262.500000	    18262.500000	    18262.500000
Guam                               	144.650000	13.433300	0.628000	        0.340000	        0.440000	        0.630000	        0.890000	        1.130000	     4386.255106	    18262.500000	    18262.500000	    18262.500000	    18262.500000
Guaymas                            	-110.900000	27.933300	0.690000	        0.460000	        0.540000	        0.690000	        0.930000	        1.160000	     4161.479938	    11594.639186	    18262.500000	    18262.500000	    18262.500000
Hachinohe                          	141.533300	40.533300	0.620000	        0.330000	        0.430000	        0.620000	        0.880000	        1.100000	      369.756273	     1502.464669	    18262.500000	    18262.500000	    18262.500000
HACHINOHE                          	141.533300	40.533300	0.620000	        0.330000	        0.430000	        0.620000	        0.880000	        1.100000	      666.300325	     2533.421614	    18262.500000	    18262.500000	    18262.500000
Haikou                             	110.283300	20.016700	0.689000	        0.340000	        0.470000	        0.690000	        0.970000	        1.190000	        1.848418	        2.868704	        9.442661	      118.170013	     1624.105557
Hakodate, Japan                    	140.733300	41.783300	0.336000	        0.100000	        0.180000	        0.340000	        0.570000	        0.790000	       15.402785	       62.675915	      799.653221	    18262.500000	    18262.500000
Hakodate                           	140.733300	41.783300	0.336000	        0.100000	        0.180000	        0.340000	        0.570000	        0.790000	       18.188837	       76.802905	      948.910740	    18262.500000	    18262.500000
HAKODATE                           	140.716700	41.783300	0.336000	        0.100000	        0.180000	        0.340000	        0.570000	        0.790000	       17.611640	       74.184229	      996.118055	    18262.500000	    18262.500000
Halifax, Canada                    	-63.583300	44.666600	0.822000	        0.460000	        0.600000	        0.820000	        1.120000	        1.350000	      275.107767	      749.549460	     8164.178019	    18262.500000	    18262.500000
Halifax, NS                        	-63.583300	44.666700	0.822000	        0.460000	        0.600000	        0.820000	        1.120000	        1.350000	       96.086778	      271.351993	     2204.335851	    18262.500000	    18262.500000
Halifax                            	-63.583300	44.666700	0.822000	        0.460000	        0.600000	        0.820000	        1.120000	        1.350000	      181.310237	      493.552942	     4022.411371	    18262.500000	    18262.500000
Hamada                             	132.066700	34.900000	0.542000	        0.300000	        0.380000	        0.540000	        0.780000	        0.990000	        3.061819	        6.868606	       70.395559	     3476.110801	    18262.500000
HAMADA                             	132.066700	34.900000	0.542000	        0.300000	        0.380000	        0.540000	        0.780000	        0.990000	        3.449724	        8.377852	      101.025165	     4572.734538	    18262.500000
HAMINA                             	27.179200	60.562800	0.302000	        0.010000	        0.120000	        0.300000	        0.550000	        0.750000	        1.138530	        2.777245	       11.477586	       58.436668	      142.815270
HANASAKI                           	145.566700	43.283300	1.422000	        1.180000	        1.260000	        1.420000	        1.660000	        1.880000	    18262.500000	    18262.500000	    18262.500000	    18262.500000	    18262.500000
HANKO                              	22.976600	59.822900	0.200000	       -0.090000	        0.020000	        0.200000	        0.450000	        0.650000	        0.422684	        1.256057	        7.601643	       92.297884	      373.355793
Harwich                            	1.284490	51.947380	0.588000	        0.270000	        0.390000	        0.590000	        0.860000	        1.060000	       30.410577	       77.005175	      369.322609	     2083.970357	     7697.362397
Hay Point                          	149.316667	-21.266667	0.602000	        0.370000	        0.450000	        0.600000	        0.830000	        1.050000	      101.492869	      163.887820	      389.355479	     1046.172585	     2235.947984
Heimsjoe                           	9.101400	63.425300	0.229000	       -0.090000	        0.030000	        0.230000	        0.500000	        0.710000	        0.455265	        1.332146	        8.309907	       87.513931	      347.161459
