station name                       	Lon [deg]	Lat [deg]	slc (50%) [m]	alwnce (5%) [m] 	alwnce (17%) [m]	alwnce (50%) [m]	alwnce (83%) [m]	alwnce (95%) [m]	AF (5%) [m]     	AF (17%) [m]    	AF (50%) [m]    	AF (83%) [m]    	AF (95%) [m]    
Abashiri                           	144.283300	44.016700	0.189000	        0.110000	        0.140000	        0.190000	        0.260000	        0.330000	       10.271006	       17.577458	       47.272166	      142.686405	      277.293599
ABASHIRI                           	144.283300	44.016700	0.189000	        0.110000	        0.140000	        0.190000	        0.260000	        0.330000	        4.247244	        6.257304	       13.730817	       39.393855	       81.235716
Aberdeen                           	-2.074510	57.143250	0.190000	        0.010000	        0.080000	        0.190000	        0.310000	        0.400000	        1.126014	        4.796078	       23.462644	       87.347588	      163.728840
Aburatsu, Japan                    	131.416700	31.566700	0.215000	        0.140000	        0.160000	        0.210000	        0.290000	        0.350000	        2.007796	        2.661328	        4.833967	       11.942373	       26.698534
Aburatsu                           	131.416700	31.566700	0.215000	        0.140000	        0.160000	        0.210000	        0.290000	        0.350000	        1.836215	        2.329512	        3.852366	        8.237640	       16.722823
ABURATSU                           	131.416700	31.583300	0.215000	        0.140000	        0.160000	        0.220000	        0.290000	        0.350000	        1.851052	        2.356522	        3.892679	        8.247306	       16.587911
Acajutla-A                         	-89.833300	13.583300	0.207000	        0.140000	        0.160000	        0.210000	        0.280000	        0.340000	       43.865583	       71.880818	      171.124896	      455.704526	      845.412131
Acapulco-A,Gro.                    	-99.911700	16.840000	0.412000	        0.340000	        0.370000	        0.410000	        0.480000	        0.550000	      226.255667	      533.512727	     1761.118303	     6927.752749	    18262.500000
Adak,Alaska                        	-176.631700	51.863300	0.042000	       -0.030000	       -0.010000	        0.040000	        0.120000	        0.190000	        0.388308	        0.851016	        2.855725	       13.097778	       32.894401
Adak                               	-176.635000	51.858300	0.042000	       -0.030000	       -0.010000	        0.040000	        0.120000	        0.190000	        0.386079	        0.850535	        2.874618	       13.262401	       32.776871
ADAK  SWEEPER COVE                 	-176.632000	51.863300	0.042000	       -0.030000	       -0.010000	        0.040000	        0.120000	        0.190000	        0.396216	        0.853782	        2.790737	       12.774450	       32.255508
ALAMEDA (NAVAL AIR STATION)        	-122.298300	37.771700	0.138000	        0.070000	        0.090000	        0.140000	        0.210000	        0.270000	        2.912344	        4.281857	        9.968376	       31.965654	       76.616142
Albany                             	117.883333	-35.033333	0.175000	        0.080000	        0.110000	        0.175000	        0.250000	        0.310000	       11.144217	       21.879091	       69.537551	      209.899968	      378.804537
Alert Bay,BC                       	-126.931000	50.587000	-0.008000	       -0.080000	       -0.060000	       -0.010000	        0.070000	        0.130000	        0.088017	        0.261938	        0.890366	        3.113697	        7.048925
algeciras                          	-5.433300	36.116700	0.159000	        0.050000	        0.090000	        0.160000	        0.250000	        0.310000	        1.295696	        1.590589	        2.568399	        5.228100	        9.849458
ANCHORAGE                          	-149.890000	61.238300	-0.164000	       -0.380000	       -0.300000	       -0.160000	       -0.020000	        0.080000	        0.001125	        0.016694	        0.453994	        5.027470	        7.512429
ANNAPOLIS (NAVAL ACADEMY)          	-76.481600	38.983300	0.365000	        0.210000	        0.270000	        0.360000	        0.470000	        0.550000	        2.039138	        2.735520	        5.027076	       12.660121	       29.132903
Antofagasta                        	-70.400000	-23.650000	0.087000	        0.030000	        0.050000	        0.090000	        0.150000	        0.200000	        3.342703	        6.588705	       22.408256	       92.442014	      221.215368
Argentia,NF                        	-53.983300	47.300000	0.294000	        0.090000	        0.170000	        0.290000	        0.430000	        0.520000	        4.059820	        9.527896	       38.680985	      152.161113	      326.274328
arrecife                           	-13.530000	28.972200	0.198000	        0.090000	        0.130000	        0.200000	        0.290000	        0.360000	       32.456893	       66.467183	      181.952884	      424.076889	      696.229835
Astoria,OR                         	-123.766700	46.208300	0.079000	        0.010000	        0.030000	        0.080000	        0.150000	        0.210000	        1.202001	        1.588115	        2.858984	        6.856758	       12.659822
ASTORIA (TONGUE POINT)             	-123.768300	46.207300	0.079000	        0.010000	        0.040000	        0.080000	        0.150000	        0.210000	        1.174298	        1.478543	        2.509269	        5.772987	       10.719377
Atlantic City                      	-74.418300	39.355000	0.389000	        0.230000	        0.290000	        0.390000	        0.500000	        0.580000	        6.150088	        9.701548	       22.441146	       59.445678	      111.315547
ATLANTIC CITY                      	-74.418300	39.355000	0.389000	        0.230000	        0.290000	        0.390000	        0.500000	        0.580000	        3.107460	        4.541520	        9.477855	       25.194865	       53.361293
Avonmouth                          	-2.714970	51.510890	0.202000	        0.000000	        0.000000	        0.000000	        0.020000	        0.060000	        4.599088	        8.416915	       19.042211	       38.356842	       55.063076
AYUKAWA                            	141.500000	38.300000	0.504000	        0.360000	        0.410000	        0.500000	        0.610000	        0.680000	      434.021720	     1081.339741	     4725.569593	    18262.500000	    18262.500000
Bakar                              	14.533000	45.300000	0.165000	        0.030000	        0.080000	        0.160000	        0.260000	        0.330000	        1.988375	        4.104634	       14.415080	       51.878371	      104.458798
Balboa                             	-79.573300	8.961700	0.224000	        0.140000	        0.170000	        0.220000	        0.300000	        0.360000	       26.563548	       38.432451	       72.320566	      142.005601	      215.085749
BALTIMORE                          	-76.578300	39.266700	0.352000	        0.200000	        0.260000	        0.350000	        0.460000	        0.540000	        1.729145	        2.149127	        3.386814	        6.724455	       12.798470
Baltra-B                           	-90.285000	-0.436700	0.190000	        0.110000	        0.140000	        0.190000	        0.270000	        0.330000	        4.266395	        8.151566	       26.997932	      103.502829	      250.594679
Bamfield,BC                        	-125.136000	48.836000	0.054000	       -0.010000	        0.010000	        0.050000	        0.130000	        0.190000	        0.798318	        1.117732	        2.218643	        6.096507	       12.245823
barcelona                          	2.163000	41.342000	0.244000	        0.110000	        0.150000	        0.240000	        0.340000	        0.410000	       32.113823	       81.816007	      354.614792	     1878.125411	     5522.017284
BAR HARBOR, FRENCHMAN BAY, ME      	-68.205000	44.391700	0.314000	        0.120000	        0.200000	        0.310000	        0.440000	        0.530000	        8.693685	       21.024447	       77.826402	      258.718015	      483.939889
Barseback                          	12.903300	55.756400	0.196000	        0.060000	        0.110000	        0.200000	        0.290000	        0.360000	        1.367470	        1.761444	        3.333063	        9.451916	       22.703692
BAYONNE_BOUCAU                     	-1.514800	43.527300	0.190000	        0.060000	        0.110000	        0.190000	        0.290000	        0.360000	        5.650082	       13.233355	       46.298507	      133.064115	      225.840360
Beihai                             	109.083300	21.483300	0.176000	        0.040000	        0.090000	        0.180000	        0.280000	        0.350000	        1.659997	        2.741746	        7.117269	       20.715049	       40.659804
Bella Bella,BC                     	-128.143000	52.163000	0.064000	       -0.010000	        0.020000	        0.060000	        0.140000	        0.200000	        0.920237	        1.282079	        2.546644	        6.682206	       12.762990
Bermuda                            	-64.699900	32.400000	0.189000	        0.100000	        0.130000	        0.190000	        0.270000	        0.340000	        6.566490	       13.153991	       49.501551	      218.197296	      527.388073
Bermuda-B                          	-64.703300	32.373300	0.189000	        0.100000	        0.130000	        0.190000	        0.270000	        0.340000	        7.162217	       15.633116	       63.178870	      276.632584	      644.819469
bilbao                             	-3.050000	43.357000	0.217000	        0.080000	        0.130000	        0.220000	        0.320000	        0.390000	       26.627998	       59.197937	      167.630116	      353.992111	      516.490680
bonanza                            	-6.340000	36.800000	0.237000	        0.110000	        0.160000	        0.240000	        0.330000	        0.400000	        5.371201	        9.021438	       24.878449	       71.588995	      135.527238
Booby Island                       	141.916667	-10.600000	0.081000	        0.000000	        0.030000	        0.080000	        0.160000	        0.220000	        1.064580	        1.828376	        4.784033	       14.747800	       29.574358
Boston,MA                          	-71.051700	42.355000	0.328000	        0.140000	        0.220000	        0.330000	        0.450000	        0.540000	        4.047240	        7.279649	       20.699193	       63.456569	      124.073987
BOSTON                             	-71.053400	42.354800	0.328000	        0.140000	        0.220000	        0.330000	        0.450000	        0.540000	        3.774983	        6.537099	       17.993496	       55.141795	      109.311658
Botany Bay                         	151.216667	-33.983333	0.174000	        0.080000	        0.110000	        0.170000	        0.250000	        0.310000	        9.074598	       19.140117	       68.764803	      233.848631	      452.731850
BOULOGNE-SUR-MER                   	1.577700	50.727400	0.229000	        0.080000	        0.140000	        0.230000	        0.330000	        0.400000	        4.557829	        8.844338	       26.272696	       73.599863	      126.055522
Brest                              	-4.500000	48.383300	0.195000	        0.060000	        0.110000	        0.200000	        0.290000	        0.360000	        4.916478	       10.713402	       28.549962	       67.869889	      107.252650
BREST                              	-4.495000	48.382900	0.195000	        0.060000	        0.110000	        0.190000	        0.290000	        0.360000	        4.991920	       10.951833	       29.081157	       69.017950	      108.635558
BRIDGEPORT                         	-73.181700	41.173300	0.331000	        0.160000	        0.230000	        0.330000	        0.450000	        0.530000	        1.605944	        1.980995	        3.140859	        6.175012	       11.330852
Brisbane                           	153.166667	-27.366667	0.172000	        0.090000	        0.120000	        0.170000	        0.240000	        0.310000	       22.689948	       39.134484	      101.853311	      269.441699	      475.535154
Broome                             	122.216667	-18.000000	0.191000	        0.090000	        0.130000	        0.190000	        0.270000	        0.340000	       16.818453	       26.693831	       54.801368	      103.045461	      145.413778
Buenaventura                       	-77.100000	3.900000	0.169000	        0.090000	        0.120000	        0.170000	        0.240000	        0.300000	       12.176197	       19.714698	       45.938121	      111.198912	      188.904722
Buenos Aires                       	-58.500000	-34.666700	0.165000	        0.100000	        0.120000	        0.170000	        0.230000	        0.270000	        1.256152	        1.366342	        1.633774	        2.148658	        2.780927
Bunbury                            	115.633333	-33.316667	0.170000	        0.080000	        0.110000	        0.170000	        0.250000	        0.310000	        1.893258	        2.436177	        4.304983	        8.970684	       15.202003
Bundaberg                          	152.383333	-24.766667	0.190000	        0.110000	        0.140000	        0.190000	        0.260000	        0.330000	        2.705234	        3.585963	        6.404630	       14.196991	       25.933702
Burnie                             	145.916667	-41.050000	0.159000	        0.080000	        0.110000	        0.160000	        0.230000	        0.280000	       12.523943	       22.600221	       60.723498	      161.088186	      280.051259
Cabo San Lucas                     	-109.908300	22.880000	0.187000	        0.110000	        0.140000	        0.190000	        0.260000	        0.330000	       54.807021	      108.755876	      308.742309	      851.356691	     1569.312889
cadiz                              	-6.283300	36.533300	0.242000	        0.130000	        0.170000	        0.240000	        0.330000	        0.400000	       23.314195	       41.693418	      104.774938	      243.237175	      383.733814
Cairns                             	145.783333	-16.916667	0.200000	        0.130000	        0.150000	        0.200000	        0.270000	        0.330000	        6.202406	        9.590345	       20.922370	       52.753957	       97.547849
CALAIS                             	1.867700	50.969400	0.215000	        0.070000	        0.130000	        0.210000	        0.320000	        0.390000	        1.250341	        1.439230	        1.974840	        3.091976	        4.633264
Callao-B, Peru                     	-77.150000	-12.050000	0.143000	        0.070000	        0.090000	        0.140000	        0.210000	        0.270000	        7.286401	       14.358835	       51.820747	      215.260087	      521.933067
Callao-B                           	-77.150000	-12.050000	0.143000	        0.070000	        0.090000	        0.140000	        0.210000	        0.270000	       10.079665	       20.086679	       69.781674	      275.355118	      667.874361
CAMBRIDGE II                       	-76.068300	38.573300	0.366000	        0.210000	        0.270000	        0.370000	        0.470000	        0.550000	        4.046761	        6.897808	       20.211336	       82.738362	      240.323630
Campbell River,BC                  	-125.247000	50.042000	-0.061000	       -0.140000	       -0.120000	       -0.060000	        0.010000	        0.080000	        0.013136	        0.066538	        0.330399	        1.257440	        3.105864
Cananeia                           	-47.925000	-25.016700	0.240000	        0.170000	        0.190000	        0.240000	        0.300000	        0.360000	        2.930752	        3.609067	        5.360523	        9.156342	       13.956485
Cape Ferguson                      	147.050000	-19.283333	0.201000	        0.130000	        0.150000	        0.200000	        0.270000	        0.330000	        5.312178	        8.346002	       18.303858	       43.807299	       79.162121
Cape May,NJ                        	-74.960000	38.968300	0.379000	        0.230000	        0.290000	        0.380000	        0.490000	        0.570000	        4.089394	        6.596764	       16.309890	       51.876865	      122.749172
Cape Town                          	18.433300	-33.900000	0.183000	        0.100000	        0.130000	        0.180000	        0.250000	        0.310000	       16.599009	       28.548959	       72.866035	      186.516100	      319.823726
CAPE MAY                           	-74.960000	38.968300	0.379000	        0.230000	        0.290000	        0.380000	        0.490000	        0.570000	        4.912295	        8.343374	       22.225265	       74.538812	      173.939749
Carnarvon                          	113.616667	-24.883333	0.185000	        0.080000	        0.120000	        0.190000	        0.270000	        0.340000	        1.628366	        2.073014	        3.605650	        8.314463	       17.188914
Cartagena                          	-75.533300	10.383300	0.323000	        0.210000	        0.250000	        0.320000	        0.410000	        0.480000	     1795.538759	     5083.246401	    18262.500000	    18262.500000	    18262.500000
Cascais                            	-9.416700	38.691700	0.214000	        0.090000	        0.140000	        0.210000	        0.310000	        0.380000	        6.067942	       12.064495	       40.326912	      129.237658	      241.432535
catania                            	15.093900	37.498000	0.216000	        0.070000	        0.130000	        0.220000	        0.320000	        0.390000	        1.291048	        1.610656	        3.171751	       16.019407	      147.044319
Cendering                          	103.186700	5.265000	0.178000	        0.060000	        0.100000	        0.180000	        0.270000	        0.340000	        2.912549	        5.341729	       17.803118	       62.680211	      130.164426
