station name                       	Lon [deg]	Lat [deg]	slc (50%) [m]	alwnce (5%) [m] 	alwnce (17%) [m]	alwnce (50%) [m]	alwnce (83%) [m]	alwnce (95%) [m]	AF (5%) [m]     	AF (17%) [m]    	AF (50%) [m]    	AF (83%) [m]    	AF (95%) [m]    
Abashiri                           	144.283300	44.016700	0.796000	        0.520000	        0.610000	        0.800000	        1.090000	        1.350000	     2619.252282	     6430.287011	    18262.500000	    18262.500000	    18262.500000
ABASHIRI                           	144.283300	44.016700	0.796000	        0.520000	        0.610000	        0.800000	        1.090000	        1.350000	      707.799105	     1831.463681	    16153.803773	    18262.500000	    18262.500000
Aberdeen                           	-2.074510	57.143250	0.674000	        0.290000	        0.430000	        0.670000	        1.000000	        1.270000	       74.925135	      201.714512	      887.429519	     5695.492681	    18262.500000
Aburatsu, Japan                    	131.416700	31.566700	0.880000	        0.580000	        0.680000	        0.880000	        1.180000	        1.440000	       45.303910	      201.142305	     2704.430739	    18262.500000	    18262.500000
Aburatsu                           	131.416700	31.566700	0.880000	        0.580000	        0.680000	        0.880000	        1.180000	        1.440000	       26.395213	      100.226416	     1343.407397	    18262.500000	    18262.500000
ABURATSU                           	131.416700	31.583300	0.880000	        0.580000	        0.680000	        0.880000	        1.180000	        1.440000	       27.981033	      105.441729	     1394.113120	    18262.500000	    18262.500000
Acajutla-A                         	-89.833300	13.583300	0.809000	        0.550000	        0.630000	        0.810000	        1.100000	        1.360000	     8278.125849	    17970.364838	    18262.500000	    18262.500000	    18262.500000
Acapulco-A,Gro.                    	-99.911700	16.840000	1.236000	        0.980000	        1.060000	        1.240000	        1.530000	        1.790000	    18262.500000	    18262.500000	    18262.500000	    18262.500000	    18262.500000
Adak,Alaska                        	-176.631700	51.863300	0.454000	        0.190000	        0.280000	        0.450000	        0.760000	        1.030000	       41.380950	      101.283553	      579.884148	     9035.243894	    18262.500000
Adak                               	-176.635000	51.858300	0.454000	        0.190000	        0.280000	        0.450000	        0.760000	        1.030000	       39.471010	       94.593883	      528.781018	     8630.163944	    18262.500000
ADAK  SWEEPER COVE                 	-176.632000	51.863300	0.454000	        0.190000	        0.280000	        0.450000	        0.760000	        1.030000	       40.824263	       99.602433	      566.973450	     8948.066813	    18262.500000
ALAMEDA (NAVAL AIR STATION)        	-122.298300	37.771700	0.624000	        0.370000	        0.450000	        0.620000	        0.920000	        1.190000	      184.240723	      504.354255	     3693.780164	    18262.500000	    18262.500000
Albany                             	117.883333	-35.033333	0.738000	        0.470000	        0.560000	        0.740000	        1.010000	        1.250000	     2222.023430	     5222.540169	    18262.500000	    18262.500000	    18262.500000
Alert Bay,BC                       	-126.931000	50.587000	0.299000	        0.040000	        0.130000	        0.300000	        0.590000	        0.850000	        2.363718	        6.676098	       41.814369	      307.378376	      975.074966
algeciras                          	-5.433300	36.116700	0.666000	        0.400000	        0.490000	        0.670000	        0.940000	        1.200000	       12.500861	       31.829642	      558.722642	    18262.500000	    18262.500000
ANCHORAGE                          	-149.890000	61.238300	-0.413000	       -0.980000	       -0.780000	       -0.410000	       -0.010000	        0.300000	        0.005750	        0.162199	        8.227716	       78.367881	      103.177225
